Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.403657E+02   0.300791E+02   0.212419E+02   0.317978E+02   0.241796E+02   0.858491E-02   0.982857E-03   0.281953E-01   0.309994E-01   0.384779E-02  -0.960233E+03
   0.401108E+02   0.299076E+02   0.211431E+02   0.324257E+02   0.244719E+02   0.630884E-02   0.101742E-01   0.284378E-01   0.444799E-01   0.253145E-01  -0.960748E+03
   0.401101E+02   0.299904E+02   0.211230E+02   0.306990E+02   0.243526E+02   0.317163E-02   0.954164E-02   0.113394E-01   0.706210E-02   0.294231E-02  -0.950434E+03
   0.399546E+02   0.299904E+02   0.211674E+02   0.308502E+02   0.240123E+02   0.100253E-01   0.293822E-01   0.123313E-02   0.908064E-02   0.975778E-02  -0.953773E+03
   0.399546E+02   0.299984E+02   0.210955E+02   0.308502E+02   0.244513E+02   0.256602E-02   0.170361E-01   0.117258E-02   0.180651E-02   0.544582E-03  -0.948523E+03
   0.399546E+02   0.299771E+02   0.210235E+02   0.321748E+02   0.242465E+02   0.675463E-02   0.592624E-02   0.443134E-02   0.970394E-02   0.254742E-01  -0.952780E+03
   0.400376E+02   0.301393E+02   0.210845E+02   0.321544E+02   0.243529E+02   0.120741E-01   0.723623E-02   0.832961E-02   0.198932E-02   0.437704E-01  -0.955770E+03
   0.401494E+02   0.299556E+02   0.211230E+02   0.316217E+02   0.243529E+02   0.131634E-02   0.140025E-01   0.125349E-02   0.542489E-02   0.310702E-02  -0.949606E+03
   0.397212E+02   0.299952E+02   0.211363E+02   0.316217E+02   0.242296E+02   0.885488E-03   0.112047E-02   0.833153E-03   0.227991E-02   0.233509E-01  -0.950292E+03
   0.401321E+02   0.302024E+02   0.211743E+02   0.312844E+02   0.242411E+02   0.872982E-02   0.471161E-02   0.833153E-03   0.302504E-02   0.834625E-02  -0.952558E+03
   0.401321E+02   0.299800E+02   0.210326E+02   0.309945E+02   0.241799E+02   0.830645E-02   0.156490E-02   0.210617E-04   0.447953E-02   0.183735E-01  -0.949946E+03
   0.401362E+02   0.299800E+02   0.210326E+02   0.309149E+02   0.243257E+02   0.412114E-02   0.156490E-02   0.362928E-02   0.309929E-02   0.100189E-01  -0.948978E+03
   0.393581E+02   0.301150E+02   0.211760E+02   0.309149E+02   0.238109E+02   0.115176E-01   0.399561E-02   0.200137E-01   0.151255E-01   0.250475E-02  -0.958994E+03
   0.401982E+02   0.297679E+02   0.211643E+02   0.320019E+02   0.245067E+02   0.128342E-02   0.697944E-02   0.430015E-03   0.486188E-02   0.210069E-01  -0.954843E+03
   0.397167E+02   0.297679E+02   0.210300E+02   0.311321E+02   0.238365E+02   0.488589E-02   0.204560E-01   0.117920E-02   0.199136E-01   0.144904E-01  -0.957636E+03
   0.401449E+02   0.299924E+02   0.209411E+02   0.318684E+02   0.243848E+02   0.983615E-02   0.204600E-01   0.312260E-02   0.597974E-02   0.122027E-02  -0.953114E+03
   0.398371E+02   0.299906E+02   0.211734E+02   0.300594E+02   0.245232E+02   0.143620E-01   0.659311E-02   0.669159E-03   0.149248E-01   0.138780E-02  -0.954417E+03
   0.396321E+02   0.300306E+02   0.211098E+02   0.318528E+02   0.250867E+02   0.126937E-01   0.289526E-01   0.770371E-03   0.918996E-02   0.135494E-01  -0.955930E+03
   0.396321E+02   0.300161E+02   0.211684E+02   0.315130E+02   0.249920E+02   0.137920E-01   0.909698E-02   0.124026E-01   0.462181E-02   0.959242E-03  -0.953558E+03
   0.397229E+02   0.299173E+02   0.210826E+02   0.312378E+02   0.243835E+02   0.383081E-02   0.820168E-02   0.807574E-02   0.291566E-01   0.341036E-02  -0.951524E+03
   0.399868E+02   0.300620E+02   0.210381E+02   0.312378E+02   0.241779E+02   0.702418E-02   0.238942E-02   0.872534E-02   0.473385E-02   0.890167E-02  -0.949287E+03
   0.400242E+02   0.301137E+02   0.209868E+02   0.307961E+02   0.241779E+02   0.656835E-02   0.470649E-02   0.272241E-02   0.117550E-01   0.888774E-02  -0.951513E+03
   0.398595E+02   0.301137E+02   0.211453E+02   0.307961E+02   0.244386E+02   0.759930E-02   0.367540E-01   0.733332E-03   0.939147E-03   0.155393E-01  -0.953547E+03
   0.397318E+02   0.299407E+02   0.209865E+02   0.322751E+02   0.244691E+02   0.899583E-03   0.117325E-01   0.364733E-01   0.608757E-02   0.804792E-02  -0.956441E+03
   0.400545E+02   0.301303E+02   0.209911E+02   0.316029E+02   0.244590E+02   0.466567E-02   0.933517E-03   0.536639E-02   0.214509E-01   0.267338E-01  -0.953939E+03
   0.396185E+02   0.302172E+02   0.209998E+02   0.316894E+02   0.241960E+02   0.440905E-02   0.107377E-01   0.330466E-01   0.336667E-01   0.258389E-02  -0.959051E+03
   0.399751E+02   0.299376E+02   0.210849E+02   0.311588E+02   0.238490E+02   0.133557E-02   0.172949E-01   0.977321E-03   0.433161E-02   0.216814E-01  -0.952450E+03
   0.397280E+02   0.300563E+02   0.210849E+02   0.309401E+02   0.238490E+02   0.461568E-02   0.627165E-02   0.977321E-03   0.877697E-02   0.482311E-02  -0.950917E+03
   0.400037E+02   0.300785E+02   0.210953E+02   0.309401E+02   0.247677E+02   0.579194E-02   0.182352E-01   0.431948E-02   0.516457E-02   0.369676E-01  -0.954378E+03
   0.398849E+02   0.300941E+02   0.210532E+02   0.313043E+02   0.245695E+02   0.699275E-02   0.853276E-02   0.515366E-02   0.353943E-02   0.594287E-02  -0.948949E+03
   0.403072E+02   0.299579E+02   0.210532E+02   0.303953E+02   0.245149E+02   0.715134E-02   0.640340E-02   0.515366E-02   0.679371E-03   0.274602E-01  -0.953703E+03
   0.398453E+02   0.300100E+02   0.211947E+02   0.309292E+02   0.247207E+02   0.257013E-02   0.144311E-01   0.141826E-02   0.175521E-01   0.206997E-01  -0.954586E+03
   0.398453E+02   0.299219E+02   0.211892E+02   0.311570E+02   0.245167E+02   0.166692E-01   0.332034E-02   0.141826E-02   0.641502E-02   0.355426E-02  -0.952769E+03
   0.396841E+02   0.298164E+02   0.210497E+02   0.310781E+02   0.245978E+02   0.123607E-01   0.629964E-02   0.197972E-02   0.428809E-02   0.158996E-01  -0.952340E+03
   0.397419E+02   0.299624E+02   0.210898E+02   0.310996E+02   0.247569E+02   0.974730E-02   0.108666E-02   0.457023E-01   0.955460E-02   0.523420E-04  -0.952952E+03
   0.402435E+02   0.299512E+02   0.209264E+02   0.307293E+02   0.239266E+02   0.349655E-02   0.577478E-02   0.486253E-01   0.725812E-02   0.213125E-01  -0.961355E+03
   0.398784E+02   0.299614E+02   0.211182E+02   0.319669E+02   0.247949E+02   0.101783E-01   0.280638E-02   0.365344E-01   0.811790E-03   0.941946E-02  -0.953130E+03
   0.400817E+02   0.301382E+02   0.210977E+02   0.306734E+02   0.244339E+02   0.757571E-02   0.161661E-02   0.120037E-01   0.309391E-02   0.202903E-01  -0.952319E+03
   0.398690E+02   0.299841E+02   0.210250E+02   0.319919E+02   0.244176E+02   0.738032E-03   0.177615E-01   0.985219E-02   0.234798E-01   0.365860E-02  -0.953127E+03
   0.398690E+02   0.299841E+02   0.210250E+02   0.313732E+02   0.244176E+02   0.698270E-02   0.314967E-01   0.976826E-02   0.298470E-01   0.780087E-02  -0.954198E+03
   0.403743E+02   0.299693E+02   0.210263E+02   0.310159E+02   0.241443E+02   0.106705E-01   0.233679E-01   0.268073E-02   0.170561E-01   0.611895E-02  -0.955153E+03
   0.400495E+02   0.300563E+02   0.211267E+02   0.313009E+02   0.242399E+02   0.900155E-02   0.206979E-02   0.381374E-02   0.863532E-02   0.337144E-01  -0.952133E+03
   0.400495E+02   0.299633E+02   0.211267E+02   0.314943E+02   0.242433E+02   0.119872E-01   0.278071E-02   0.847961E-02   0.333820E-02   0.746406E-02  -0.950004E+03
   0.400604E+02   0.301291E+02   0.211267E+02   0.312482E+02   0.246671E+02   0.133209E-01   0.205476E-02   0.495220E-02   0.113414E-01   0.110056E-01  -0.952370E+03
   0.400111E+02   0.301504E+02   0.211160E+02   0.308253E+02   0.246028E+02   0.625772E-02   0.233872E-01   0.118774E-01   0.109656E-02   0.908373E-03  -0.952442E+03
   0.402207E+02   0.302957E+02   0.210097E+02   0.307086E+02   0.246028E+02   0.120614E-01   0.115738E-02   0.106273E-01   0.195349E-01   0.279604E-02  -0.957418E+03
   0.403144E+02   0.300022E+02   0.211878E+02   0.311194E+02   0.240981E+02   0.109972E-01   0.833255E-02   0.275345E-01   0.359608E-02   0.132289E-02  -0.954933E+03
   0.398822E+02   0.300022E+02   0.211878E+02   0.307817E+02   0.238324E+02   0.321439E-02   0.608525E-02   0.534467E-02   0.585050E-02   0.489272E-03  -0.951918E+03
   0.400667E+02   0.298632E+02   0.210304E+02   0.316929E+02   0.246698E+02   0.137626E-02   0.253388E-01   0.249660E-01   0.480458E-02   0.231915E-01  -0.956335E+03
   0.400667E+02   0.299876E+02   0.210876E+02   0.319356E+02   0.249920E+02   0.302771E-02   0.751185E-02   0.270696E-01   0.864553E-02   0.290979E-01  -0.957313E+03
   0.398700E+02   0.299941E+02   0.210876E+02   0.313946E+02   0.247371E+02   0.149782E-01   0.542884E-02   0.594637E-02   0.124512E-01   0.994574E-02  -0.952114E+03
   0.398251E+02   0.300217E+02   0.210797E+02   0.310021E+02   0.245948E+02   0.408577E-02   0.798119E-02   0.203353E-01   0.108333E-02   0.847156E-02  -0.950198E+03
   0.400648E+02   0.301102E+02   0.211466E+02   0.316050E+02   0.239951E+02   0.355374E-02   0.350032E-01   0.321105E-01   0.445578E-02   0.378099E-01  -0.960291E+03
   0.402726E+02   0.298875E+02   0.211183E+02   0.309676E+02   0.251812E+02   0.138467E-01   0.108730E-01   0.198262E-01   0.950931E-02   0.735934E-02  -0.957171E+03
   0.397660E+02   0.300918E+02   0.210800E+02   0.313313E+02   0.240576E+02   0.394203E-02   0.662821E-02   0.320103E-02   0.302519E-03   0.296384E-02  -0.948757E+03
   0.399908E+02   0.299642E+02   0.210924E+02   0.310163E+02   0.239959E+02   0.233528E-02   0.551246E-02   0.120760E-01   0.180161E-01   0.135307E-01  -0.952020E+03
   0.397585E+02   0.299479E+02   0.210791E+02   0.326946E+02   0.247202E+02   0.122882E-01   0.154327E-01   0.397061E-02   0.614770E-02   0.706093E-02  -0.954234E+03
   0.399628E+02   0.299479E+02   0.210791E+02   0.308109E+02   0.238972E+02   0.670623E-02   0.808525E-03   0.176645E-02   0.438855E-02   0.286102E-01  -0.951758E+03
   0.398198E+02   0.301514E+02   0.209471E+02   0.311423E+02   0.248628E+02   0.590737E-02   0.641365E-02   0.104847E-01   0.183609E-01   0.740259E-02  -0.954651E+03
   0.398211E+02   0.300671E+02   0.211127E+02   0.313778E+02   0.247754E+02   0.753543E-02   0.375413E-02   0.119287E-02   0.141448E-01   0.399130E-01  -0.953455E+03
   0.402794E+02   0.299036E+02   0.210449E+02   0.313812E+02   0.242855E+02   0.563657E-02   0.722184E-02   0.462880E-02   0.875665E-02   0.121660E-01  -0.951505E+03
   0.396835E+02   0.299036E+02   0.210449E+02   0.313812E+02   0.243131E+02   0.848689E-02   0.144051E-02   0.381512E-03   0.633228E-02   0.140644E-01  -0.949652E+03
   0.397534E+02   0.300737E+02   0.211250E+02   0.317917E+02   0.243366E+02   0.137239E-01   0.144051E-02   0.223515E-02   0.102623E-01   0.104735E-01  -0.951519E+03
   0.394905E+02   0.300677E+02   0.210875E+02   0.307703E+02   0.242866E+02   0.136512E-01   0.151651E-01   0.703193E-02   0.137531E-01   0.119159E-02  -0.954296E+03
   0.398128E+02   0.300894E+02   0.210875E+02   0.316582E+02   0.247323E+02   0.161141E-02   0.578968E-02   0.706380E-03   0.145974E-01   0.536183E-02  -0.950806E+03
   0.398587E+02   0.300707E+02   0.210466E+02   0.311417E+02   0.240931E+02   0.638658E-04   0.111705E-02   0.136653E-01   0.713257E-02   0.366491E-01  -0.952902E+03
   0.397983E+02   0.300707E+02   0.210866E+02   0.320047E+02   0.250790E+02   0.128682E-01   0.103732E-01   0.653239E-02   0.300798E-01   0.348406E-02  -0.955405E+03
   0.400864E+02   0.299940E+02   0.209347E+02   0.305740E+02   0.247703E+02   0.508318E-02   0.489061E-02   0.290917E-03   0.645869E-02   0.348406E-02  -0.952549E+03
   0.400864E+02   0.299888E+02   0.209800E+02   0.303538E+02   0.247703E+02   0.540306E-02   0.175942E-01   0.183227E-01   0.645869E-02   0.909336E-02  -0.955385E+03
   0.397204E+02   0.298553E+02   0.210737E+02   0.312962E+02   0.242229E+02   0.493895E-02   0.772247E-02   0.160390E-01   0.122503E-01   0.927398E-03  -0.951217E+03
   0.401742E+02   0.299934E+02   0.210737E+02   0.311418E+02   0.242047E+02   0.203787E-02   0.163335E-01   0.239698E-03   0.631462E-02   0.987457E-03  -0.949369E+03
   0.399063E+02   0.300608E+02   0.210403E+02   0.311418E+02   0.243715E+02   0.469451E-02   0.111418E-01   0.328053E-02   0.114924E-01   0.108441E-01  -0.949967E+03
   0.402110E+02   0.299047E+02   0.211390E+02   0.314717E+02   0.243715E+02   0.387104E-02   0.324292E-01   0.167987E-01   0.288453E-01   0.800123E-02  -0.956460E+03
   0.403167E+02   0.297827E+02   0.211757E+02   0.306585E+02   0.246381E+02   0.701898E-02   0.355446E-02   0.655277E-02   0.151953E-01   0.143243E-01  -0.956207E+03
   0.401765E+02   0.300577E+02   0.211456E+02   0.314493E+02   0.240797E+02   0.402053E-02   0.834060E-02   0.195139E-01   0.105938E-01   0.377161E-02  -0.953006E+03
   0.401111E+02   0.300905E+02   0.211055E+02   0.315282E+02   0.240797E+02   0.130386E-01   0.119613E-03   0.558514E-01   0.140187E-03   0.143708E-03  -0.955347E+03
   0.401054E+02   0.299182E+02   0.211055E+02   0.315920E+02   0.242167E+02   0.920797E-03   0.251345E-02   0.115523E-01   0.583619E-02   0.198260E-01  -0.951134E+03
   0.400598E+02   0.299794E+02   0.210247E+02   0.310096E+02   0.242115E+02   0.695541E-02   0.251345E-02   0.245467E-02   0.109341E-01   0.690158E-02  -0.949296E+03
   0.400428E+02   0.300939E+02   0.210312E+02   0.317132E+02   0.244676E+02   0.206718E-03   0.451143E-02   0.731324E-02   0.174740E-01   0.113203E-01  -0.951729E+03
   0.396575E+02   0.300939E+02   0.210191E+02   0.319142E+02   0.244676E+02   0.102948E-01   0.267459E-02   0.134685E-01   0.285623E-01   0.227875E-01  -0.955229E+03
   0.396068E+02   0.299777E+02   0.209928E+02   0.325720E+02   0.244676E+02   0.389400E-02   0.687297E-02   0.210605E-01   0.259447E-01   0.292751E-01  -0.960307E+03
   0.400251E+02   0.299885E+02   0.210837E+02   0.307882E+02   0.246794E+02   0.102453E-01   0.632476E-02   0.268627E-02   0.379088E-02   0.199890E-01  -0.950598E+03
   0.397531E+02   0.300023E+02   0.210837E+02   0.318365E+02   0.245421E+02   0.199936E-02   0.128155E-01   0.161524E-01   0.314918E-02   0.214676E-03  -0.950524E+03
   0.395152E+02   0.300023E+02   0.210845E+02   0.315463E+02   0.246138E+02   0.440184E-02   0.356387E-02   0.596407E-02   0.100562E-01   0.933415E-02  -0.951392E+03
   0.398934E+02   0.299960E+02   0.211365E+02   0.310182E+02   0.242484E+02   0.482320E-02   0.758877E-02   0.210848E-02   0.421424E-02   0.349279E-02  -0.948439E+03
   0.400334E+02   0.298183E+02   0.211258E+02   0.307885E+02   0.241342E+02   0.254571E-02   0.118364E-02   0.108805E-01   0.240809E-02   0.698737E-02  -0.950727E+03
   0.399282E+02   0.298850E+02   0.211295E+02   0.308279E+02   0.244065E+02   0.101031E-01   0.104487E-01   0.101661E-01   0.240267E-02   0.202010E-02  -0.949987E+03
   0.401467E+02   0.298552E+02   0.210740E+02   0.316702E+02   0.241977E+02   0.874381E-02   0.454969E-02   0.964435E-02   0.111533E-01   0.283237E-01  -0.953507E+03
   0.401467E+02   0.299039E+02   0.210910E+02   0.321129E+02   0.238978E+02   0.129004E-01   0.339240E-03   0.224001E-01   0.677529E-02   0.501568E-02  -0.954974E+03
   0.398754E+02   0.300365E+02   0.210910E+02   0.313965E+02   0.250995E+02   0.938509E-02   0.561972E-01   0.273852E-01   0.737662E-03   0.185582E-01  -0.959337E+03
   0.400130E+02   0.299533E+02   0.210749E+02   0.315992E+02   0.247626E+02   0.921998E-03   0.413555E-01   0.152040E-01   0.737662E-03   0.109176E-01  -0.954286E+03
   0.397628E+02   0.300797E+02   0.210951E+02   0.318205E+02   0.244846E+02   0.859475E-03   0.860935E-02   0.135236E-01   0.598631E-02   0.542260E-01  -0.955999E+03
   0.397534E+02   0.299965E+02   0.210951E+02   0.313149E+02   0.240881E+02   0.629280E-02   0.342026E-02   0.415495E-02   0.362817E-03   0.726372E-02  -0.948455E+03
   0.395568E+02   0.300157E+02   0.210182E+02   0.306166E+02   0.240881E+02   0.135179E-01   0.397388E-02   0.293041E-02   0.987660E-03   0.173849E-01  -0.953907E+03
   0.402617E+02   0.299280E+02   0.211203E+02   0.305082E+02   0.246281E+02   0.946606E-02   0.602636E-02   0.308355E-02   0.588103E-02   0.994546E-02  -0.952013E+03
   0.400185E+02   0.299303E+02   0.211427E+02   0.308703E+02   0.241950E+02   0.607426E-04   0.196449E-01   0.276263E-02   0.304043E-02   0.519030E-02  -0.950266E+03
   0.398682E+02   0.301163E+02   0.211427E+02   0.311421E+02   0.244475E+02   0.107594E-02   0.226189E-01   0.276263E-02   0.869205E-02   0.114293E-01  -0.952485E+03
   0.398682E+02   0.297818E+02   0.211427E+02   0.311421E+02   0.246273E+02   0.264009E-02   0.115704E-02   0.422493E-02   0.475698E-02   0.562793E-02  -0.950833E+03
   0.398682E+02   0.300687E+02   0.211427E+02   0.302620E+02   0.247586E+02   0.285660E-02   0.292694E-02   0.169196E-01   0.116619E-02   0.212825E-01  -0.954764E+03
   0.399007E+02   0.300781E+02   0.211720E+02   0.320604E+02   0.246186E+02   0.124698E-01   0.675586E-02   0.118069E-01   0.341101E-03   0.207107E-01  -0.953682E+03
   0.400262E+02   0.299903E+02   0.210850E+02   0.328860E+02   0.244778E+02   0.135577E-01   0.166394E-01   0.636283E-02   0.356686E-03   0.552938E-02  -0.954821E+03
   0.397773E+02   0.299118E+02   0.210850E+02   0.307567E+02   0.248353E+02   0.884534E-02   0.889536E-02   0.281657E-02   0.996888E-02   0.453339E-03  -0.950404E+03
   0.397646E+02   0.298913E+02   0.211630E+02   0.308835E+02   0.245900E+02   0.951633E-02   0.138758E-01   0.841393E-02   0.136741E-02   0.967915E-03  -0.950638E+03
   0.398839E+02   0.299788E+02   0.210727E+02   0.315463E+02   0.243624E+02   0.291883E-02   0.720016E-02   0.466573E-02   0.758463E-02   0.452393E-02  -0.948483E+03
   0.399918E+02   0.299658E+02   0.210727E+02   0.312717E+02   0.243443E+02   0.802201E-02   0.392746E-02   0.632514E-02   0.691646E-02   0.565672E-01  -0.953410E+03
   0.396044E+02   0.299658E+02   0.210727E+02   0.316543E+02   0.245103E+02   0.199073E-02   0.156766E-01   0.632514E-02   0.913601E-02   0.880015E-02  -0.951884E+03
   0.402114E+02   0.298389E+02   0.209222E+02   0.316543E+02   0.241814E+02   0.132538E-02   0.754443E-02   0.175549E-01   0.204736E-01   0.460287E-02  -0.957988E+03
   0.400848E+02   0.300559E+02   0.210131E+02   0.309294E+02   0.243581E+02   0.793924E-02   0.206015E-01   0.239586E-01   0.645653E-02   0.471990E-02  -0.953065E+03
   0.397539E+02   0.302419E+02   0.211163E+02   0.312568E+02   0.246362E+02   0.741354E-02   0.215363E-01   0.653783E-02   0.766292E-03   0.130135E-01  -0.954601E+03
   0.397539E+02   0.298868E+02   0.211004E+02   0.308264E+02   0.248416E+02   0.154112E-01   0.177986E-01   0.721121E-02   0.894011E-02   0.438711E-02  -0.954275E+03
   0.394751E+02   0.299784E+02   0.211004E+02   0.310050E+02   0.242269E+02   0.114532E-01   0.325718E-02   0.152025E-02   0.858184E-02   0.485507E-02  -0.951193E+03
   0.396786E+02   0.299932E+02   0.211004E+02   0.312644E+02   0.242253E+02   0.276512E-02   0.928571E-02   0.126643E-01   0.200238E-01   0.485507E-02  -0.951555E+03
   0.399401E+02   0.299932E+02   0.210738E+02   0.309953E+02   0.246688E+02   0.129291E-01   0.168910E-01   0.112252E-01   0.580227E-02   0.157420E-01  -0.952613E+03
   0.398085E+02   0.301797E+02   0.211420E+02   0.318694E+02   0.247674E+02   0.160840E-01   0.849715E-02   0.114683E-01   0.280649E-01   0.704054E-02  -0.957438E+03
   0.398085E+02   0.301962E+02   0.210298E+02   0.316481E+02   0.247067E+02   0.616571E-02   0.357521E-02   0.130125E-02   0.933597E-02   0.321837E-02  -0.951222E+03
   0.398294E+02   0.300270E+02   0.210197E+02   0.310912E+02   0.243872E+02   0.156718E-01   0.237585E-01   0.156396E-01   0.216534E-01   0.181327E-03  -0.955970E+03
   0.398137E+02   0.300552E+02   0.210780E+02   0.310750E+02   0.242991E+02   0.978516E-02   0.122735E-01   0.124509E-01   0.699297E-02   0.536990E-02  -0.950528E+03
   0.398137E+02   0.300489E+02   0.210459E+02   0.314149E+02   0.244321E+02   0.758807E-02   0.278043E-02   0.100621E-01   0.345451E-02   0.915886E-02  -0.948874E+03
   0.403227E+02   0.298165E+02   0.211300E+02   0.319299E+02   0.244321E+02   0.133108E-01   0.635133E-02   0.412193E-02   0.875337E-02   0.211201E-01  -0.955432E+03
   0.403227E+02   0.300625E+02   0.209380E+02   0.316108E+02   0.249197E+02   0.407997E-02   0.111920E-01   0.429557E-02   0.239816E-02   0.192122E-01  -0.956763E+03
   0.400108E+02   0.301070E+02   0.211080E+02   0.312301E+02   0.244289E+02   0.648855E-02   0.100058E-01   0.988810E-02   0.387853E-02   0.267927E-02  -0.949826E+03
   0.397927E+02   0.300019E+02   0.210474E+02   0.312301E+02   0.244929E+02   0.131328E-02   0.886863E-02   0.609222E-04   0.166981E-02   0.719339E-02  -0.948108E+03
   0.398145E+02   0.300019E+02   0.211074E+02   0.310501E+02   0.239316E+02   0.140409E-01   0.729041E-02   0.609222E-04   0.569457E-02   0.139788E-01  -0.952954E+03
   0.398145E+02   0.299558E+02   0.210792E+02   0.310501E+02   0.245975E+02   0.101111E-01   0.430730E-02   0.148042E-01   0.463002E-02   0.579736E-02  -0.949686E+03
   0.398145E+02   0.299463E+02   0.210808E+02   0.309817E+02   0.244028E+02   0.150305E-02   0.109156E-01   0.111143E-01   0.223582E-02   0.162884E-01  -0.950370E+03
   0.398345E+02   0.300414E+02   0.209578E+02   0.316204E+02   0.244028E+02   0.915467E-02   0.433149E-02   0.108502E-01   0.167666E-02   0.434865E-01  -0.954244E+03
   0.398092E+02   0.300414E+02   0.210726E+02   0.308351E+02   0.250366E+02   0.135595E-01   0.316062E-02   0.340562E-02   0.227217E-01   0.166535E-01  -0.954248E+03
   0.398599E+02   0.299005E+02   0.210726E+02   0.313188E+02   0.247033E+02   0.871544E-02   0.117213E-02   0.123964E-01   0.312759E-02   0.247106E-01  -0.951028E+03
   0.400246E+02   0.299874E+02   0.210634E+02   0.313699E+02   0.243878E+02   0.248295E-02   0.638839E-03   0.103401E-01   0.778676E-03   0.131015E-01  -0.948626E+03
   0.402447E+02   0.300506E+02   0.210453E+02   0.314646E+02   0.240325E+02   0.175028E-02   0.638839E-03   0.439042E-02   0.123029E-01   0.313180E-01  -0.953674E+03
   0.400127E+02   0.299250E+02   0.210453E+02   0.308261E+02   0.244900E+02   0.866669E-02   0.102867E-01   0.234161E-03   0.280901E-01   0.221983E-01  -0.952995E+03
   0.399913E+02   0.298501E+02   0.210757E+02   0.318907E+02   0.244900E+02   0.806167E-02   0.513049E-02   0.326239E-02   0.195212E-01   0.836058E-02  -0.951417E+03
   0.399913E+02   0.301960E+02   0.209562E+02   0.318981E+02   0.249230E+02   0.132207E-01   0.161371E-01   0.388175E-02   0.520121E-02   0.117992E-01  -0.955861E+03
