Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.301042E+02   0.120088E+02  -0.918594E+00   0.747092E+00   0.289091E+02  -0.615104E+00   0.404843E+01  -0.489661E+01   0.639567E-01   0.284318E-01   0.538085E-02   0.267891E-01   0.397651E-01  -0.111546E+04
   0.301951E+02   0.120088E+02  -0.350169E+00  -0.122052E+01   0.306519E+02   0.961340E+00   0.473103E+01  -0.266871E+01   0.616232E-01   0.479484E-04   0.207151E-01   0.835280E-02   0.334648E-01  -0.110963E+04
   0.299615E+02   0.120088E+02  -0.548141E+00  -0.444140E+00   0.298996E+02  -0.404122E+00   0.532629E+01  -0.219269E+01   0.648752E-01   0.243878E-01   0.461837E-01   0.506762E-02   0.491528E-02  -0.111070E+04
   0.301624E+02   0.118665E+02  -0.762808E+00  -0.444140E+00   0.290908E+02   0.861821E+00   0.505852E+01  -0.678221E+01   0.566857E-01   0.566683E-02   0.116293E-02   0.135652E-01   0.286168E-02  -0.110352E+04
   0.298353E+02   0.114344E+02  -0.876269E+00  -0.238539E+00   0.297500E+02   0.709788E+00   0.543909E+01  -0.782629E+01   0.558013E-01   0.246143E-02   0.571504E-03   0.122372E-01   0.483611E-02  -0.110553E+04
   0.297783E+02   0.113638E+02  -0.964533E+00  -0.238539E+00   0.296543E+02   0.919828E+00   0.418822E+01  -0.455836E+01   0.671802E-01   0.995357E-02   0.133503E-01   0.271646E-03   0.167521E-01  -0.110605E+04
   0.300277E+02   0.116950E+02  -0.706001E+00   0.582243E-01   0.311884E+02   0.121539E+01   0.451827E+01  -0.572168E+01   0.673948E-01   0.160252E-01   0.173236E-01   0.271646E-03   0.178092E-02  -0.110688E+04
   0.300838E+02   0.118559E+02  -0.128397E+01   0.551633E-03   0.311884E+02   0.195540E+01   0.582172E+01  -0.565921E+01   0.717921E-01   0.129141E-03   0.903053E-02   0.311859E-02   0.461167E-02  -0.110727E+04
   0.301755E+02   0.120425E+02  -0.128397E+01  -0.580906E+00   0.300426E+02   0.482397E+00   0.763239E+01  -0.469942E+01   0.626557E-01   0.187800E-02   0.184331E-02   0.674905E-02   0.157858E-01  -0.110504E+04
   0.299502E+02   0.118435E+02  -0.128397E+01  -0.850391E+00   0.309997E+02   0.112703E+01   0.534339E+01  -0.361350E+01   0.602890E-01   0.216245E-01   0.832329E-03   0.207995E-01   0.138063E-01  -0.110921E+04
   0.301459E+02   0.116866E+02  -0.962558E+00  -0.649231E+00   0.297099E+02   0.244304E+01   0.356441E+01  -0.316081E+01   0.604332E-01   0.960473E-02   0.272203E-01   0.128554E-01   0.405325E-02  -0.110519E+04
   0.299984E+02   0.120958E+02  -0.109598E+01  -0.302936E+00   0.301326E+02   0.176223E+01   0.758121E+01  -0.605079E+01   0.578086E-01   0.174408E-01   0.162541E-01   0.986505E-02   0.579539E-02  -0.110826E+04
   0.299984E+02   0.116431E+02  -0.124447E+01  -0.291156E+00   0.303020E+02   0.207775E+01   0.508578E+01  -0.488123E+01   0.699373E-01   0.132652E-01   0.235320E-01   0.454363E-02   0.331209E-02  -0.110693E+04
   0.302731E+02   0.122131E+02  -0.240292E+00  -0.790749E+00   0.303103E+02   0.590441E+00   0.846420E+01  -0.317581E+01   0.684184E-01   0.263607E-01   0.184277E-01   0.254552E-01   0.182730E-02  -0.111289E+04
   0.301677E+02   0.120890E+02  -0.526824E+00  -0.790749E+00   0.299472E+02   0.122433E+01   0.641592E+01  -0.669574E+01   0.612876E-01   0.686655E-01   0.197783E-01   0.653243E-03   0.906171E-02  -0.111117E+04
   0.300207E+02   0.117020E+02  -0.106801E+01  -0.866669E+00   0.286379E+02   0.184044E+01   0.198840E+01  -0.140462E+01   0.573906E-01   0.868120E-02   0.488809E-02   0.544970E-04   0.869862E-02  -0.110425E+04
   0.300483E+02   0.117020E+02  -0.133151E+01  -0.864781E+00   0.293062E+02   0.443341E+01   0.581483E+01  -0.446741E+01   0.573906E-01   0.370769E-01   0.442522E-02   0.393904E-02   0.229979E-01  -0.111009E+04
   0.300942E+02   0.117020E+02  -0.145796E+01  -0.293610E+00   0.285666E+02   0.248875E+01   0.555127E+01  -0.420198E+01   0.616423E-01   0.318082E-02   0.885274E-02   0.172684E-02   0.653848E-02  -0.110459E+04
   0.299700E+02   0.117709E+02  -0.105545E+01  -0.672002E+00   0.293588E+02   0.169354E+01   0.442545E+01  -0.395025E+01   0.689053E-01   0.883461E-02   0.869492E-02   0.172684E-02   0.112370E-01  -0.110511E+04
   0.299700E+02   0.120804E+02  -0.105545E+01  -0.861128E+00   0.293588E+02   0.243651E+01   0.511825E+01  -0.193416E+01   0.532139E-01   0.150793E-01   0.188448E-01   0.165412E-01   0.511788E-02  -0.111005E+04
   0.300793E+02   0.116777E+02  -0.110063E+01  -0.917586E+00   0.296947E+02   0.138864E+01   0.549489E+01  -0.436278E+01   0.550854E-01   0.182300E-01   0.672158E-02   0.116793E-01   0.113168E-04  -0.110422E+04
   0.300793E+02   0.117236E+02  -0.110063E+01  -0.483871E+00   0.303034E+02   0.116895E+01   0.734848E+01  -0.448111E+01   0.559507E-01   0.275489E-01   0.101761E-01   0.101258E-01   0.588462E-03  -0.110663E+04
   0.300793E+02   0.120312E+02  -0.829245E+00  -0.951688E+00   0.302481E+02   0.237578E+01   0.457067E+01  -0.275199E+01   0.573148E-01   0.190553E-01   0.662301E-02   0.710549E-02   0.195319E-02  -0.110530E+04
   0.298323E+02   0.110608E+02  -0.723777E+00  -0.951688E+00   0.296316E+02   0.434578E+01   0.567402E+01  -0.787226E+00   0.592913E-01   0.823729E-02   0.349076E-02   0.328223E-02   0.385105E-01  -0.111144E+04
   0.296266E+02   0.111773E+02  -0.133487E+01  -0.547091E+00   0.299258E+02   0.593215E+01   0.653928E+01  -0.364007E+00   0.593773E-01   0.998141E-03   0.230458E-01   0.833118E-03   0.349418E-02  -0.111305E+04
   0.300546E+02   0.118800E+02  -0.133487E+01  -0.747001E+00   0.290246E+02   0.262865E+01   0.459009E+01  -0.141035E+01   0.552058E-01   0.921694E-02   0.123006E-01   0.839688E-02   0.341958E-03  -0.110488E+04
   0.300316E+02   0.119095E+02   0.969226E-01  -0.131654E+00   0.283148E+02   0.458689E+01   0.449602E+01   0.962388E-01   0.600208E-01   0.956592E-02   0.156208E-01   0.105791E-01   0.853489E-02  -0.110954E+04
   0.302869E+02   0.122598E+02  -0.100675E+01  -0.836636E+00   0.291356E+02   0.543207E+01   0.435872E+01  -0.519044E+01   0.565083E-01   0.827852E-02   0.494008E-02   0.638521E-02   0.246978E-02  -0.110960E+04
   0.301414E+02   0.121919E+02   0.320349E+00   0.198072E-01   0.279005E+02   0.313680E+01   0.286335E+01  -0.285567E+01   0.631025E-01   0.396521E-02   0.179315E-01   0.915604E-03   0.112873E-01  -0.110873E+04
   0.299724E+02   0.117950E+02  -0.699491E+00   0.131292E-01   0.291968E+02   0.293297E+01   0.463301E+01  -0.384171E+01   0.562071E-01   0.219005E-03   0.101699E-01   0.879517E-02   0.379588E-01  -0.110500E+04
   0.299537E+02   0.118423E+02  -0.112265E+01  -0.754745E+00   0.291968E+02   0.315644E+01   0.264853E+01  -0.437495E+01   0.611894E-01   0.262867E-02   0.159872E-02   0.986016E-02   0.283424E-01  -0.110573E+04
   0.299537E+02   0.114199E+02  -0.937118E+00  -0.202676E+00   0.296020E+02   0.307137E+01   0.346530E+01  -0.507456E+01   0.599616E-01   0.776850E-03   0.118658E-01   0.164838E-01   0.319663E-01  -0.110724E+04
   0.300444E+02   0.117181E+02  -0.906416E+00  -0.714890E+00   0.292565E+02   0.259469E+01   0.229126E+01  -0.188901E+00   0.652010E-01   0.518711E-02   0.125185E-01   0.126013E-01   0.168929E-01  -0.110681E+04
   0.299973E+02   0.113012E+02  -0.115809E+01  -0.794129E+00   0.298429E+02   0.169881E+01   0.728280E+01  -0.261338E+01   0.628001E-01   0.141272E-01   0.368629E-02   0.742969E-02   0.165908E-01  -0.110652E+04
   0.299791E+02   0.113012E+02  -0.115809E+01  -0.103603E+01   0.288438E+02   0.390537E+01   0.424137E+01  -0.234199E+01   0.623419E-01   0.282090E-02   0.407551E-02   0.178794E-01   0.173799E-01  -0.110617E+04
   0.299672E+02   0.116385E+02  -0.106133E+01  -0.440000E+00   0.284284E+02   0.170692E+01   0.299476E+01  -0.234900E+01   0.590363E-01   0.932501E-03   0.409262E-03   0.147192E-01   0.258102E-01  -0.110483E+04
   0.298682E+02   0.114899E+02  -0.124659E+01   0.478009E+00   0.303713E+02   0.195066E+01   0.352022E+01  -0.360288E+01   0.591702E-01   0.259405E-03   0.409262E-03   0.164500E-02   0.136206E-01  -0.110570E+04
   0.298231E+02   0.113904E+02  -0.125363E+01   0.371474E+00   0.288933E+02   0.340071E+01   0.445251E+01   0.196462E+00   0.605918E-01   0.238885E-02   0.170629E-01   0.313253E-02   0.270145E-02  -0.110721E+04
   0.300378E+02   0.115104E+02  -0.813179E+00  -0.711909E+00   0.299032E+02   0.193785E+01   0.484585E+01  -0.292533E+01   0.588546E-01   0.399418E-02   0.327665E-01   0.378519E-02   0.270145E-02  -0.110459E+04
   0.300378E+02   0.113811E+02  -0.103581E+01  -0.711909E+00   0.293959E+02   0.227325E+01   0.357543E+01  -0.123889E+01   0.678739E-01   0.190621E-01   0.132207E-02   0.700237E-02   0.909071E-02  -0.110595E+04
   0.300197E+02   0.117821E+02  -0.103581E+01  -0.129526E+01   0.299402E+02   0.241664E+01   0.215599E+01  -0.603377E+00   0.648509E-01   0.141699E-01   0.216138E-02   0.247260E-01   0.828529E-02  -0.110869E+04
   0.299899E+02   0.117160E+02  -0.778399E+00  -0.992598E+00   0.303555E+02   0.178293E+01   0.576068E+01  -0.455893E+01   0.583683E-01   0.808326E-02   0.319685E-01   0.108391E-01   0.102936E-01  -0.110682E+04
   0.300930E+02   0.117160E+02  -0.778399E+00  -0.928393E+00   0.299750E+02   0.195926E+01   0.767246E+01  -0.233897E+01   0.580829E-01   0.736407E-02   0.119578E-01   0.171229E-02   0.184976E-01  -0.110599E+04
   0.299847E+02   0.116787E+02  -0.128691E+01   0.710837E-01   0.299555E+02   0.240127E+01   0.272335E+01  -0.744608E+01   0.582496E-01   0.414053E-02   0.893616E-02   0.907719E-03   0.419482E-02  -0.110653E+04
   0.299847E+02   0.118870E+02  -0.800652E+00   0.469416E+00   0.305789E+02   0.165180E+01   0.697332E+01  -0.278483E+01   0.586792E-01   0.205001E-02   0.185920E-01   0.244035E-01   0.437166E-02  -0.110759E+04
   0.300328E+02   0.121109E+02  -0.648761E+00  -0.546119E+00   0.298786E+02   0.225105E+01   0.487749E+01  -0.548386E+01   0.592808E-01   0.130933E-02   0.202786E-02   0.196818E-01   0.360545E-02  -0.110307E+04
   0.301323E+02   0.121545E+02  -0.338252E+00   0.846981E-02   0.289099E+02   0.212760E+01   0.499069E+01  -0.305068E+01   0.568824E-01   0.670428E-02   0.165164E-01   0.211047E-02   0.195447E-01  -0.110378E+04
   0.301792E+02   0.120148E+02  -0.795761E-02  -0.652645E+00   0.301486E+02   0.261038E+01   0.195644E+01  -0.558446E+01   0.670281E-01   0.895062E-02   0.365686E-02   0.152184E-01   0.170468E-01  -0.110902E+04
   0.300900E+02   0.122865E+02  -0.241021E+00  -0.476741E+00   0.301046E+02   0.260451E+01   0.486148E+01  -0.524388E+01   0.599809E-01   0.416061E-02   0.797133E-02   0.503893E-02   0.154192E-01  -0.110475E+04
   0.301747E+02   0.120246E+02   0.134412E+00   0.204259E+00   0.295028E+02   0.219527E+01   0.676269E+01  -0.251663E+01   0.630337E-01   0.253500E-01   0.776934E-02   0.386720E-02   0.512118E-02  -0.110744E+04
   0.301747E+02   0.120246E+02  -0.162521E+00   0.332629E+00   0.294208E+02   0.795138E+00   0.462258E+01  -0.433702E+01   0.623276E-01   0.383939E-02   0.108675E-01   0.148119E-02   0.110304E-01  -0.110379E+04
   0.301747E+02   0.122583E+02  -0.682607E+00   0.992268E-01   0.304047E+02   0.799698E+00   0.573934E+01  -0.533149E+01   0.668574E-01   0.117947E-01   0.698354E-02   0.881173E-03   0.139379E-01  -0.110539E+04
   0.301747E+02   0.122455E+02  -0.596805E+00   0.473023E+00   0.300703E+02   0.336549E+01   0.587232E+01  -0.150576E+01   0.698850E-01   0.167859E-01   0.111987E-01   0.210557E-01   0.907152E-02  -0.111073E+04
   0.304241E+02   0.123605E+02  -0.822120E+00  -0.557127E+00   0.296104E+02   0.346175E+01   0.443711E+01  -0.105510E+02   0.615901E-01   0.150743E-02   0.575383E-02   0.261448E-02   0.103956E-01  -0.111494E+04
   0.299446E+02   0.116180E+02  -0.282092E+00  -0.434938E+00   0.299643E+02   0.146986E+01   0.366735E+01  -0.443886E+01   0.641690E-01   0.983599E-02   0.154376E-04   0.820174E-02   0.705845E-02  -0.110368E+04
   0.301558E+02   0.118349E+02  -0.282092E+00  -0.919328E+00   0.291328E+02   0.360065E+01   0.465692E+01  -0.371065E+01   0.658882E-01   0.121329E-01   0.285219E-01   0.616670E-02   0.209937E-02  -0.110777E+04
   0.298711E+02   0.117539E+02  -0.681525E+00   0.389703E+00   0.306207E+02   0.236094E+01   0.601968E+01  -0.681319E+01   0.553432E-01   0.304090E-01   0.166645E-02   0.328117E-02   0.614575E-02  -0.110909E+04
   0.298465E+02   0.118901E+02  -0.681525E+00   0.389703E+00   0.288000E+02   0.180388E+01   0.478773E+01  -0.646148E+01   0.541834E-01   0.111672E-01   0.397328E-02   0.302576E-03   0.111176E-01  -0.110592E+04
   0.298769E+02   0.114720E+02  -0.681525E+00   0.575111E+00   0.293169E+02   0.405364E+01   0.511966E+01  -0.218790E+01   0.649166E-01   0.868939E-02   0.134231E-01   0.248649E-02   0.262382E-01  -0.110931E+04
   0.298728E+02   0.116644E+02  -0.131933E+01  -0.153646E+01   0.305670E+02   0.192777E+01   0.797721E+01  -0.436858E+01   0.591663E-01   0.434398E-02   0.695017E-03   0.690870E-02   0.374169E-02  -0.110743E+04
   0.298728E+02   0.114241E+02  -0.137430E+01  -0.599191E+00   0.306646E+02  -0.940194E-01   0.825600E+01  -0.478783E+01   0.641298E-01   0.129833E-02   0.414412E-01   0.116672E-02   0.262303E-02  -0.110817E+04
   0.300991E+02   0.121144E+02  -0.396474E+00   0.105057E+00   0.304013E+02  -0.450512E+00   0.543630E+01  -0.188550E+01   0.668743E-01   0.839067E-02   0.794333E-02   0.217798E-01   0.505057E-02  -0.110768E+04
   0.300251E+02   0.121144E+02  -0.295780E+00   0.233195E+00   0.299159E+02  -0.106262E+01   0.602623E+01  -0.478204E+01   0.575379E-01   0.987097E-02   0.150140E-01   0.426247E-02   0.344601E-02  -0.110574E+04
   0.300968E+02   0.118563E+02  -0.855876E+00  -0.846190E+00   0.299345E+02   0.181202E+01   0.602623E+01  -0.522681E+01   0.617288E-01   0.701990E-02   0.135519E-01   0.359529E-03   0.514089E-02  -0.110247E+04
   0.300968E+02   0.118563E+02  -0.115973E+01   0.229624E+00   0.297919E+02   0.281303E+00   0.466478E+01  -0.369135E+01   0.617804E-01   0.124616E-02   0.251325E-02   0.126682E-01   0.110376E-01  -0.110414E+04
   0.300592E+02   0.119414E+02  -0.277223E+00  -0.190358E+00   0.294003E+02  -0.122669E+00   0.676395E+01  -0.426388E+01   0.640771E-01   0.594571E-02   0.119190E-01   0.890746E-01   0.360210E-02  -0.111309E+04
   0.301794E+02   0.119846E+02  -0.933606E+00  -0.418708E+00   0.298489E+02   0.997043E+00   0.644352E+01  -0.772128E+01   0.587958E-01   0.157665E-01   0.792453E-02   0.195333E-01   0.134739E-01  -0.110760E+04
   0.302467E+02   0.119685E+02  -0.797562E+00  -0.854354E+00   0.295656E+02   0.997043E+00   0.759607E+01  -0.570207E+01   0.640130E-01   0.531438E-02   0.162463E-01   0.150672E-01   0.946600E-03  -0.110657E+04
   0.303039E+02   0.123519E+02  -0.836741E+00  -0.434697E+00   0.294455E+02   0.187843E+01   0.657444E+01  -0.860793E+00   0.595113E-01   0.130247E-01   0.179560E-01   0.695446E-02   0.710199E-03  -0.110691E+04
   0.301509E+02   0.119967E+02  -0.447790E+00  -0.163716E+00   0.280433E+02   0.231723E+01   0.342542E+01  -0.136687E+01   0.635760E-01   0.158334E-01   0.527097E-02   0.943924E-02   0.466592E-02  -0.110636E+04
   0.300507E+02   0.120215E+02  -0.260133E+00  -0.539867E+00   0.281956E+02   0.122417E+01   0.612629E+01  -0.419765E+01   0.541817E-01   0.109750E-01   0.544349E-02   0.147524E-01   0.464845E-01  -0.111097E+04
   0.301450E+02   0.120215E+02  -0.446540E+00  -0.534806E+00   0.289238E+02   0.204117E+01   0.423621E+01  -0.259113E+01   0.557873E-01   0.363663E-02   0.331575E-01   0.654103E-02   0.254996E-01  -0.110649E+04
   0.300128E+02   0.117373E+02  -0.137479E+01  -0.891576E+00   0.291070E+02   0.429990E+01   0.507321E+01   0.303492E+00   0.592354E-01   0.576697E-02   0.313879E-01   0.100316E-01   0.799591E-02  -0.110934E+04
   0.297680E+02   0.118423E+02  -0.518938E+00  -0.393354E+00   0.294112E+02   0.256863E+00   0.722768E+01  -0.160832E+01   0.605716E-01   0.150463E-01   0.536315E-02   0.132775E-01   0.917177E-02  -0.110909E+04
   0.296031E+02   0.108728E+02  -0.172663E+01  -0.390449E+00   0.294945E+02   0.294958E+01   0.513630E+01  -0.573252E+01   0.630212E-01   0.105562E-01   0.840861E-02   0.151641E-03   0.931902E-03  -0.110845E+04
   0.296929E+02   0.113500E+02  -0.131783E+01  -0.661337E+00   0.290724E+02   0.282058E+01   0.513630E+01  -0.221527E+01   0.618655E-01   0.890394E-02   0.124751E-02   0.381290E-02   0.112149E-01  -0.110509E+04
   0.296929E+02   0.108750E+02  -0.122485E+01  -0.128350E+01   0.290724E+02   0.208513E+01   0.840585E+00  -0.419972E+00   0.703249E-01   0.190313E-01   0.145087E-01   0.797682E-02   0.100730E-01  -0.111386E+04
   0.299275E+02   0.117687E+02  -0.986530E+00  -0.339557E+00   0.312274E+02   0.201986E+01   0.397996E+01  -0.166700E+01   0.653751E-01   0.128392E-02   0.667529E-02   0.551630E-02   0.148312E-01  -0.110658E+04
   0.301367E+02   0.114612E+02  -0.120604E+01   0.132082E+00   0.298573E+02   0.158899E+01   0.378221E+01  -0.352609E+01   0.630815E-01   0.279331E-02   0.845748E-02   0.180490E-01   0.244122E-01  -0.110832E+04
   0.301367E+02   0.124488E+02  -0.111082E+00   0.875085E-01   0.303627E+02   0.158899E+01   0.476893E+01  -0.667536E+01   0.580360E-01   0.279331E-02   0.183164E-01   0.251519E-01   0.100684E-01  -0.110843E+04
   0.301367E+02   0.119668E+02  -0.201317E+00   0.875085E-01   0.277286E+02   0.231514E+01   0.387366E+01  -0.310153E+01   0.630964E-01   0.119423E-01   0.721612E-02   0.109662E-01   0.353807E-01  -0.111106E+04
