Kmin_MC_a0    Kmin_MC_a1    Kmin_MC_a2    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Q_mult_e1_n1  Q_mult_e1_n2  Q_mult_e2_n1  Q_mult_e2_n2  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.303786E+02  0.120128E+02  0.130330E+01  0.252773E+02  0.560395E+01  0.171305E+01  0.100000E+01  0.142497E+01  0.106244E+01  0.100790E+01  0.449912E-02  0.659261E-02  0.127090E-01  0.957740E-02  0.542452E-02 -0.131320E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.252951E+02  0.560395E+01  0.171305E+01  0.100000E+01  0.142497E+01  0.106158E+01  0.100790E+01  0.451367E-02  0.686774E-02  0.129070E-01  0.949301E-02  0.542452E-02 -0.131339E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.253253E+02  0.560395E+01  0.171305E+01  0.100000E+01  0.142497E+01  0.106158E+01  0.100790E+01  0.451367E-02  0.675168E-02  0.114447E-01  0.878567E-02  0.458885E-02 -0.131225E+04
  0.305347E+02  0.120128E+02  0.130330E+01  0.253821E+02  0.560395E+01  0.171305E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.100790E+01  0.451367E-02  0.477068E-02  0.113417E-01  0.914632E-02  0.494077E-02 -0.130986E+04
  0.305347E+02  0.120128E+02  0.130330E+01  0.253821E+02  0.560395E+01  0.171305E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.100790E+01  0.451367E-02  0.506957E-02  0.114925E-01  0.110543E-01  0.478825E-02 -0.131008E+04
  0.305347E+02  0.120128E+02  0.130330E+01  0.253933E+02  0.566992E+01  0.171305E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982226E+00  0.557395E-02  0.595725E-02  0.122399E-01  0.111989E-01  0.586021E-02 -0.130358E+04
  0.305347E+02  0.120128E+02  0.130330E+01  0.254696E+02  0.566992E+01  0.171305E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982226E+00  0.661498E-02  0.575217E-02  0.124021E-01  0.110205E-01  0.571667E-02 -0.129640E+04
  0.305347E+02  0.120128E+02  0.836181E+00  0.254696E+02  0.512835E+01  0.171305E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982226E+00  0.720271E-02  0.717592E-02  0.123910E-01  0.108343E-01  0.631564E-02 -0.127729E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.256244E+02  0.512835E+01  0.264745E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982226E+00  0.706338E-02  0.717592E-02  0.130242E-01  0.104951E-01  0.682999E-02 -0.127729E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.257153E+02  0.512835E+01  0.264745E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982226E+00  0.812855E-02  0.745592E-02  0.126636E-01  0.979306E-02  0.771396E-02 -0.126920E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.257153E+02  0.512835E+01  0.264745E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.968663E+00  0.812855E-02  0.528892E-02  0.126636E-01  0.767563E-02  0.837980E-02 -0.127201E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.258110E+02  0.512835E+01  0.264745E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.990450E+00  0.812855E-02  0.316062E-02  0.122458E-01  0.804810E-02  0.691562E-02 -0.126660E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.259259E+02  0.525967E+01  0.264745E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.990450E+00  0.829562E-02  0.428592E-02  0.134911E-01  0.960705E-02  0.810242E-02 -0.126499E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.259721E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.990450E+00  0.936638E-02  0.251886E-02  0.141235E-01  0.938236E-02  0.810242E-02 -0.125710E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.259110E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.990450E+00  0.936638E-02  0.257979E-02  0.152424E-01  0.113007E-01  0.682289E-02 -0.125769E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260579E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106158E+01  0.982437E+00  0.964080E-02  0.411505E-02  0.139023E-01  0.111826E-01  0.568942E-02 -0.125691E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260579E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.982437E+00  0.964080E-02  0.443519E-02  0.136658E-01  0.108190E-01  0.453009E-02 -0.125571E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260482E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.105264E-01  0.328809E-02  0.129642E-01  0.104078E-01  0.375514E-02 -0.124566E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260482E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.106046E-01  0.135114E-02  0.125662E-01  0.122089E-01  0.375514E-02 -0.124499E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260482E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.107080E-01  0.163340E-02  0.130424E-01  0.115883E-01  0.336109E-02 -0.124415E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260482E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.106706E-01  0.248253E-02  0.137008E-01  0.114466E-01  0.382755E-02 -0.124463E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.260810E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.115034E-01  0.100201E-02  0.139510E-01  0.107400E-01  0.302616E-02 -0.123752E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.259714E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.115034E-01  0.114599E-02  0.144368E-01  0.119101E-01  0.290681E-02 -0.123845E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.259953E+02  0.563564E+01  0.205157E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.115034E-01  0.211313E-02  0.156305E-01  0.962226E-02  0.215888E-02 -0.123817E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.261728E+02  0.563564E+01  0.324504E+01  0.100000E+01  0.148407E+01  0.106277E+01  0.993896E+00  0.109570E-01  0.103515E-02  0.158190E-01  0.113327E-01  0.110872E-02 -0.124251E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.263375E+02  0.563564E+01  0.324504E+01  0.100000E+01  0.148407E+01  0.106737E+01  0.993896E+00  0.117069E-01  0.128030E-03  0.158841E-01  0.128889E-01  0.110872E-02 -0.123226E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.264458E+02  0.563564E+01  0.324504E+01  0.100000E+01  0.148407E+01  0.106737E+01  0.993896E+00  0.134588E-01  0.456969E-03  0.152497E-01  0.138382E-01  0.144398E-02 -0.121771E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.264466E+02  0.563564E+01  0.324504E+01  0.100000E+01  0.148407E+01  0.106737E+01  0.993896E+00  0.136651E-01  0.119868E-02  0.161074E-01  0.145422E-01  0.706810E-03 -0.121618E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.264578E+02  0.563564E+01  0.324504E+01  0.100000E+01  0.148407E+01  0.106737E+01  0.993896E+00  0.148839E-01  0.119868E-02  0.155854E-01  0.125840E-01  0.302428E-03 -0.120608E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.266118E+02  0.563564E+01  0.324504E+01  0.995015E+00  0.148407E+01  0.106737E+01  0.993896E+00  0.148839E-01  0.102057E-02  0.159885E-01  0.126870E-01  0.302428E-03 -0.120083E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.267254E+02  0.399660E+01  0.324504E+01  0.995015E+00  0.148407E+01  0.109240E+01  0.102864E+01  0.166282E-01  0.216335E-02  0.166843E-01  0.120580E-01  0.328815E-03 -0.118537E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.267899E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.109240E+01  0.102864E+01  0.166282E-01  0.746520E-04  0.177140E-01  0.117471E-01  0.328815E-03 -0.118495E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.267899E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.109240E+01  0.102864E+01  0.166282E-01  0.790922E-03  0.161403E-01  0.121347E-01  0.328815E-03 -0.118490E+04
  0.303998E+02  0.120128E+02  0.836181E+00  0.267899E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.109240E+01  0.102864E+01  0.170098E-01  0.790922E-03  0.156539E-01  0.114756E-01  0.701976E-03 -0.118196E+04
  0.303998E+02  0.119570E+02  0.836181E+00  0.267899E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.107499E+01  0.102864E+01  0.173719E-01  0.176149E-02  0.174740E-01  0.115179E-01  0.114302E-02 -0.117358E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.268356E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.107499E+01  0.102864E+01  0.190571E-01  0.241372E-02  0.165286E-01  0.110098E-01  0.597940E-03 -0.115997E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.270352E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.107499E+01  0.102864E+01  0.190571E-01  0.228265E-02  0.167533E-01  0.127542E-01  0.114569E-02 -0.115810E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.271150E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.150270E+01  0.107499E+01  0.102864E+01  0.202017E-01  0.177364E-02  0.164821E-01  0.131080E-01  0.506931E-03 -0.114992E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.270356E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.102864E+01  0.212095E-01  0.216901E-02  0.164901E-01  0.126448E-01  0.526073E-03 -0.113966E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.270512E+02  0.385693E+01  0.324504E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.102864E+01  0.216077E-01  0.190721E-02  0.169853E-01  0.117227E-01  0.526073E-03 -0.113708E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.269985E+02  0.385693E+01  0.337079E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.102864E+01  0.218896E-01  0.113389E-02  0.166999E-01  0.113646E-01  0.358913E-03 -0.113583E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.269290E+02  0.385693E+01  0.337079E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.101653E+01  0.218896E-01  0.376598E-03  0.162730E-01  0.921156E-02  0.358913E-03 -0.113622E+04
  0.303998E+02  0.119570E+02  0.410118E+00  0.270309E+02  0.385693E+01  0.249071E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.101744E+01  0.237993E-01  0.109596E-03  0.160240E-01  0.909580E-02  0.130669E-02 -0.112535E+04
  0.303998E+02  0.119570E+02  0.114071E+00  0.271225E+02  0.385693E+01  0.249071E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.101744E+01  0.253063E-01  0.117396E-02  0.168465E-01  0.909580E-02  0.237997E-02 -0.111711E+04
  0.303998E+02  0.119570E+02  0.114071E+00  0.270431E+02  0.385693E+01  0.249071E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.103631E+01  0.253063E-01  0.349106E-02  0.161105E-01  0.898304E-02  0.223011E-02 -0.111723E+04
  0.303998E+02  0.119570E+02  0.114071E+00  0.271655E+02  0.385693E+01  0.249071E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.103631E+01  0.261798E-01  0.372391E-02  0.160815E-01  0.960051E-02  0.216171E-02 -0.111222E+04
  0.303998E+02  0.119570E+02  0.114071E+00  0.272669E+02  0.540915E+01  0.249071E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.103631E+01  0.272266E-01  0.431542E-02  0.157868E-01  0.755484E-02  0.579020E-03 -0.110794E+04
  0.303998E+02  0.119570E+02  0.114071E+00  0.272669E+02  0.487456E+01  0.319984E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.104807E+01  0.272266E-01  0.413984E-02  0.148296E-01  0.722481E-02  0.579020E-03 -0.110739E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.273280E+02  0.422218E+01  0.319984E+01  0.995015E+00  0.969454E+00  0.107499E+01  0.104807E+01  0.277043E-01  0.508967E-02  0.140856E-01  0.899697E-02  0.579020E-03 -0.110427E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.273315E+02  0.422218E+01  0.319984E+01  0.995015E+00  0.969454E+00  0.108104E+01  0.104807E+01  0.277043E-01  0.410247E-02  0.142941E-01  0.929854E-02  0.624735E-03 -0.110356E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.274080E+02  0.422218E+01  0.319984E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104807E+01  0.277043E-01  0.665336E-02  0.146252E-01  0.100813E-01  0.428804E-03 -0.110135E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.273961E+02  0.422218E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104807E+01  0.277043E-01  0.665336E-02  0.143370E-01  0.104591E-01  0.833265E-03 -0.110141E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.273961E+02  0.463122E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.304401E-01  0.765694E-02  0.148466E-01  0.112395E-01  0.407152E-03 -0.109291E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.273961E+02  0.463122E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.304401E-01  0.862441E-02  0.142569E-01  0.130754E-01  0.407152E-03 -0.109313E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.276221E+02  0.463122E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.304401E-01  0.951586E-02  0.132261E-01  0.140999E-01  0.682442E-03 -0.109190E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.275296E+02  0.463122E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.315033E-01  0.821897E-02  0.117492E-01  0.141505E-01  0.682442E-03 -0.108921E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.275901E+02  0.463122E+01  0.225523E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.315033E-01  0.762511E-02  0.124732E-01  0.151660E-01  0.593696E-03 -0.108898E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.277060E+02  0.463122E+01  0.377034E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.306271E-01  0.875776E-02  0.132390E-01  0.173286E-01  0.147773E-03 -0.109113E+04
  0.303998E+02  0.115904E+02  0.114071E+00  0.276704E+02  0.463122E+01  0.468979E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.295502E-01  0.101321E-01  0.119502E-01  0.172980E-01  0.112977E-02 -0.109600E+04
  0.303998E+02  0.115904E+02  0.227645E+00  0.277578E+02  0.463122E+01  0.371401E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.305964E-01  0.110109E-01  0.117638E-01  0.175478E-01  0.253660E-02 -0.109106E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.278322E+02  0.463122E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.104004E+01  0.312820E-01  0.116111E-01  0.103065E-01  0.183939E-01  0.226708E-02 -0.108945E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.278322E+02  0.421609E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.312820E-01  0.120531E-01  0.117552E-01  0.180056E-01  0.393572E-02 -0.108940E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.278322E+02  0.421609E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.318151E-01  0.113970E-01  0.118244E-01  0.183447E-01  0.493027E-02 -0.108809E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.278902E+02  0.421609E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.318151E-01  0.125309E-01  0.118244E-01  0.198737E-01  0.727167E-02 -0.108796E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.277288E+02  0.421609E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.318151E-01  0.129210E-01  0.132226E-01  0.192765E-01  0.625918E-02 -0.108984E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.279712E+02  0.494341E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.321238E-01  0.118017E-01  0.116711E-01  0.213144E-01  0.627552E-02 -0.108687E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.279712E+02  0.494341E+01  0.363014E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.335020E-01  0.112224E-01  0.115725E-01  0.197960E-01  0.657087E-02 -0.108358E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.279712E+02  0.566738E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107465E+01  0.333886E-01  0.983513E-02  0.110261E-01  0.186816E-01  0.557811E-02 -0.108431E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.280610E+02  0.566738E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.340114E-01  0.981678E-02  0.116875E-01  0.214717E-01  0.540785E-02 -0.108269E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.280672E+02  0.604809E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.344193E-01  0.948507E-02  0.115824E-01  0.194268E-01  0.540785E-02 -0.108269E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.280672E+02  0.604809E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.358473E-01  0.887965E-02  0.953943E-02  0.186479E-01  0.440653E-02 -0.107980E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.280672E+02  0.548674E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.359012E-01  0.781175E-02  0.103837E-01  0.191174E-01  0.374300E-02 -0.107816E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.282351E+02  0.405966E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.365168E-01  0.668458E-02  0.117669E-01  0.190779E-01  0.250772E-02 -0.107405E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.282904E+02  0.405966E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.107891E+01  0.366698E-01  0.596621E-02  0.911869E-02  0.196368E-01  0.244228E-02 -0.107309E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.283825E+02  0.405966E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.106533E+01  0.366698E-01  0.561130E-02  0.808584E-02  0.216482E-01  0.184778E-02 -0.107279E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.284205E+02  0.405966E+01  0.319496E+01  0.995015E+00  0.133147E+01  0.108104E+01  0.106533E+01  0.366698E-01  0.603935E-02  0.697269E-02  0.214705E-01  0.223029E-02 -0.107253E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.282464E+02  0.411827E+01  0.119734E+01  0.995015E+00  0.122685E+01  0.108104E+01  0.110494E+01  0.364120E-01  0.621761E-02  0.645136E-02  0.204793E-01  0.191466E-02 -0.107427E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.282334E+02  0.411827E+01  0.119734E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.107453E+01  0.364120E-01  0.601199E-02  0.655373E-02  0.212694E-01  0.245315E-02 -0.107406E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.284845E+02  0.411827E+01  0.186293E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.107453E+01  0.359656E-01  0.725631E-02  0.716120E-02  0.212904E-01  0.141613E-02 -0.107279E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.284373E+02  0.411827E+01  0.186293E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.111019E+01  0.359656E-01  0.902201E-02  0.682605E-02  0.216167E-01  0.136036E-04 -0.107332E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.285808E+02  0.326602E+01  0.297126E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.111019E+01  0.369292E-01  0.772662E-02  0.642916E-02  0.223389E-01  0.336027E-03 -0.107125E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.286059E+02  0.516588E+01  0.297126E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.111019E+01  0.370478E-01  0.754864E-02  0.467698E-02  0.228779E-01  0.215666E-05 -0.107080E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.286791E+02  0.516588E+01  0.297126E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.111019E+01  0.377404E-01  0.867922E-02  0.590036E-02  0.228779E-01  0.171305E-03 -0.106945E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.286791E+02  0.516588E+01  0.297126E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.111019E+01  0.382077E-01  0.800568E-02  0.539454E-02  0.242590E-01  0.171305E-03 -0.106891E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.286791E+02  0.383536E+01  0.387070E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.107558E+01  0.385281E-01  0.697630E-02  0.367205E-02  0.236494E-01  0.171305E-03 -0.106762E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.286652E+02  0.383536E+01  0.387070E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.110577E+01  0.389343E-01  0.632183E-02  0.441257E-02  0.238786E-01  0.171305E-03 -0.106772E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.285605E+02  0.383536E+01  0.387070E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.105981E+01  0.383434E-01  0.548336E-02  0.364882E-02  0.256345E-01  0.177948E-02 -0.106967E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.285232E+02  0.405418E+01  0.387070E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.105981E+01  0.397626E-01  0.787508E-02  0.310295E-02  0.254970E-01  0.140170E-02 -0.106851E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.285369E+02  0.405418E+01  0.387070E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.107784E+01  0.398830E-01  0.691935E-02  0.282312E-02  0.253355E-01  0.206863E-02 -0.106739E+04
  0.303998E+02  0.115904E+02  0.494864E+00  0.284425E+02  0.405418E+01  0.215196E+01  0.995015E+00  0.122685E+01  0.107831E+01  0.107784E+01  0.397343E-01  0.573476E-02  0.272370E-02  0.244803E-01  0.115793E-02 -0.106745E+04
