Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_MC_a5     Kmin_MC_a6     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Kmin_TR_a6     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.310595E+02   0.402777E+02   0.373278E+02   0.377677E+02   0.293796E+02   0.343039E+02   0.346494E+02   0.251716E+02   0.233118E+02   0.335424E+02   0.280567E+02   0.294246E+02   0.165260E-02   0.130261E-02   0.680687E-02   0.115382E-01   0.365095E-02  -0.536004E+02
   0.335441E+02   0.355628E+02   0.386048E+02   0.385911E+02   0.287228E+02   0.356214E+02   0.304127E+02   0.306063E+02   0.267847E+02   0.250358E+02   0.273485E+02   0.252553E+02   0.124413E-01   0.697978E-02   0.468006E-02   0.954225E-02   0.370073E-02  -0.492680E+02
   0.336619E+02   0.350613E+02   0.353584E+02   0.364798E+02   0.323853E+02   0.363496E+02   0.311182E+02   0.348322E+02   0.383134E+02   0.229622E+02   0.242562E+02   0.209967E+02   0.223235E-02   0.112080E-01   0.117681E-02   0.138518E-02   0.449941E-03  -0.538439E+02
   0.360857E+02   0.385625E+02   0.391686E+02   0.361746E+02   0.301098E+02   0.323521E+02   0.277361E+02   0.371970E+02   0.338807E+02   0.311259E+02   0.208791E+02   0.289183E+02   0.427275E-01   0.176989E-01   0.937671E-02   0.189715E-02   0.481400E-02  -0.542435E+02
   0.333269E+02   0.338616E+02   0.360225E+02   0.418771E+02   0.336972E+02   0.343078E+02   0.266505E+02   0.211272E+02   0.303662E+02   0.312542E+02   0.287021E+02   0.256508E+02   0.188111E-01   0.260476E-03   0.106416E-01   0.606598E-02   0.267753E-02  -0.513457E+02
   0.309048E+02   0.355926E+02   0.333387E+02   0.341880E+02   0.328113E+02   0.370101E+02   0.319753E+02   0.233471E+02   0.337698E+02   0.200703E+02   0.316217E+02   0.286283E+02   0.680635E-01   0.167669E-01   0.103911E-01   0.666238E-03   0.266007E-01  -0.611180E+02
   0.363546E+02   0.349736E+02   0.346124E+02   0.318833E+02   0.256360E+02   0.350869E+02   0.260562E+02   0.291463E+02   0.296377E+02   0.300322E+02   0.228987E+02   0.408740E+02   0.282299E-01   0.187295E-02   0.122456E-01   0.654288E-02   0.115051E-02  -0.583417E+02
   0.390869E+02   0.358123E+02   0.347811E+02   0.347639E+02   0.300782E+02   0.367232E+02   0.292012E+02   0.298839E+02   0.299519E+02   0.277958E+02   0.333731E+02   0.391151E+02   0.201604E-01   0.836758E-02   0.921907E-02   0.243469E-03   0.469112E-02  -0.552325E+02
   0.354080E+02   0.385272E+02   0.354298E+02   0.361178E+02   0.308581E+02   0.369793E+02   0.271512E+02   0.336206E+02   0.314480E+02   0.316612E+02   0.273951E+02   0.224404E+02   0.393363E-01   0.858256E-02   0.680327E-02   0.239201E-02   0.812667E-02  -0.517842E+02
   0.364095E+02   0.295037E+02   0.377487E+02   0.305534E+02   0.354228E+02   0.350909E+02   0.225893E+02   0.173008E+02   0.241752E+02   0.320538E+02   0.209689E+02   0.338129E+02   0.428878E-01   0.864413E-02   0.329025E-01   0.462098E-02   0.170067E-02  -0.611516E+02
   0.270965E+02   0.388734E+02   0.408329E+02   0.367511E+02   0.355557E+02   0.294850E+02   0.296016E+02   0.231112E+02   0.287143E+02   0.284096E+02   0.247216E+02   0.273061E+02   0.386321E-01   0.107738E-01   0.154758E-01   0.291698E-01   0.127352E-01  -0.582630E+02
   0.333974E+02   0.390543E+02   0.325863E+02   0.360089E+02   0.335283E+02   0.316439E+02   0.300184E+02   0.358273E+02   0.277696E+02   0.327562E+02   0.251111E+02   0.273061E+02   0.135868E-01   0.116854E-02   0.372722E-02   0.106162E-02   0.197418E-02  -0.487664E+02
   0.328136E+02   0.327360E+02   0.340038E+02   0.363909E+02   0.316528E+02   0.353250E+02   0.286988E+02   0.302539E+02   0.313969E+02   0.252192E+02   0.269055E+02   0.316384E+02   0.115791E-02   0.322956E-02   0.196224E-01   0.166600E-01   0.138979E-01  -0.532281E+02
   0.315760E+02   0.321877E+02   0.374957E+02   0.341536E+02   0.352126E+02   0.316762E+02   0.294035E+02   0.349962E+02   0.316497E+02   0.223261E+02   0.240503E+02   0.265221E+02   0.323537E-01   0.905045E-02   0.514574E-02   0.195794E-02   0.913327E-03  -0.497712E+02
   0.310948E+02   0.394742E+02   0.417060E+02   0.320120E+02   0.309703E+02   0.345837E+02   0.250659E+02   0.357651E+02   0.289935E+02   0.251250E+02   0.308202E+02   0.279259E+02   0.430273E-01   0.480320E-02   0.110290E-01   0.246384E-02   0.153930E-01  -0.536167E+02
   0.310055E+02   0.353006E+02   0.349246E+02   0.377756E+02   0.338419E+02   0.330736E+02   0.328780E+02   0.283167E+02   0.319721E+02   0.253009E+02   0.337240E+02   0.221081E+02   0.101105E-01   0.398713E-02   0.644614E-01   0.794765E-02   0.230652E-02  -0.569690E+02
   0.382139E+02   0.320989E+02   0.384747E+02   0.345618E+02   0.375397E+02   0.342379E+02   0.301159E+02   0.183056E+02   0.292220E+02   0.212051E+02   0.330676E+02   0.215630E+02   0.177054E-01   0.308411E-02   0.161679E-01   0.654311E-02   0.230652E-02  -0.556175E+02
   0.354501E+02   0.320989E+02   0.319244E+02   0.339497E+02   0.310567E+02   0.359642E+02   0.240571E+02   0.258924E+02   0.261352E+02   0.288246E+02   0.251873E+02   0.271832E+02   0.224838E-01   0.435033E-02   0.923021E-02   0.598139E-03   0.713170E-02  -0.509503E+02
   0.330592E+02   0.388233E+02   0.410048E+02   0.346918E+02   0.277795E+02   0.342231E+02   0.323025E+02   0.280668E+02   0.301594E+02   0.294354E+02   0.302750E+02   0.248180E+02   0.259878E-01   0.232282E-01   0.226136E-01   0.756083E-02   0.433034E-02  -0.541461E+02
   0.343987E+02   0.349903E+02   0.352172E+02   0.352815E+02   0.302052E+02   0.331749E+02   0.373816E+02   0.367008E+02   0.252354E+02   0.278629E+02   0.270516E+02   0.390109E+02   0.350644E-01   0.421922E-02   0.921063E-02   0.827143E-02   0.178312E-02  -0.563054E+02
   0.364978E+02   0.378137E+02   0.305276E+02   0.338233E+02   0.361528E+02   0.329101E+02   0.263610E+02   0.238441E+02   0.213684E+02   0.322526E+02   0.316825E+02   0.321882E+02   0.178078E-02   0.632900E-02   0.199268E-01   0.635526E-02   0.141976E-01  -0.570844E+02
   0.347989E+02   0.358870E+02   0.373588E+02   0.379044E+02   0.402910E+02   0.330249E+02   0.325231E+02   0.300386E+02   0.273141E+02   0.272292E+02   0.338431E+02   0.246666E+02   0.519564E-01   0.678321E-02   0.548617E-02   0.169007E-01   0.367334E-02  -0.549424E+02
   0.393419E+02   0.332738E+02   0.446163E+02   0.348785E+02   0.380048E+02   0.340620E+02   0.267918E+02   0.312227E+02   0.268000E+02   0.246932E+02   0.305122E+02   0.326728E+02   0.284072E-01   0.203296E-02   0.104532E-01   0.192944E-02   0.561390E-02  -0.534641E+02
   0.345588E+02   0.374011E+02   0.407893E+02   0.344599E+02   0.384265E+02   0.312267E+02   0.355303E+02   0.313507E+02   0.298255E+02   0.246932E+02   0.262408E+02   0.319386E+02   0.370980E-01   0.582310E-02   0.765701E-03   0.129649E-01   0.250732E-01  -0.544463E+02
   0.332004E+02   0.369875E+02   0.327049E+02   0.391170E+02   0.394679E+02   0.306056E+02   0.330970E+02   0.236021E+02   0.300272E+02   0.242125E+02   0.241164E+02   0.326529E+02   0.957838E-02   0.254382E-02   0.344210E-02   0.134571E-02   0.104239E-01  -0.523859E+02
   0.333552E+02   0.372492E+02   0.498166E+02   0.395546E+02   0.356541E+02   0.308966E+02   0.313458E+02   0.351648E+02   0.318328E+02   0.378642E+02   0.291214E+02   0.284974E+02   0.334384E-01   0.218630E-01   0.137584E-02   0.253723E-01   0.466516E-02  -0.608674E+02
   0.364186E+02   0.332899E+02   0.390822E+02   0.338620E+02   0.307440E+02   0.347392E+02   0.297794E+02   0.321821E+02   0.357082E+02   0.322520E+02   0.305746E+02   0.202482E+02   0.794036E-02   0.198133E-01   0.724044E-03   0.220021E-02   0.281008E-02  -0.527587E+02
   0.297883E+02   0.315951E+02   0.327341E+02   0.361226E+02   0.323195E+02   0.334750E+02   0.331584E+02   0.293087E+02   0.247977E+02   0.233764E+02   0.281941E+02   0.275130E+02   0.184058E-01   0.751973E-02   0.201266E-02   0.825121E-02   0.378350E-03  -0.511153E+02
   0.407747E+02   0.382519E+02   0.392144E+02   0.336520E+02   0.283030E+02   0.359642E+02   0.289317E+02   0.310663E+02   0.293544E+02   0.289585E+02   0.349041E+02   0.237016E+02   0.311507E-01   0.366087E-01   0.631305E-02   0.701434E-02   0.164146E-02  -0.558414E+02
   0.328051E+02   0.376126E+02   0.382430E+02   0.330857E+02   0.277562E+02   0.347538E+02   0.322915E+02   0.279891E+02   0.270459E+02   0.308344E+02   0.296026E+02   0.316951E+02   0.538122E-01   0.327476E-02   0.213948E-01   0.472401E-02   0.159272E-01  -0.551151E+02
   0.365816E+02   0.308067E+02   0.398184E+02   0.319438E+02   0.389992E+02   0.307097E+02   0.287649E+02   0.260514E+02   0.264428E+02   0.257313E+02   0.281564E+02   0.268747E+02   0.368175E-01   0.188725E-01   0.367934E-02   0.820074E-02   0.115757E-02  -0.520703E+02
   0.408767E+02   0.325137E+02   0.439958E+02   0.315284E+02   0.359285E+02   0.331116E+02   0.256545E+02   0.305604E+02   0.293131E+02   0.292473E+02   0.295795E+02   0.319923E+02   0.397800E-01   0.188678E-01   0.593736E-02   0.718113E-02   0.114484E-02  -0.543277E+02
   0.332931E+02   0.319900E+02   0.307805E+02   0.342566E+02   0.319808E+02   0.339716E+02   0.239545E+02   0.336340E+02   0.368753E+02   0.291494E+02   0.309726E+02   0.237898E+02   0.947854E-02   0.221314E-01   0.142992E-01   0.113550E-01   0.994614E-04  -0.573656E+02
   0.329993E+02   0.342009E+02   0.316399E+02   0.369682E+02   0.313276E+02   0.346206E+02   0.254354E+02   0.319582E+02   0.327585E+02   0.327390E+02   0.238036E+02   0.280838E+02   0.296879E-01   0.101319E-02   0.118698E-02   0.536983E-02   0.171501E-02  -0.488041E+02
   0.298512E+02   0.408889E+02   0.337313E+02   0.303039E+02   0.351428E+02   0.323003E+02   0.299496E+02   0.264370E+02   0.331864E+02   0.233666E+02   0.180902E+02   0.268481E+02   0.370844E-01   0.101319E-02   0.180857E-02   0.126971E-01   0.692865E-02  -0.554217E+02
   0.273608E+02   0.328157E+02   0.342564E+02   0.313331E+02   0.395375E+02   0.308010E+02   0.259632E+02   0.343510E+02   0.384308E+02   0.234395E+02   0.285615E+02   0.271584E+02   0.431324E-01   0.162192E-01   0.180873E-01   0.363469E-01   0.460454E-01  -0.663234E+02
   0.363828E+02   0.314528E+02   0.363761E+02   0.378253E+02   0.328259E+02   0.323257E+02   0.256507E+02   0.286763E+02   0.257088E+02   0.337162E+02   0.304795E+02   0.308569E+02   0.173824E-01   0.107028E-01   0.127196E-02   0.106208E-01   0.236715E-01  -0.527238E+02
   0.366063E+02   0.349005E+02   0.307516E+02   0.393139E+02   0.327673E+02   0.327588E+02   0.251517E+02   0.392088E+02   0.225386E+02   0.310146E+02   0.246276E+02   0.311715E+02   0.276939E-01   0.202639E-01   0.338319E-03   0.124716E-01   0.383772E-02  -0.544405E+02
   0.393801E+02   0.347471E+02   0.368668E+02   0.385141E+02   0.287766E+02   0.345832E+02   0.310824E+02   0.306273E+02   0.257366E+02   0.334587E+02   0.215915E+02   0.351128E+02   0.321881E-01   0.935655E-03   0.413384E-01   0.184285E-02   0.183823E-01  -0.567883E+02
   0.360662E+02   0.325586E+02   0.329918E+02   0.353227E+02   0.317402E+02   0.391951E+02   0.267562E+02   0.364478E+02   0.299655E+02   0.220149E+02   0.339365E+02   0.274223E+02   0.263639E-01   0.274772E-01   0.656423E-01   0.304693E-02   0.903887E-03  -0.638143E+02
   0.385649E+02   0.352361E+02   0.354663E+02   0.372532E+02   0.335288E+02   0.343329E+02   0.279670E+02   0.324796E+02   0.244070E+02   0.277691E+02   0.345584E+02   0.240826E+02   0.141312E-01   0.326562E-02   0.270076E-01   0.463939E-02   0.411594E-02  -0.529643E+02
   0.307652E+02   0.388809E+02   0.441146E+02   0.301349E+02   0.399558E+02   0.315280E+02   0.290883E+02   0.245895E+02   0.240658E+02   0.281961E+02   0.358703E+02   0.247820E+02   0.246826E-01   0.103051E-01   0.133242E-01   0.267228E-01   0.283202E-02  -0.588350E+02
   0.400791E+02   0.343201E+02   0.437515E+02   0.343257E+02   0.386629E+02   0.321994E+02   0.263869E+02   0.315957E+02   0.308813E+02   0.319600E+02   0.187729E+02   0.263654E+02   0.102580E-01   0.387294E-02   0.386784E-01   0.522283E-01   0.126890E-01  -0.621613E+02
   0.374946E+02   0.377449E+02   0.372595E+02   0.338889E+02   0.312759E+02   0.338551E+02   0.309181E+02   0.331510E+02   0.319034E+02   0.238580E+02   0.282188E+02   0.314659E+02   0.662976E-02   0.105647E-01   0.242648E-02   0.556873E-02   0.488394E-02  -0.502511E+02
   0.349202E+02   0.356898E+02   0.341668E+02   0.338365E+02   0.410740E+02   0.298383E+02   0.329243E+02   0.321235E+02   0.281267E+02   0.294345E+02   0.294629E+02   0.294274E+02   0.396075E-01   0.677018E-02   0.588568E-02   0.113479E-02   0.488394E-02  -0.509676E+02
   0.342771E+02   0.340007E+02   0.356290E+02   0.352116E+02   0.340273E+02   0.343403E+02   0.338109E+02   0.309435E+02   0.328146E+02   0.248123E+02   0.178153E+02   0.263036E+02   0.264924E-01   0.928215E-02   0.858173E-02   0.117489E-01   0.455782E-02  -0.528400E+02
   0.343239E+02   0.350315E+02   0.362571E+02   0.385755E+02   0.294248E+02   0.312534E+02   0.226491E+02   0.217494E+02   0.278747E+02   0.269973E+02   0.343144E+02   0.240325E+02   0.130464E-01   0.237689E-01   0.107480E-01   0.827152E-02   0.243023E-01  -0.592030E+02
   0.394655E+02   0.435649E+02   0.373223E+02   0.364810E+02   0.333638E+02   0.325162E+02   0.319545E+02   0.208318E+02   0.278747E+02   0.323541E+02   0.226779E+02   0.235184E+02   0.200528E-01   0.704856E-02   0.431563E-02   0.449589E-01   0.603874E-02  -0.588946E+02
   0.334177E+02   0.327487E+02   0.390263E+02   0.384440E+02   0.325366E+02   0.337401E+02   0.284056E+02   0.264137E+02   0.343528E+02   0.340113E+02   0.232933E+02   0.283483E+02   0.203462E-01   0.132725E-02   0.468672E-01   0.277559E-01   0.432746E-02  -0.560182E+02
   0.403653E+02   0.374872E+02   0.363482E+02   0.335219E+02   0.341348E+02   0.329892E+02   0.295000E+02   0.302854E+02   0.298603E+02   0.252863E+02   0.232629E+02   0.255858E+02   0.319255E-03   0.738292E-02   0.166231E-02   0.138591E-01   0.601099E-01  -0.561845E+02
   0.307116E+02   0.322427E+02   0.337000E+02   0.350239E+02   0.376771E+02   0.324410E+02   0.286831E+02   0.259430E+02   0.252637E+02   0.328497E+02   0.293242E+02   0.208471E+02   0.380812E-01   0.183381E-01   0.397114E-02   0.847165E-02   0.342331E-02  -0.524257E+02
   0.299592E+02   0.343827E+02   0.426972E+02   0.290765E+02   0.369428E+02   0.359416E+02   0.213803E+02   0.266442E+02   0.343200E+02   0.256942E+02   0.211858E+02   0.332871E+02   0.531958E-01   0.286975E-02   0.156344E-01   0.474592E-03   0.170140E-02  -0.595540E+02
   0.327930E+02   0.356988E+02   0.422605E+02   0.343114E+02   0.360311E+02   0.315106E+02   0.359408E+02   0.386016E+02   0.310144E+02   0.289573E+02   0.313339E+02   0.255877E+02   0.277450E-01   0.439244E-03   0.556021E-02   0.832497E-02   0.196505E-01  -0.543100E+02
   0.337372E+02   0.297688E+02   0.344669E+02   0.389776E+02   0.389226E+02   0.321232E+02   0.329676E+02   0.223649E+02   0.279486E+02   0.288305E+02   0.282447E+02   0.278045E+02   0.269217E-01   0.124456E-02   0.111930E-01   0.116605E-01   0.254091E-02  -0.523687E+02
   0.366038E+02   0.321272E+02   0.333965E+02   0.390915E+02   0.302645E+02   0.348297E+02   0.302044E+02   0.286993E+02   0.297757E+02   0.327132E+02   0.204173E+02   0.300386E+02   0.250990E-01   0.169949E-01   0.683886E-02   0.629221E-03   0.403609E-02  -0.514737E+02
   0.379742E+02   0.377310E+02   0.376759E+02   0.325553E+02   0.319911E+02   0.306342E+02   0.284985E+02   0.257573E+02   0.338640E+02   0.344578E+02   0.307526E+02   0.266190E+02   0.312329E-02   0.194626E-01   0.142267E-02   0.560973E-02   0.713680E-02  -0.547865E+02
   0.329703E+02   0.410965E+02   0.303059E+02   0.326747E+02   0.385033E+02   0.301894E+02   0.307218E+02   0.365686E+02   0.302866E+02   0.321177E+02   0.283147E+02   0.292750E+02   0.305340E-01   0.295337E-01   0.840783E-02   0.302986E-02   0.917645E-02  -0.563172E+02
   0.345443E+02   0.370460E+02   0.370085E+02   0.341125E+02   0.343673E+02   0.328334E+02   0.258332E+02   0.258723E+02   0.282975E+02   0.337312E+02   0.314922E+02   0.317320E+02   0.154059E-01   0.110985E-02   0.182395E-01   0.102925E-01   0.100638E-01  -0.516945E+02
   0.368826E+02   0.352175E+02   0.455204E+02   0.376234E+02   0.306225E+02   0.339373E+02   0.279566E+02   0.274338E+02   0.299236E+02   0.276207E+02   0.348010E+02   0.242755E+02   0.155359E-01   0.176870E-02   0.387955E-01   0.111644E-01   0.975280E-02  -0.558219E+02
   0.340518E+02   0.335211E+02   0.344651E+02   0.343412E+02   0.347549E+02   0.313097E+02   0.287084E+02   0.240820E+02   0.327916E+02   0.249868E+02   0.216530E+02   0.358733E+02   0.213858E-01   0.899634E-02   0.373699E-01   0.299143E-02   0.624297E-03  -0.549605E+02
   0.319903E+02   0.394640E+02   0.416641E+02   0.373764E+02   0.334447E+02   0.338301E+02   0.270923E+02   0.258393E+02   0.283905E+02   0.340875E+02   0.271866E+02   0.313784E+02   0.261344E-01   0.970043E-02   0.202885E-01   0.628833E-03   0.550118E-02  -0.526018E+02
   0.377789E+02   0.381133E+02   0.365737E+02   0.331942E+02   0.326365E+02   0.314815E+02   0.289184E+02   0.335275E+02   0.296897E+02   0.312616E+02   0.291235E+02   0.298026E+02   0.230272E-01   0.481973E-02   0.217358E-02   0.741303E-02   0.411729E-02  -0.492608E+02
   0.345628E+02   0.378595E+02   0.341924E+02   0.303727E+02   0.365828E+02   0.309783E+02   0.272454E+02   0.306871E+02   0.290587E+02   0.271743E+02   0.256529E+02   0.273430E+02   0.337286E-01   0.948697E-02   0.308321E-02   0.923877E-02   0.224194E-02  -0.503650E+02
   0.382138E+02   0.394777E+02   0.296922E+02   0.370758E+02   0.315816E+02   0.336567E+02   0.318574E+02   0.314833E+02   0.315154E+02   0.294576E+02   0.275691E+02   0.226580E+02   0.382568E-01   0.745355E-02   0.273868E-01   0.317940E-02   0.228992E-01  -0.556899E+02
   0.379107E+02   0.359124E+02   0.333008E+02   0.372992E+02   0.323749E+02   0.381760E+02   0.318574E+02   0.314833E+02   0.231329E+02   0.316370E+02   0.350305E+02   0.222055E+02   0.382568E-01   0.314057E-02   0.360082E-01   0.101135E-01   0.436013E-01  -0.634365E+02
   0.327736E+02   0.364935E+02   0.351056E+02   0.353711E+02   0.393001E+02   0.311746E+02   0.293673E+02   0.335461E+02   0.289836E+02   0.313562E+02   0.304683E+02   0.255223E+02   0.509745E-01   0.184257E-02   0.207407E-01   0.617360E-03   0.870722E-02  -0.521069E+02
   0.325744E+02   0.323244E+02   0.374694E+02   0.314298E+02   0.292784E+02   0.344143E+02   0.292679E+02   0.358425E+02   0.372758E+02   0.303763E+02   0.317975E+02   0.270960E+02   0.318100E-01   0.905299E-02   0.100750E-01   0.116064E-01   0.134298E-01  -0.561768E+02
   0.329061E+02   0.349172E+02   0.398340E+02   0.363012E+02   0.362546E+02   0.314757E+02   0.269700E+02   0.212627E+02   0.243165E+02   0.233030E+02   0.307157E+02   0.246675E+02   0.286833E-01   0.228656E-01   0.671766E-02   0.116064E-01   0.236530E-01  -0.549742E+02
   0.340737E+02   0.388355E+02   0.419447E+02   0.366358E+02   0.293400E+02   0.344568E+02   0.283909E+02   0.331058E+02   0.279506E+02   0.263737E+02   0.316841E+02   0.337005E+02   0.505719E-01   0.661733E-02   0.171383E-03   0.258575E-01   0.213839E-03  -0.539616E+02
   0.296704E+02   0.369237E+02   0.331834E+02   0.400132E+02   0.436249E+02   0.331605E+02   0.284357E+02   0.226899E+02   0.273371E+02   0.282320E+02   0.250103E+02   0.291503E+02   0.541232E-01   0.123713E-01   0.179016E-01   0.752962E-02   0.770053E-02  -0.586835E+02
   0.331916E+02   0.372630E+02   0.395979E+02   0.360733E+02   0.310898E+02   0.336372E+02   0.290043E+02   0.265630E+02   0.287192E+02   0.361481E+02   0.236272E+02   0.296333E+02   0.273301E-01   0.305568E-02   0.112497E-02   0.753073E-02   0.163785E-01  -0.501583E+02
   0.328904E+02   0.350990E+02   0.370915E+02   0.339155E+02   0.301094E+02   0.330892E+02   0.288632E+02   0.286418E+02   0.361175E+02   0.223385E+02   0.305579E+02   0.204705E+02   0.285155E-01   0.161299E-01   0.644325E-02   0.487947E-01   0.797228E-02  -0.578440E+02
   0.322761E+02   0.321646E+02   0.394773E+02   0.340925E+02   0.397119E+02   0.305931E+02   0.328525E+02   0.346151E+02   0.230503E+02   0.291133E+02   0.222070E+02   0.205357E+02   0.333666E-01   0.145163E-02   0.101848E-01   0.286721E-01   0.571075E-03  -0.561729E+02
   0.383924E+02   0.353014E+02   0.405003E+02   0.335140E+02   0.366910E+02   0.321460E+02   0.318809E+02   0.349635E+02   0.372651E+02   0.323014E+02   0.274145E+02   0.260294E+02   0.132373E-01   0.531946E-02   0.113778E-01   0.165388E-01   0.141626E-02  -0.541598E+02
