Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_MR_a4     Kmin_MR_a5     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.305350E+02   0.103381E+02   0.692745E+00  -0.376456E+01   0.651081E+00  -0.893564E+01   0.276799E+02   0.375348E+01   0.366743E+01  -0.401770E+01  -0.204198E+01  -0.166169E+01   0.385854E-01   0.182371E-01   0.598486E-02   0.791808E-02   0.418248E-02  -0.104017E+04   0.147884E+02   0.000000E+00  -0.105496E+04   0.210992E+04
   0.305350E+02   0.109182E+02   0.370686E+00  -0.363410E+01  -0.524011E+00  -0.942338E+01   0.285777E+02   0.266369E+01   0.376211E+01  -0.397085E+01  -0.996981E+00  -0.168556E+01   0.369802E-01   0.102640E-01   0.108282E-02   0.224614E-01   0.168384E-01  -0.104350E+04   0.133560E+02   0.000000E+00  -0.105686E+04   0.211371E+04
   0.304819E+02   0.107462E+02   0.565305E-01  -0.362414E+01  -0.253152E+00  -0.903342E+01   0.276503E+02   0.266369E+01   0.467316E+01  -0.466485E+01   0.294599E+00  -0.252867E+01   0.350716E-01   0.456318E-01   0.382185E-02   0.269703E-01   0.273624E-01  -0.104681E+04   0.804205E+01   0.000000E+00  -0.105485E+04   0.210970E+04
   0.302675E+02   0.108016E+02   0.430530E+00  -0.360964E+01  -0.253152E+00  -0.858069E+01   0.277870E+02   0.280196E+01   0.524072E+01  -0.350743E+01   0.169396E+01  -0.212698E+01   0.345528E-01   0.180157E-01   0.135033E-02   0.125077E-01   0.990410E-03  -0.104065E+04   0.151343E+02   0.000000E+00  -0.105578E+04   0.211157E+04
   0.304257E+02   0.107705E+02   0.122035E+01  -0.339243E+01   0.166377E+00  -0.858069E+01   0.285183E+02   0.437662E+01   0.561768E+01  -0.186084E+01  -0.163836E+01  -0.313671E+01   0.404605E-01   0.365685E-01   0.893250E-02   0.380215E-02   0.713673E-02  -0.104657E+04   0.127767E+02   0.000000E+00  -0.105935E+04   0.211869E+04
   0.306787E+02   0.108547E+02   0.941176E+00  -0.285596E+01   0.817966E+00  -0.915021E+01   0.278920E+02   0.155166E+01   0.606537E+01  -0.322833E+01  -0.234378E+01  -0.356695E+00   0.364740E-01   0.221778E-01   0.732824E-02   0.179833E-02   0.904379E-02  -0.104579E+04   0.143859E+02   0.000000E+00  -0.106018E+04   0.212035E+04
   0.304884E+02   0.107360E+02   0.766339E+00  -0.285596E+01   0.817966E+00  -0.810149E+01   0.276842E+02   0.273070E+01   0.359692E+01  -0.232916E+01  -0.125783E+01  -0.352153E+00   0.379095E-01   0.418227E-02   0.105256E-01   0.626707E-02   0.847130E-02  -0.103874E+04   0.154761E+02   0.000000E+00  -0.105422E+04   0.210843E+04
   0.304445E+02   0.107360E+02   0.304898E+00  -0.285596E+01   0.120342E+01  -0.736598E+01   0.280123E+02   0.336706E+01   0.344625E+01  -0.400641E+01  -0.125783E+01  -0.789275E+00   0.362201E-01   0.840895E-02   0.302977E-01   0.713860E-03   0.447601E-02  -0.104155E+04   0.140310E+02   0.000000E+00  -0.105558E+04   0.211116E+04
   0.304017E+02   0.106962E+02   0.430381E+00  -0.285596E+01   0.590995E+00  -0.789578E+01   0.280123E+02   0.336706E+01   0.549957E+01  -0.488502E+01  -0.178348E+01  -0.235382E+01   0.332527E-01   0.384923E-03   0.676628E-02   0.228251E-03   0.390049E-02  -0.103698E+04   0.172927E+02   0.000000E+00  -0.105427E+04   0.210855E+04
   0.304432E+02   0.108466E+02   0.430381E+00  -0.285596E+01   0.224240E+00  -0.815983E+01   0.280123E+02   0.443749E+01   0.193516E+01  -0.317965E+01  -0.139737E+01  -0.405294E+01   0.349117E-01   0.384923E-03   0.379955E-02   0.134201E-01   0.241204E-02  -0.104010E+04   0.164190E+02   0.000000E+00  -0.105652E+04   0.211304E+04
   0.303464E+02   0.107969E+02   0.430381E+00  -0.286949E+01   0.148182E+00  -0.815983E+01   0.271889E+02   0.229797E+01   0.220328E+01  -0.317965E+01  -0.139737E+01  -0.453933E+01   0.359707E-01   0.320835E-01   0.104528E-01   0.245626E-01   0.607132E-02  -0.104613E+04   0.111037E+02   0.000000E+00  -0.105723E+04   0.211447E+04
   0.303464E+02   0.107969E+02   0.182040E+00  -0.265132E+01   0.604190E+00  -0.795434E+01   0.289265E+02   0.288933E+01   0.631670E+01  -0.135979E+01   0.423572E+00   0.900215E+00   0.423419E-01   0.221638E-01   0.477450E-02   0.171295E-01   0.775444E-02  -0.104463E+04   0.132385E+02   0.000000E+00  -0.105787E+04   0.211574E+04
   0.303565E+02   0.108506E+02   0.314460E+00  -0.221473E+01   0.670913E+00  -0.795434E+01   0.276851E+02   0.394958E+01   0.284743E+01  -0.203950E+01  -0.518907E+00  -0.351325E+00   0.339656E-01   0.209536E-01   0.127974E-02   0.100992E-01   0.307054E-03  -0.104132E+04   0.151567E+02   0.000000E+00  -0.105648E+04   0.211295E+04
   0.305375E+02   0.109362E+02   0.135935E+01  -0.292499E+01  -0.132610E+00  -0.873616E+01   0.282333E+02   0.363841E+01   0.237412E+01  -0.193922E+01  -0.218298E+01  -0.219544E+00   0.396169E-01   0.130105E-01   0.185894E-01   0.783710E-02   0.546865E-02  -0.104864E+04   0.139301E+02   0.000000E+00  -0.106257E+04   0.212514E+04
   0.303034E+02   0.108802E+02   0.310342E+00  -0.292499E+01  -0.509502E+00  -0.833707E+01   0.278691E+02   0.169060E+01   0.426033E+01  -0.193922E+01  -0.179802E+01  -0.727333E-01   0.377639E-01   0.528250E-02   0.772272E-02   0.596031E-02   0.130432E-01  -0.104103E+04   0.152198E+02   0.000000E+00  -0.105625E+04   0.211250E+04
   0.304093E+02   0.107539E+02   0.251929E+00  -0.321756E+01  -0.574983E-01  -0.844593E+01   0.282221E+02   0.387422E+01   0.534938E+01  -0.181688E+01  -0.112356E+01  -0.425246E+01   0.394010E-01   0.656700E-02   0.307062E-01   0.192110E-02   0.653166E-02  -0.104234E+04   0.138481E+02   0.000000E+00  -0.105619E+04   0.211238E+04
   0.302847E+02   0.108994E+02   0.605226E+00  -0.327988E+01  -0.661568E-01  -0.832231E+01   0.278482E+02   0.226275E+01   0.435474E+01  -0.396574E+01  -0.103577E+01  -0.198552E+01   0.364227E-01   0.436469E-02   0.312436E-02   0.120321E-01   0.231778E-02  -0.103707E+04   0.162368E+02   0.000000E+00  -0.105331E+04   0.210661E+04
   0.303551E+02   0.108994E+02   0.605226E+00  -0.387827E+01  -0.296185E+00  -0.855076E+01   0.287383E+02  -0.500953E+00   0.687780E+01  -0.438132E+01  -0.101470E+01  -0.102956E+00   0.374220E-01   0.232515E-01   0.119569E-01   0.460736E-02   0.672628E-02  -0.104573E+04   0.137665E+02   0.000000E+00  -0.105950E+04   0.211899E+04
   0.304284E+02   0.109981E+02   0.594349E+00  -0.304783E+01   0.649052E+00  -0.777343E+01   0.292044E+02   0.220213E+01   0.563467E+01  -0.388680E+01   0.924725E+00  -0.188079E+01   0.356428E-01   0.190937E-01   0.242186E-01   0.298397E-02   0.241868E-01  -0.104449E+04   0.113724E+02   0.000000E+00  -0.105586E+04   0.211172E+04
   0.304284E+02   0.110629E+02   0.539372E+00  -0.253577E+01   0.649052E+00  -0.795668E+01   0.292044E+02   0.202373E+01   0.638402E+01  -0.475139E+01   0.227231E+00  -0.401050E+01   0.387399E-01   0.118064E-01   0.103169E-01   0.838889E-02   0.217780E-01  -0.104211E+04   0.131917E+02   0.000000E+00  -0.105530E+04   0.211060E+04
   0.304284E+02   0.109729E+02   0.537791E+00  -0.280277E+01   0.834303E+00  -0.724920E+01   0.275388E+02   0.288813E+01   0.366235E+01  -0.408655E+01  -0.203614E+01  -0.134485E+01   0.358800E-01   0.404624E-01   0.106272E-01   0.250613E-02   0.115269E-01  -0.104275E+04   0.119084E+02   0.000000E+00  -0.105466E+04   0.210932E+04
   0.305089E+02   0.109729E+02   0.168268E+01  -0.252161E+01   0.171206E+01  -0.773384E+01   0.278868E+02   0.132154E+01   0.458386E+01  -0.408655E+01  -0.147842E+01  -0.267038E+01   0.390689E-01   0.813193E-03   0.148198E-01   0.721968E-02   0.322165E-01  -0.104686E+04   0.129138E+02   0.000000E+00  -0.105977E+04   0.211955E+04
   0.302003E+02   0.108623E+02   0.301255E+00  -0.206284E+01   0.350237E+00  -0.698263E+01   0.284701E+02   0.991133E+00   0.474669E+01  -0.630647E+01  -0.612525E+00  -0.215632E+01   0.421629E-01   0.813193E-03   0.315674E-02   0.229150E-02   0.897054E-02  -0.104099E+04   0.168975E+02   0.000000E+00  -0.105789E+04   0.211577E+04
   0.302078E+02   0.109584E+02   0.823762E-01  -0.194189E+01   0.464215E+00  -0.767151E+01   0.282394E+02   0.316998E+01   0.431766E+01  -0.262115E+01  -0.306941E+01  -0.319588E+01   0.362632E-01   0.115754E-02   0.786957E-03   0.489693E-03   0.442014E-02  -0.104054E+04   0.177352E+02   0.000000E+00  -0.105828E+04   0.211655E+04
   0.302078E+02   0.104778E+02   0.958438E-01  -0.269433E+01   0.123466E+00  -0.767151E+01   0.280677E+02   0.248100E+01   0.431766E+01  -0.622163E+01   0.311042E+01  -0.370611E+01   0.382072E-01   0.672660E-02   0.744733E-02   0.254670E-01   0.182415E-01  -0.104619E+04   0.126324E+02   0.000000E+00  -0.105882E+04   0.211764E+04
   0.301037E+02   0.109733E+02   0.958438E-01  -0.204376E+01   0.187283E+00  -0.627056E+01   0.284531E+02   0.306113E+01   0.355569E+01  -0.180805E+01  -0.293325E+01   0.601856E+00   0.410281E-01   0.546926E-02   0.171173E-01   0.148834E-02   0.248489E-02  -0.104425E+04   0.157647E+02   0.000000E+00  -0.106001E+04   0.212003E+04
   0.301957E+02   0.105634E+02   0.137175E+00  -0.346334E+01   0.956885E-01  -0.751534E+01   0.284531E+02   0.448765E+01   0.389918E+01  -0.245065E+01  -0.241932E+01   0.135698E+00   0.430330E-01   0.545488E-03   0.155687E-02   0.568980E-02   0.224810E-02  -0.104052E+04   0.174167E+02   0.000000E+00  -0.105794E+04   0.211587E+04
   0.303154E+02   0.108753E+02   0.281371E-01  -0.249568E+01  -0.177811E+00  -0.829784E+01   0.293664E+02   0.249973E+01   0.517776E+01  -0.146780E+01  -0.171311E+01   0.725114E-01   0.482951E-01   0.955982E-03   0.400122E-03   0.787093E-02   0.932889E-03  -0.104484E+04   0.174047E+02   0.000000E+00  -0.106224E+04   0.212449E+04
   0.303442E+02   0.108418E+02   0.502740E+00  -0.347363E+01  -0.177811E+00  -0.880544E+01   0.284354E+02   0.167962E+01   0.439506E+01  -0.554897E+01  -0.120192E+01  -0.187378E+01   0.318293E-01   0.730111E-02   0.468457E-02   0.348573E-02   0.938935E-02  -0.103984E+04   0.159346E+02   0.000000E+00  -0.105577E+04   0.211155E+04
   0.304761E+02   0.104858E+02   0.737657E+00  -0.421226E+01   0.294117E+00  -0.940275E+01   0.284354E+02   0.201797E+01   0.439506E+01  -0.726917E+00  -0.133979E+01   0.771766E+00   0.357574E-01   0.200745E-01   0.940741E-02   0.985068E-02   0.150740E-01  -0.104572E+04   0.129800E+02   0.000000E+00  -0.105870E+04   0.211740E+04
   0.305807E+02   0.103268E+02   0.791437E+00  -0.423919E+01   0.122443E+01  -0.940275E+01   0.284354E+02   0.181101E+01   0.375301E+01  -0.252281E+01  -0.246148E+01   0.170371E+01   0.436457E-01   0.264131E-01   0.834260E-02   0.102629E-01   0.107372E-02  -0.104536E+04   0.138114E+02   0.000000E+00  -0.105917E+04   0.211834E+04
   0.306470E+02   0.103851E+02   0.631831E+00  -0.423919E+01   0.487889E+00  -0.979583E+01   0.284917E+02   0.138451E+01   0.434601E+01  -0.450941E+01   0.171601E+01  -0.184400E+01   0.398313E-01   0.150616E-01   0.246354E-01   0.725888E-02   0.107372E-02  -0.104409E+04   0.136177E+02   0.000000E+00  -0.105771E+04   0.211542E+04
   0.306470E+02   0.104298E+02   0.777729E+00  -0.358458E+01   0.184924E+01  -0.985326E+01   0.282518E+02   0.138451E+01   0.632983E+01  -0.414506E+01   0.152400E+01  -0.852083E+00   0.376170E-01   0.211829E-02   0.447719E-02   0.983644E-02   0.554869E-02  -0.104715E+04   0.162226E+02   0.000000E+00  -0.106337E+04   0.212675E+04
   0.306470E+02   0.105427E+02   0.148488E+01  -0.365115E+01   0.153117E+01  -0.900876E+01   0.283237E+02   0.120281E+01   0.689394E+01  -0.678038E+01   0.718041E+00  -0.503364E+01   0.371797E-01   0.698311E-02   0.226042E-02   0.232185E-03   0.674174E-02  -0.104059E+04   0.167989E+02   0.000000E+00  -0.105739E+04   0.211478E+04
   0.306998E+02   0.105447E+02   0.165784E+01  -0.360946E+01   0.200691E+01  -0.873239E+01   0.286136E+02   0.189715E+01   0.592020E+01  -0.406221E+01  -0.306931E+01  -0.474270E+01   0.379437E-01   0.114513E-01   0.900808E-03   0.325593E-02   0.120520E-01  -0.104591E+04   0.156547E+02   0.000000E+00  -0.106156E+04   0.212313E+04
   0.305453E+02   0.103991E+02   0.118558E+01  -0.380576E+01   0.804821E+00  -0.985820E+01   0.283846E+02   0.527715E-01   0.685402E+01  -0.851605E+01   0.876647E+00  -0.314323E+01   0.382995E-01   0.212454E-01   0.242724E-01   0.933908E-02   0.102455E-01  -0.104749E+04   0.119104E+02   0.000000E+00  -0.105940E+04   0.211880E+04
   0.304674E+02   0.104957E+02   0.904349E+00  -0.372417E+01  -0.168016E-01  -0.985820E+01   0.283775E+02   0.981667E+00   0.646007E+01  -0.762585E+01  -0.197568E+01  -0.124790E+01   0.398550E-01   0.454751E-03   0.299158E-01   0.544308E-02   0.180422E-02  -0.104642E+04   0.146589E+02   0.000000E+00  -0.106108E+04   0.212216E+04
   0.304895E+02   0.107757E+02   0.904349E+00  -0.372417E+01  -0.254765E+00  -0.929140E+01   0.288917E+02   0.109866E+01   0.646007E+01  -0.610676E+01  -0.506429E+00  -0.280259E+01   0.383156E-01   0.223753E-02   0.726347E-02   0.257717E-02   0.129840E-01  -0.104008E+04   0.159145E+02   0.000000E+00  -0.105599E+04   0.211199E+04
   0.304152E+02   0.105458E+02   0.490717E+00  -0.324682E+01  -0.297350E-01  -0.855583E+01   0.285871E+02   0.300570E+01   0.197289E+01  -0.603422E+01   0.805306E+00  -0.106771E+01   0.419071E-01   0.666165E-02   0.825092E-02   0.626260E-02   0.347244E-02  -0.104499E+04   0.159559E+02   0.000000E+00  -0.106095E+04   0.212189E+04
   0.304955E+02   0.107011E+02   0.415742E+00  -0.363307E+01   0.122057E+00  -0.923794E+01   0.290630E+02   0.300570E+01   0.615905E+01  -0.417996E+01   0.192851E+01   0.196418E+00   0.333802E-01   0.924952E-02   0.138635E-01   0.582456E-02   0.256253E-03  -0.104358E+04   0.155013E+02   0.000000E+00  -0.105908E+04   0.211816E+04
   0.303276E+02   0.107011E+02   0.415742E+00  -0.346558E+01   0.112965E+00  -0.805258E+01   0.285600E+02   0.204739E+00   0.674789E+01  -0.611087E+01  -0.883606E+00  -0.445442E+01   0.379900E-01   0.563627E-02   0.498758E-02   0.610916E-03   0.518451E-02  -0.103843E+04   0.167788E+02   0.000000E+00  -0.105521E+04   0.211042E+04
   0.305988E+02   0.111595E+02   0.611922E+00  -0.321401E+01   0.112965E+00  -0.850130E+01   0.290198E+02   0.145782E+01   0.553795E+01  -0.454429E+01  -0.944484E+00  -0.147090E+01   0.364590E-01   0.340908E-02   0.362119E-02   0.170185E-01   0.147111E-01  -0.104142E+04   0.145447E+02   0.000000E+00  -0.105596E+04   0.211193E+04
   0.304740E+02   0.109152E+02   0.417222E+00  -0.293285E+01  -0.485731E+00  -0.880046E+01   0.284645E+02   0.284476E+01   0.748894E+01  -0.510362E+01  -0.232149E+01  -0.251639E+01   0.335915E-01   0.650119E-02   0.160903E-01   0.740130E-03   0.115957E-01  -0.104624E+04   0.149279E+02   0.000000E+00  -0.106117E+04   0.212234E+04
   0.305073E+02   0.109152E+02   0.556411E+00  -0.342864E+01  -0.276820E+00  -0.875672E+01   0.274447E+02   0.284476E+01   0.635500E+01  -0.309195E+01  -0.152721E+01  -0.256228E+01   0.384418E-01   0.101110E-01   0.959804E-02   0.740130E-03   0.442388E-01  -0.104671E+04   0.119519E+02   0.000000E+00  -0.105866E+04   0.211732E+04
   0.301156E+02   0.107954E+02  -0.114800E+00  -0.270702E+01  -0.416123E+00  -0.796641E+01   0.283581E+02   0.414112E+01   0.382212E+01  -0.309195E+01  -0.522922E+00  -0.370281E+00   0.357008E-01   0.133668E-02   0.617295E-02   0.347650E-02   0.118977E-01  -0.104011E+04   0.161323E+02   0.000000E+00  -0.105624E+04   0.211248E+04
   0.303862E+02   0.107954E+02   0.350796E+00  -0.327814E+01  -0.400049E-01  -0.859940E+01   0.280493E+02   0.203695E+01   0.361025E+01  -0.571426E+01   0.163777E+01  -0.311055E+01   0.414447E-01   0.954033E-02   0.986189E-02   0.636047E-02   0.285587E-02  -0.104078E+04   0.155588E+02   0.000000E+00  -0.105634E+04   0.211268E+04
   0.302775E+02   0.107954E+02   0.645902E+00  -0.327814E+01  -0.400049E-01  -0.831384E+01   0.277668E+02   0.203695E+01   0.438750E+01  -0.200685E+01  -0.160580E+01   0.672391E+00   0.469366E-01   0.143905E-01   0.642198E-02   0.792015E-02   0.283678E-01  -0.104839E+04   0.127106E+02   0.000000E+00  -0.106110E+04   0.212220E+04
   0.302925E+02   0.109366E+02   0.268229E+00  -0.275142E+01   0.718245E-02  -0.798547E+01   0.281783E+02   0.158867E+01   0.680966E+01  -0.501441E+01  -0.225472E+01  -0.199292E+01   0.300863E-01   0.460631E-01   0.154696E-01   0.206504E-02   0.131595E-01  -0.104672E+04   0.107450E+02   0.000000E+00  -0.105746E+04   0.211493E+04
   0.304044E+02   0.107276E+02   0.242514E+00  -0.308180E+01   0.410899E+00  -0.793936E+01   0.282984E+02   0.158867E+01   0.665393E+01  -0.717443E+01  -0.684328E+00  -0.174791E+01   0.381110E-01   0.326297E-02   0.170016E-01   0.426913E-02   0.387248E-01  -0.104316E+04   0.120948E+02   0.000000E+00  -0.105525E+04   0.211051E+04
   0.301632E+02   0.103353E+02   0.232720E+00  -0.331277E+01   0.626205E+00  -0.805417E+01   0.284735E+02   0.383997E+01   0.571671E+01  -0.455847E+01  -0.111010E+01  -0.513543E+01   0.398399E-01   0.640477E-04   0.429369E-02   0.160385E-01   0.137103E-01  -0.104178E+04   0.150100E+02   0.000000E+00  -0.105679E+04   0.211358E+04
   0.303048E+02   0.103006E+02   0.379747E+00  -0.331277E+01   0.508121E+00  -0.837058E+01   0.287755E+02   0.191241E+01   0.514110E+01  -0.364314E+01  -0.951203E+00  -0.168923E+01   0.426674E-01   0.701374E-02   0.146625E-01   0.675847E-03   0.241025E-02  -0.103867E+04   0.159444E+02   0.000000E+00  -0.105461E+04   0.210923E+04
   0.303879E+02   0.110103E+02   0.784940E+00  -0.331277E+01  -0.200266E+00  -0.813672E+01   0.287755E+02   0.194191E+01   0.694951E+01  -0.729821E+01   0.172034E+01  -0.553641E+01   0.371229E-01   0.284971E-01   0.109436E-02   0.730436E-03   0.399195E-02  -0.104208E+04   0.149893E+02   0.000000E+00  -0.105707E+04   0.211414E+04
   0.303395E+02   0.110002E+02   0.784940E+00  -0.302807E+01  -0.885075E-01  -0.829871E+01   0.285326E+02   0.123884E+01   0.580843E+01  -0.333406E+01  -0.708946E+00   0.655925E+00   0.356041E-01   0.132222E-03   0.199820E-02   0.566161E-02   0.899988E-02  -0.103904E+04   0.167415E+02   0.000000E+00  -0.105578E+04   0.211156E+04
