wse,slope,width,area_total,time_str,reach_q,wse_units,slope_units,width_units,area_total_units
203.9842,-0.0001488591,100.225453,970131.0,2023-05-12 17:21:31,1,m,m/m,m,m^2
203.5899,-0.0001163227,97.62791,944988.1,2023-05-13 17:12:09,1,m,m/m,m,m^2
203.1482,-0.0002021502,98.303609,951528.5,2023-05-14 17:02:46,1,m,m/m,m,m^2
203.6935,-8.33558e-05,112.812176,1091964.0,2023-05-15 16:53:24,1,m,m/m,m,m^2
203.4303,-9.98161e-05,165.658398,1603488.3,2023-05-16 16:44:01,1,m,m/m,m,m^2
203.2332,-9.30633e-05,132.305091,1280645.4,2023-05-17 16:34:39,1,m,m/m,m,m^2
203.0833,-5.09315e-05,101.915036,986485.3,2023-05-18 16:25:17,1,m,m/m,m,m^2
203.3082,-8.80857e-05,112.882529,1092645.0,2023-05-22 15:47:49,1,m,m/m,m,m^2
203.2265,-0.0001068346,116.281498,1125545.2,2023-05-23 15:38:27,1,m,m/m,m,m^2
203.4436,-0.0001037966,101.59201,983358.5,2023-05-24 15:29:05,1,m,m/m,m,m^2
203.3014,-0.0001026983,120.146385,1162955.4,2023-05-25 15:19:43,1,m,m/m,m,m^2
203.3355,-0.0001037562,107.995803,1045344.0,2023-05-26 15:10:21,1,m,m/m,m,m^2
203.1814,-9.02097e-05,98.640613,954790.5,2023-05-27 15:00:59,1,m,m/m,m,m^2
203.0255,-0.0001187744,120.958186,1170813.2,2023-05-28 14:51:36,1,m,m/m,m,m^2
202.9485,-8.84798e-05,113.658639,1100157.3,2023-05-29 14:42:14,1,m,m/m,m,m^2
203.5414,-0.0001092106,123.983162,1200093.4,2023-05-30 14:32:52,1,m,m/m,m,m^2
203.4908,-0.0001436161,104.884513,1015228.3,2023-05-31 14:23:30,1,m,m/m,m,m^2
203.086,-0.0001201287,125.570923,1215462.1,2023-06-01 14:14:07,1,m,m/m,m,m^2
203.2118,-0.0001075944,124.965508,1209602.0,2023-06-02 14:04:45,1,m,m/m,m,m^2
203.3096,-8.38323e-05,107.903629,1044451.8,2023-06-03 13:55:23,1,m,m/m,m,m^2
203.0028,-9.10112e-05,116.486954,1127533.9,2023-06-04 13:46:01,1,m,m/m,m,m^2
203.545,-9.96622e-05,137.044584,1326521.3,2023-06-05 13:36:39,1,m,m/m,m,m^2
203.3233,-0.0001088219,97.782439,946483.8,2023-06-06 13:27:17,1,m,m/m,m,m^2
203.5621,-9.1515e-06,100.332185,971164.1,2023-06-07 13:17:55,1,m,m/m,m,m^2
203.0392,-0.0001454869,100.411138,971928.3,2023-06-08 13:08:33,1,m,m/m,m,m^2
203.9487,-8.97628e-05,99.483063,962945.0,2023-06-09 12:59:10,1,m,m/m,m,m^2
203.1804,-0.0001245752,115.606584,1119012.4,2023-06-10 12:49:48,1,m,m/m,m,m^2
203.1087,-8.32738e-05,137.389347,1329858.4,2023-06-11 12:40:26,1,m,m/m,m,m^2
203.2968,-0.0001145952,106.41133,1030007.1,2023-06-12 12:31:04,1,m,m/m,m,m^2
203.5459,-0.0001114472,99.096451,959202.8,2023-06-13 12:21:41,1,m,m/m,m,m^2
203.6185,-0.0001216625,110.283904,1067491.6,2023-06-14 12:12:19,1,m,m/m,m,m^2
203.6146,-0.0001111216,114.997815,1113119.8,2023-06-15 12:02:57,1,m,m/m,m,m^2
203.6098,-0.0001107433,100.523542,973016.3,2023-06-16 11:53:34,1,m,m/m,m,m^2
203.5584,-0.0001314648,104.354735,1010100.3,2023-06-17 11:44:12,1,m,m/m,m,m^2
203.2314,-9.65202e-05,95.500343,924394.3,2023-06-18 11:34:50,1,m,m/m,m,m^2
203.4117,-0.0001691224,100.859545,976268.6,2023-06-19 11:25:28,1,m,m/m,m,m^2
203.4039,-0.0001328608,99.83555,966356.9,2023-06-20 11:16:07,1,m,m/m,m,m^2
203.7684,3.98863e-06,97.574508,944471.2,2023-06-21 11:06:45,1,m,m/m,m,m^2
203.4091,-0.0001074555,100.991739,977548.2,2023-06-22 10:57:23,1,m,m/m,m,m^2
203.6313,-0.0001319579,112.566558,1089586.5,2023-06-23 10:48:01,1,m,m/m,m,m^2
203.7397,-0.0001158459,117.754074,1139799.0,2023-06-24 10:38:39,1,m,m/m,m,m^2
203.5143,-9.46796e-05,97.584628,944569.1,2023-06-25 10:29:16,1,m,m/m,m,m^2
203.5179,-0.0001257195,142.318155,1377566.7,2023-06-26 10:19:54,1,m,m/m,m,m^2
203.6176,-0.0001410486,111.413356,1078424.1,2023-06-27 10:10:32,1,m,m/m,m,m^2
203.7186,-0.0001084669,103.45109,1001353.5,2023-06-29 09:51:48,1,m,m/m,m,m^2
203.7017,-0.0001200228,106.855528,1034306.7,2023-06-30 09:42:26,1,m,m/m,m,m^2
203.9923,-7.63741e-05,100.877256,976440.1,2023-07-01 09:33:04,1,m,m/m,m,m^2
202.9968,-0.0001763398,101.192571,979492.2,2023-07-02 09:23:42,1,m,m/m,m,m^2
203.5223,-0.0001427478,141.037343,1365169.1,2023-07-03 09:14:20,1,m,m/m,m,m^2
203.3251,-0.0001327354,124.073334,1200966.2,2023-07-05 08:55:36,1,m,m/m,m,m^2
203.5585,-9.30439e-05,98.272446,951226.9,2023-07-06 08:46:14,1,m,m/m,m,m^2
203.5649,-8.59153e-05,102.181282,989062.4,2023-07-07 08:36:51,1,m,m/m,m,m^2
203.0904,-9.63958e-05,98.934693,957637.1,2023-07-08 08:27:29,1,m,m/m,m,m^2
203.1788,8.57336e-06,99.056784,958818.8,2023-07-09 08:18:07,1,m,m/m,m,m^2
203.4873,-9.74671e-05,99.725961,965296.1,2023-07-10 08:08:45,1,m,m/m,m,m^2
203.0643,-5.64324e-05,180.775358,1749812.7,2023-07-30 15:16:37,1,m,m/m,m,m^2
203.2872,-4.16303e-05,129.61913,1254646.7,2023-08-02 04:36:14,1,m,m/m,m,m^2
203.3798,-6.00844e-05,120.564656,1167004.0,2023-08-23 01:21:19,1,m,m/m,m,m^2
203.5693,-9.92918e-05,132.994489,1287318.4,2023-08-31 10:24:35,1,m,m/m,m,m^2
203.2524,-4.11159e-05,119.061829,1152457.4,2023-09-02 23:44:12,1,m,m/m,m,m^2
203.0509,-3.04131e-05,130.909282,1267134.7,2023-09-10 08:46:49,1,m,m/m,m,m^2
203.5166,-0.0001801331,129.207311,1250660.5,2023-09-12 22:06:25,1,m,m/m,m,m^2
203.7861,-0.0001522751,120.556276,1166922.9,2023-09-21 07:09:40,1,m,m/m,m,m^2
203.1681,-5.67164e-05,135.978938,1316206.3,2023-10-01 05:31:52,1,m,m/m,m,m^2
203.2877,-7.27714e-05,135.46086,1311191.6,2023-10-03 18:51:27,1,m,m/m,m,m^2
203.1248,-1.88948e-05,119.660561,1158252.8,2023-10-12 03:54:43,1,m,m/m,m,m^2
203.0219,-2.95438e-05,155.279752,1503028.3,2023-10-14 17:14:19,1,m,m/m,m,m^2
203.5262,-7.63623e-05,134.783355,1304633.7,2023-10-22 02:16:56,1,m,m/m,m,m^2
203.5863,-3.3838e-05,130.308854,1261322.8,2023-10-24 15:36:32,1,m,m/m,m,m^2
204.2982,-9.93739e-05,126.733603,1226716.3,2023-11-02 00:39:48,1,m,m/m,m,m^2
204.4312,-0.0001982472,122.083179,1181702.5,2023-11-04 13:59:25,1,m,m/m,m,m^2
204.371,-0.0001865642,161.226048,1560585.4,2023-11-11 23:02:01,1,m,m/m,m,m^2
205.0226,-0.0002393421,144.816732,1401751.7,2023-11-14 12:21:37,1,m,m/m,m,m^2
203.9197,-0.0001542739,130.094466,1259247.7,2023-11-22 21:24:53,1,m,m/m,m,m^2
203.4348,-0.0001173765,160.825695,1556710.2,2023-11-25 10:44:30,1,m,m/m,m,m^2
205.9263,-0.0002761323,631.639093,6113942.3,2023-12-02 19:47:07,1,m,m/m,m,m^2
204.499,-0.0001848634,153.115814,1482082.5,2023-12-05 09:06:43,1,m,m/m,m,m^2
205.6089,-0.0002727299,153.473304,1485542.8,2023-12-16 07:29:33,1,m,m/m,m,m^2
203.9466,-0.00019926,133.356538,1290822.9,2024-01-03 14:55:04,1,m,m/m,m,m^2
203.532,-0.0001018204,128.666747,1245428.1,2024-01-06 04:14:40,1,m,m/m,m,m^2
203.5429,-0.0001040409,162.256235,1570557.1,2024-01-13 13:17:16,1,m,m/m,m,m^2
203.7934,-0.0001599611,122.573192,1186445.6,2024-01-27 00:59:46,1,m,m/m,m,m^2
203.4458,-8.04232e-05,140.482566,1359799.2,2024-02-03 10:02:22,1,m,m/m,m,m^2
203.5225,-8.15167e-05,140.656581,1361483.5,2024-02-05 23:21:58,1,m,m/m,m,m^2
203.5109,-0.0002097567,127.324475,1232435.6,2024-02-14 08:25:14,1,m,m/m,m,m^2
203.6005,-0.0001091446,122.389057,1184663.3,2024-03-08 18:29:54,1,m,m/m,m,m^2
203.3764,-4.52453e-05,133.319222,1290461.7,2024-03-16 03:32:29,1,m,m/m,m,m^2
203.3609,-8.83924e-05,144.20188,1395800.2,2024-03-18 16:52:06,1,m,m/m,m,m^2
203.2242,-7.57046e-05,149.279212,1444946.2,2024-03-27 01:55:22,1,m,m/m,m,m^2
203.2303,-7.21994e-05,130.892813,1266975.3,2024-03-29 15:14:58,1,m,m/m,m,m^2
203.4594,-7.37966e-05,134.395516,1300879.6,2024-04-06 00:17:34,1,m,m/m,m,m^2
203.4346,-9.66489e-05,121.390395,1174996.7,2024-04-08 13:37:11,1,m,m/m,m,m^2
203.2258,-9.34681e-05,123.696049,1197314.3,2024-04-19 12:00:04,1,m,m/m,m,m^2
203.1551,1.645205e-05,124.884734,1208820.1,2024-04-26 21:02:40,1,m,m/m,m,m^2
203.3028,-9.15111e-05,172.394598,1668691.3,2024-04-29 10:22:16,1,m,m/m,m,m^2
203.9642,-0.000174122,128.830811,1247016.1,2024-05-07 19:25:31,1,m,m/m,m,m^2
203.5011,-0.0001046574,126.186942,1221424.9,2024-05-10 08:45:08,1,m,m/m,m,m^2
203.7172,-0.0001292126,134.704534,1303870.8,2024-05-17 17:47:45,1,m,m/m,m,m^2
203.2961,-0.0001072909,155.956947,1509583.2,2024-05-28 16:10:36,1,m,m/m,m,m^2
203.9908,-0.0001587774,125.056167,1210479.5,2024-05-31 05:30:13,1,m,m/m,m,m^2
203.2732,-0.0001257204,134.917608,1305933.2,2024-06-07 14:32:50,2,m,m/m,m,m^2
203.9807,-0.000145543,189.188534,1831247.9,2024-06-10 03:52:26,1,m,m/m,m,m^2
203.9807,-0.000145543,189.188534,1831247.9,2024-06-10 03:52:26,1,m,m/m,m,m^2
203.7474,-0.0001512816,128.417699,1243017.4,2024-06-18 12:55:42,1,m,m/m,m,m^2
203.9804,-0.0001786438,127.615882,1235256.3,2024-06-21 02:15:18,1,m,m/m,m,m^2
203.8171,-0.0001586004,138.197833,1337684.1,2024-06-28 11:17:54,1,m,m/m,m,m^2
204.0547,-0.0001716439,144.989597,1403424.9,2024-07-01 00:37:29,1,m,m/m,m,m^2
204.0558,-0.0002026229,133.681257,1293966.0,2024-07-09 09:40:44,1,m,m/m,m,m^2
204.2556,-0.0001386268,123.832024,1198630.5,2024-07-11 23:00:21,1,m,m/m,m,m^2
204.0046,-0.0001662134,142.273288,1377132.4,2024-07-19 08:02:58,1,m,m/m,m,m^2
203.8227,-0.0001651432,131.455832,1272425.0,2024-07-21 21:22:35,1,m,m/m,m,m^2
203.6678,-0.0001070785,124.995942,1209896.6,2024-07-30 06:25:49,1,m,m/m,m,m^2
203.3478,-8.13291e-05,131.547933,1273316.5,2025-05-09 23:53:39,1,m,m/m,m,m^2
203.4825,-0.0001752486,128.865699,1247353.8,2025-05-18 08:56:56,1,m,m/m,m,m^2
203.4625,-0.0001002254,123.80613,1198379.8,2025-05-20 22:16:33,1,m,m/m,m,m^2
203.4741,-8.13371e-05,128.227489,1241176.3,2025-05-28 07:19:10,1,m,m/m,m,m^2
203.4803,-0.000100744,116.374107,1126441.6,2025-05-30 20:38:47,1,m,m/m,m,m^2
203.8972,-0.0001418864,123.910015,1199385.4,2025-06-08 05:42:02,1,m,m/m,m,m^2
203.5195,-7.96909e-05,121.618171,1177201.5,2025-06-10 19:01:38,1,m,m/m,m,m^2
203.423,-7.44333e-05,134.29738,1299929.7,2025-06-18 04:04:14,1,m,m/m,m,m^2
202.1094,-0.0001006504,127.552621,1234643.9,2025-06-20 17:23:51,2,m,m/m,m,m^2
203.5327,-0.0001237891,121.012329,1171337.3,2025-06-29 02:27:07,1,m,m/m,m,m^2
203.4191,-0.0001079692,153.956546,1490220.4,2025-07-01 15:46:44,1,m,m/m,m,m^2
203.3023,-5.51314e-05,133.227631,1289575.1,2025-07-09 00:49:21,1,m,m/m,m,m^2
203.1979,-6.61091e-05,147.794158,1430571.6,2025-07-11 14:08:58,1,m,m/m,m,m^2
203.7542,3.13607e-06,121.865292,1179593.5,2025-07-19 23:12:13,1,m,m/m,m,m^2
203.1895,-6.80613e-05,149.625373,1448296.8,2025-07-22 12:31:50,1,m,m/m,m,m^2
203.1862,-9.75446e-05,131.491898,1272774.1,2025-07-29 21:34:26,1,m,m/m,m,m^2
203.1716,-7.57533e-05,131.68514,1274644.6,2025-08-01 10:54:02,1,m,m/m,m,m^2
203.4296,-4.63907e-05,121.510433,1176158.6,2025-08-09 19:57:16,1,m,m/m,m,m^2
203.2268,-6.44613e-05,125.147842,1211366.9,2025-08-12 09:16:53,1,m,m/m,m,m^2
203.0854,-5.81995e-05,131.830887,1276055.3,2025-08-19 18:19:30,1,m,m/m,m,m^2
203.2045,-7.61143e-05,131.49974,1272850.0,2025-08-22 07:39:07,1,m,m/m,m,m^2
203.4125,-2.53867e-05,122.088204,1181751.2,2025-08-30 16:42:22,1,m,m/m,m,m^2
203.7377,-4.16443e-05,119.7206,1158834.0,2025-09-02 06:01:58,1,m,m/m,m,m^2
203.2585,-6.72776e-05,134.331703,1300262.0,2025-09-09 15:04:34,1,m,m/m,m,m^2
203.2208,-1.67749e-05,120.722397,1168530.9,2025-09-20 13:27:24,1,m,m/m,m,m^2
203.5248,-0.0001169632,127.076707,1230037.3,2025-09-23 02:47:01,1,m,m/m,m,m^2
203.0506,-6.45742e-05,183.689112,1778016.4,2025-09-30 11:49:38,1,m,m/m,m,m^2
203.2287,-0.0001153303,119.881133,1160387.9,2025-10-03 01:09:14,1,m,m/m,m,m^2
203.0217,-4.13141e-05,141.484217,1369494.6,2025-10-11 10:12:29,1,m,m/m,m,m^2
203.1822,-0.0001037288,119.974456,1161291.2,2025-10-13 23:32:06,1,m,m/m,m,m^2
203.4845,-9.90498e-05,138.081381,1336556.9,2025-10-21 08:34:44,1,m,m/m,m,m^2
204.5768,-0.0002710618,160.908284,1557509.6,2025-10-23 21:54:20,1,m,m/m,m,m^2
203.9731,-0.0001878113,128.266514,1241554.0,2025-11-01 06:57:36,1,m,m/m,m,m^2
204.6873,-0.0002386337,126.697907,1226370.7,2025-11-03 20:17:12,1,m,m/m,m,m^2
203.1847,-5.44256e-05,128.368162,1242537.9,2025-11-11 05:19:47,1,m,m/m,m,m^2
203.1308,-6.28359e-05,120.381041,1165226.7,2025-11-13 18:39:23,1,m,m/m,m,m^2
203.3611,-8.442e-05,153.862938,1489314.3,2025-11-22 03:42:39,1,m,m/m,m,m^2
204.7697,-0.0003049844,122.807817,1188716.7,2025-11-24 17:02:15,1,m,m/m,m,m^2
203.6453,-0.0001317705,148.81989,1440500.2,2025-12-02 02:04:51,1,m,m/m,m,m^2
203.3421,-8.30827e-05,126.108821,1220668.7,2025-12-04 15:24:27,1,m,m/m,m,m^2
203.7549,-0.0001149461,124.029304,1200540.0,2025-12-13 00:27:41,2,m,m/m,m,m^2
