Kmin_MR_a0    Kmin_MR_a1    Kmin_MR_a2    Kmin_MR_a3    Kmin_MR_a4    Kmin_MR_a5    Kmin_MR_a6    Kmin_MR_a7    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Kmin_TR_a5    Kmin_TR_a6    Kmin_TR_a7    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.642502E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.539609E+01 -0.254720E+01 -0.436281E-01 -0.302355E+01  0.183651E+01  0.294780E+01  0.774329E-02  0.137449E-01  0.755037E-02  0.298325E-02  0.585494E-02 -0.103193E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.642502E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.254720E+01 -0.436281E-01 -0.302355E+01  0.183651E+01  0.294780E+01  0.774329E-02  0.143555E-01  0.755037E-02  0.298325E-02  0.386273E-02 -0.103040E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.642502E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.186431E+00 -0.302355E+01  0.558556E+01  0.294780E+01  0.780840E-02  0.159116E-01  0.596972E-02  0.407064E-02  0.547498E-02 -0.102933E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.642502E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.186431E+00 -0.302355E+01  0.558556E+01  0.298763E+01  0.815228E-02  0.178841E-01  0.673375E-02  0.327727E-02  0.194194E-02 -0.102860E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.642502E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.186431E+00 -0.302355E+01  0.558556E+01  0.134207E+00  0.938702E-02  0.173620E-01  0.477560E-02  0.287288E-02  0.362573E-02 -0.102592E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.558556E+01  0.134207E+00  0.938702E-02  0.175137E-01  0.379241E-02  0.231229E-02  0.297487E-02 -0.102520E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.562282E+01  0.141398E+01  0.938702E-02  0.168580E-01  0.170371E-02  0.334204E-02  0.266395E-02 -0.102138E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.562282E+01  0.294626E+01  0.938702E-02  0.169334E-01  0.172118E-02  0.892493E-03  0.176388E-02 -0.102205E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.562282E+01  0.207576E+01  0.938702E-02  0.172955E-01  0.269175E-02  0.271267E-02  0.180614E-02 -0.102149E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.268846E+01  0.207576E+01  0.938702E-02  0.162353E-01  0.242578E-02  0.174269E-02  0.169330E-02 -0.102131E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.268846E+01  0.207576E+01  0.923489E-02  0.157464E-01  0.206621E-02  0.288731E-02  0.118429E-02 -0.102157E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.466531E+01  0.211574E+01  0.877170E-02  0.157655E-01  0.235331E-02  0.348112E-02  0.400676E-03 -0.102150E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270672E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.302355E+01  0.203240E+01  0.211574E+01  0.879685E-02  0.150163E-01  0.231572E-02  0.411399E-02  0.966326E-03 -0.102360E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270964E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.349628E+01  0.701300E+00 -0.290077E+01  0.301807E+01  0.211574E+01  0.746448E-02  0.185409E-01  0.346153E-02  0.384377E-02  0.307526E-02 -0.102502E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270964E+01 -0.613821E+00 -0.643333E+01  0.913274E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.327895E+01  0.143976E+01 -0.290077E+01  0.301807E+01  0.211574E+01  0.950028E-02  0.185409E-01  0.356749E-02  0.421178E-02  0.192541E-02 -0.102273E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270964E+01 -0.613821E+00 -0.643333E+01  0.316981E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.327895E+01  0.696021E+00 -0.290077E+01  0.396143E+01  0.211574E+01  0.118174E-01  0.178049E-01  0.345473E-02  0.406192E-02  0.116542E-02 -0.101789E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270964E+01 -0.613821E+00 -0.652162E+01  0.316981E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.696021E+00 -0.290077E+01  0.396143E+01  0.211574E+01  0.122637E-01  0.188193E-01  0.376517E-02  0.468607E-02  0.251375E-02 -0.101754E+04
  0.303754E+02  0.106588E+02  0.232706E+00 -0.270964E+01 -0.613821E+00 -0.652162E+01  0.316981E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.161439E+00 -0.219164E+01  0.341181E+01  0.211574E+01  0.122637E-01  0.180616E-01  0.267502E-02  0.589178E-02  0.799507E-03 -0.101691E+04
  0.303754E+02  0.106588E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.652162E+01  0.316981E+00  0.516865E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.161439E+00 -0.219164E+01  0.341181E+01  0.211574E+01  0.122637E-01  0.177732E-01  0.192945E-02  0.670403E-02  0.976213E-03 -0.101575E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.547937E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.161439E+00 -0.219164E+01  0.341181E+01  0.283978E+01  0.122637E-01  0.194074E-01  0.123115E-02  0.925492E-02  0.130734E-02 -0.101141E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.547937E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.161439E+00 -0.219164E+01  0.341181E+01  0.283978E+01  0.137764E-01  0.189463E-01  0.149876E-02  0.841622E-02  0.234308E-02 -0.100908E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.547937E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.800326E+00 -0.219164E+01  0.341181E+01  0.283978E+01  0.140526E-01  0.195291E-01  0.374327E-04  0.962593E-02  0.215952E-02 -0.100923E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.547937E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.800326E+00 -0.219164E+01  0.341181E+01  0.283978E+01  0.150771E-01  0.198044E-01  0.652934E-03  0.907057E-02  0.197906E-02 -0.100781E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.342376E+01  0.800326E+00 -0.219164E+01  0.341181E+01  0.283978E+01  0.150771E-01  0.203881E-01  0.243593E-02  0.104533E-01  0.174509E-05 -0.100800E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.443825E+01 -0.366676E+01  0.800326E+00 -0.920975E+00  0.341181E+01  0.283978E+01  0.162097E-01  0.211539E-01  0.459858E-02  0.100073E-01  0.174509E-05 -0.100732E+04
  0.303754E+02  0.109613E+02 -0.133825E+00 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.182485E+01  0.539723E+01  0.271415E+02  0.384958E+01  0.392424E+01 -0.369286E+01  0.800326E+00 -0.920975E+00  0.341181E+01  0.283978E+01  0.162097E-01  0.219221E-01  0.136104E-02  0.108995E-01  0.425139E-03 -0.100751E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.182485E+01  0.539723E+01  0.273182E+02  0.384958E+01  0.392424E+01 -0.369286E+01  0.800326E+00 -0.920975E+00  0.341181E+01  0.283978E+01  0.178977E-01  0.222881E-01  0.201921E-02  0.125219E-01  0.390021E-03 -0.100553E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.182485E+01  0.539723E+01  0.273182E+02  0.384958E+01  0.392424E+01 -0.369286E+01  0.800326E+00 -0.920975E+00  0.341181E+01  0.211811E+01  0.178977E-01  0.234901E-01  0.186893E-02  0.127865E-01  0.390021E-03 -0.100563E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.539723E+01  0.273182E+02  0.384958E+01  0.392424E+01 -0.369286E+01  0.800326E+00 -0.920975E+00  0.302966E+01  0.211811E+01  0.185820E-01  0.235576E-01  0.372891E-02  0.121871E-01  0.995107E-03 -0.100457E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.539723E+01  0.273182E+02  0.384958E+01  0.392424E+01 -0.207125E+01 -0.175037E+01 -0.920975E+00  0.302966E+01  0.211811E+01  0.192985E-01  0.229499E-01  0.494806E-02  0.111566E-01  0.207855E-03 -0.100410E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.539723E+01  0.273182E+02  0.384958E+01  0.392424E+01 -0.207125E+01 -0.175037E+01 -0.920975E+00  0.395625E+00  0.211811E+01  0.191609E-01  0.214470E-01  0.481963E-02  0.112515E-01  0.154165E-02 -0.100464E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.539723E+01  0.273182E+02  0.281688E+01  0.392424E+01 -0.207125E+01 -0.175037E+01 -0.920975E+00  0.395625E+00  0.211811E+01  0.190475E-01  0.200597E-01  0.427326E-02  0.101370E-01  0.548886E-03 -0.100554E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.302994E+01  0.392424E+01 -0.216302E+01 -0.175037E+01 -0.920975E+00  0.395625E+00  0.169117E+01  0.199365E-01  0.199094E-01  0.433564E-02  0.102132E-01  0.124927E-02 -0.100405E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.302994E+01  0.360939E+01 -0.216302E+01 -0.175037E+01 -0.920975E+00  0.395625E+00  0.169117E+01  0.211032E-01  0.205653E-01  0.447489E-02  0.102440E-01  0.278663E-02 -0.100359E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.302994E+01  0.360939E+01 -0.412525E+01 -0.175037E+01 -0.920975E+00  0.395625E+00  0.169117E+01  0.201585E-01  0.214426E-01  0.434270E-02  0.957346E-02  0.129429E-02 -0.100367E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.283209E+01  0.360939E+01 -0.320221E+01 -0.175037E+01 -0.920975E+00  0.316058E+01  0.169117E+01  0.204257E-01  0.211658E-01  0.356679E-02  0.957346E-02  0.261374E-03 -0.100317E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.283209E+01  0.360939E+01 -0.320221E+01 -0.175037E+01 -0.159970E+01  0.316058E+01  0.169117E+01  0.204257E-01  0.231773E-01  0.297229E-02  0.963545E-02  0.110637E-02 -0.100323E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.270964E+01 -0.613821E+00 -0.552975E+01  0.157794E+01  0.565445E+01  0.273182E+02  0.497236E+01  0.360939E+01 -0.320221E+01 -0.175037E+01 -0.159970E+01  0.316058E+01  0.169117E+01  0.186842E-01  0.231890E-01  0.257276E-02  0.828388E-02  0.110637E-02 -0.100481E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.497236E+01  0.296088E+01 -0.320221E+01 -0.175037E+01 -0.159970E+01  0.316058E+01  0.169117E+01  0.194158E-01  0.239293E-01  0.335307E-02  0.839980E-02  0.152103E-02 -0.100219E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.497236E+01  0.296088E+01 -0.270118E+01 -0.175037E+01 -0.347877E+01  0.316058E+01  0.169117E+01  0.186721E-01  0.233335E-01  0.222310E-02  0.685060E-02  0.253560E-03 -0.100321E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.392003E+01  0.296088E+01 -0.270118E+01 -0.175037E+01 -0.237044E+01  0.316058E+01  0.169117E+01  0.179252E-01  0.241241E-01  0.277001E-02  0.805078E-02  0.253560E-03 -0.100273E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.496317E+01  0.296088E+01 -0.270118E+01 -0.115767E+01 -0.326035E+01  0.316058E+01  0.169117E+01  0.179252E-01  0.250623E-01  0.319081E-02  0.869204E-02  0.985009E-03 -0.100393E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.496317E+01  0.380662E+01 -0.326837E+01 -0.115767E+01 -0.326035E+01  0.316058E+01  0.169117E+01  0.179252E-01  0.243355E-01  0.240397E-02  0.911301E-02  0.121718E-02 -0.100334E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.496317E+01  0.304053E+01 -0.326837E+01 -0.115767E+01 -0.326035E+01  0.365384E+01 -0.193628E+01  0.173060E-01  0.229872E-01  0.219956E-02  0.795090E-02  0.186944E-03 -0.100698E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.496317E+01  0.304053E+01 -0.165201E+01 -0.115767E+01 -0.326035E+01  0.365384E+01 -0.193628E+01  0.181953E-01  0.235225E-01  0.198693E-02  0.911115E-02  0.186944E-03 -0.100763E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.565445E+01  0.273182E+02  0.426895E+01  0.304053E+01 -0.165201E+01 -0.115767E+01 -0.326035E+01  0.236288E+01 -0.193628E+01  0.181953E-01  0.241052E-01  0.105301E-02  0.826796E-02  0.186944E-03 -0.100782E+04
  0.303754E+02  0.109613E+02  0.444958E-01 -0.181836E+01 -0.613821E+00 -0.552975E+01 -0.226295E-03  0.631005E+01  0.273182E+02  0.426895E+01  0.304053E+01 -0.165201E+01 -0.115767E+01 -0.141914E+01  0.236288E+01  0.273560E+01  0.187931E-01  0.237782E-01  0.271647E-03  0.885338E-02  0.186944E-03 -0.100179E+04
