Kmin_MR_a0    Kmin_MR_a1    Kmin_MR_a2    Kmin_MR_a3    Kmin_MR_a4    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.297349E+02  0.109711E+02 -0.583050E+00 -0.411180E+00  0.738205E+00  0.262694E+02  0.662624E+01 -0.421918E+00 -0.114102E+00 -0.372392E+01  0.883212E-02  0.807624E-02  0.939819E-02  0.667938E-02  0.137407E-01 -0.136799E+04
  0.297349E+02  0.109711E+02 -0.583050E+00 -0.411180E+00  0.738205E+00  0.259792E+02  0.662624E+01 -0.421918E+00 -0.114102E+00 -0.346364E+01  0.883212E-02  0.696189E-02  0.996551E-02  0.682550E-02  0.130106E-01 -0.136629E+04
  0.297349E+02  0.110893E+02 -0.583050E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.662624E+01 -0.421918E+00  0.164550E+01 -0.346364E+01  0.883212E-02  0.604682E-02  0.952439E-02  0.597744E-02  0.122356E-01 -0.135849E+04
  0.297349E+02  0.114858E+02 -0.583050E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.421918E+00  0.164550E+01 -0.346364E+01  0.883212E-02  0.487738E-02  0.963707E-02  0.599064E-02  0.114854E-01 -0.134223E+04
  0.297349E+02  0.114858E+02 -0.583050E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.421918E+00  0.164550E+01 -0.346364E+01  0.965002E-02  0.569406E-02  0.100725E-01  0.537560E-02  0.114949E-01 -0.133450E+04
  0.297349E+02  0.114858E+02 -0.583050E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.113960E+01  0.164550E+01 -0.394559E+01  0.955660E-02  0.494867E-02  0.996418E-02  0.638169E-02  0.109742E-01 -0.133431E+04
  0.297349E+02  0.114858E+02 -0.583050E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.113960E+01  0.164550E+01 -0.394559E+01  0.102546E-01  0.585721E-02  0.111459E-01  0.642070E-02  0.127368E-01 -0.132787E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.161226E+01  0.164550E+01 -0.485297E+01  0.102546E-01  0.585392E-02  0.115613E-01  0.527826E-02  0.111217E-01 -0.132608E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.161226E+01  0.164550E+01 -0.495480E+01  0.102546E-01  0.698689E-02  0.111042E-01  0.579885E-02  0.107942E-01 -0.132603E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.161226E+01  0.164550E+01 -0.495480E+01  0.112112E-01  0.494248E-02  0.106387E-01  0.553623E-02  0.966773E-02 -0.131610E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.738018E+01 -0.161226E+01  0.164550E+01 -0.500059E+01  0.136324E-01  0.574755E-02  0.102384E-01  0.573270E-02  0.100077E-01 -0.129132E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.773795E+01 -0.161226E+01  0.164550E+01 -0.500059E+01  0.136324E-01  0.463648E-02  0.994878E-02  0.716229E-02  0.878872E-02 -0.129082E+04
  0.297349E+02  0.114858E+02 -0.539200E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.773795E+01 -0.161226E+01  0.164550E+01 -0.805491E+01  0.136324E-01  0.541084E-02  0.100946E-01  0.845415E-02  0.795037E-02 -0.129090E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.773795E+01 -0.161226E+01  0.164550E+01 -0.805491E+01  0.147097E-01  0.384954E-02  0.963068E-02  0.825389E-02  0.654216E-02 -0.127954E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121500E+00  0.738205E+00  0.259792E+02  0.925700E+01 -0.161226E+01  0.164550E+01 -0.805491E+01  0.147097E-01  0.298118E-02  0.101111E-01  0.690194E-02  0.612579E-02 -0.127659E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.849333E+00  0.738205E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.151696E-01  0.285879E-02  0.904905E-02  0.817539E-02  0.538149E-02 -0.125862E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.112802E+01  0.738205E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.158326E-01  0.995118E-03  0.951294E-02  0.718246E-02  0.545965E-02 -0.125364E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.112802E+01  0.738205E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.162147E-01  0.995118E-03  0.862492E-02  0.662600E-02  0.503879E-02 -0.125000E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.112802E+01  0.738205E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.180334E-01  0.241220E-02  0.871408E-02  0.702838E-02  0.564539E-02 -0.123432E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.185641E-01  0.155311E-02  0.893441E-02  0.644352E-02  0.463790E-02 -0.122750E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.185641E-01  0.182023E-02  0.977058E-02  0.511945E-02  0.546357E-02 -0.122756E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.185641E-01  0.198000E-02  0.101857E-01  0.529312E-02  0.420081E-02 -0.122751E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.198692E-01  0.176686E-02  0.119607E-01  0.533046E-02  0.443951E-02 -0.121721E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.203688E-01  0.226033E-02  0.109579E-01  0.453338E-02  0.507744E-02 -0.121329E+04
  0.297349E+02  0.114858E+02 -0.234557E+00  0.121593E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.217937E-01  0.766752E-03  0.942276E-02  0.561730E-02  0.507744E-02 -0.120262E+04
  0.303785E+02  0.114858E+02 -0.234557E+00 -0.133264E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.224796E-01  0.512230E-04  0.109989E-01  0.541088E-02  0.512107E-02 -0.119626E+04
  0.303785E+02  0.114858E+02 -0.994077E+00 -0.133264E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.224796E-01  0.527132E-03  0.127668E-01  0.604688E-02  0.429641E-02 -0.119672E+04
  0.303785E+02  0.114858E+02 -0.994077E+00 -0.133264E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.164550E+01 -0.937668E+01  0.225459E-01  0.819539E-03  0.130014E-01  0.616611E-02  0.323693E-02 -0.119622E+04
  0.303785E+02  0.114858E+02 -0.994077E+00 -0.133264E+01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.222672E-01  0.873887E-03  0.136658E-01  0.730229E-02  0.290912E-02 -0.119166E+04
  0.303785E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.101241E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.222936E-01  0.102134E-02  0.138553E-01  0.678806E-02  0.355370E-02 -0.117830E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.222936E-01  0.116076E-02  0.141140E-01  0.679025E-02  0.355370E-02 -0.117606E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.222936E-01  0.668741E-03  0.143639E-01  0.579504E-02  0.320824E-02 -0.117590E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.230224E-01  0.657581E-03  0.158118E-01  0.377446E-02  0.348388E-02 -0.117149E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.241149E-01  0.559738E-03  0.152800E-01  0.298622E-02  0.295085E-02 -0.116508E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.241149E-01  0.113654E-02  0.129708E-01  0.192598E-02  0.268488E-02 -0.116478E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.406480E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.243397E-01  0.288092E-02  0.135185E-01  0.306093E-02  0.228823E-02 -0.116386E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.243397E-01  0.260974E-02  0.138724E-01  0.242216E-02  0.548329E-05 -0.116394E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.251765E-01  0.214925E-03  0.138681E-01  0.109694E-02  0.441136E-03 -0.115920E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.259792E+02  0.925700E+01 -0.308139E+01  0.216037E+01 -0.937668E+01  0.263374E-01  0.214925E-03  0.143633E-01  0.174787E-03  0.441136E-03 -0.115346E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.260421E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.269030E-01  0.748811E-03  0.139222E-01  0.174787E-03  0.830747E-04 -0.114940E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.260421E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.281042E-01  0.627759E-03  0.134029E-01  0.174787E-03  0.830747E-04 -0.114420E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.260421E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.281042E-01  0.936836E-04  0.109238E-01  0.172828E-02  0.830747E-04 -0.114405E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.287184E-01  0.199637E-03  0.112918E-01  0.578423E-03  0.578910E-03 -0.114075E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.302711E-01  0.199637E-03  0.111430E-01  0.151452E-02  0.767582E-03 -0.113536E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.812022E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.314675E-01  0.199637E-03  0.108041E-01  0.145043E-02  0.101649E-02 -0.113159E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.175654E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.314675E-01  0.115707E-02  0.928761E-02  0.145043E-02  0.236483E-02 -0.113187E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.175654E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.320468E-01  0.287060E-02  0.815696E-02  0.134352E-02  0.250665E-02 -0.113026E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.175654E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.320468E-01  0.184615E-02  0.621859E-02  0.174379E-02  0.257252E-02 -0.113001E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.175654E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.320813E-01  0.155156E-02  0.633840E-02  0.121119E-02  0.140687E-02 -0.112973E+04
  0.302946E+02  0.114858E+02 -0.994077E+00  0.350972E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.328468E-01  0.155156E-02  0.722741E-02  0.121119E-02  0.113244E-02 -0.112787E+04
  0.302946E+02  0.114858E+02 -0.994077E+00  0.350972E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.328468E-01  0.143252E-02  0.722741E-02  0.102226E-02  0.674947E-03 -0.112779E+04
  0.302946E+02  0.114858E+02 -0.994077E+00  0.350972E+00 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.323857E-01  0.170013E-02  0.638871E-02  0.205800E-02  0.754020E-03 -0.112907E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.506116E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.320037E-01  0.361916E-03  0.546141E-02  0.273054E-02  0.754020E-03 -0.112955E+04
  0.302946E+02  0.114858E+02 -0.994077E+00 -0.506116E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.320037E-01  0.361916E-03  0.440040E-02  0.335460E-02  0.301366E-02 -0.112973E+04
  0.302946E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.654569E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.322790E-01  0.977417E-03  0.384504E-02  0.317414E-02  0.208925E-02 -0.112991E+04
  0.302946E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.332132E-01  0.250539E-03  0.510075E-02  0.377923E-02  0.208925E-02 -0.112758E+04
  0.302946E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.344063E-01  0.767499E-03  0.506930E-02  0.310422E-02  0.239505E-02 -0.112475E+04
  0.302946E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.351721E-01  0.293015E-02  0.462338E-02  0.289937E-02  0.143498E-02 -0.112317E+04
  0.302946E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.351669E-01  0.391840E-02  0.328920E-02  0.436759E-02  0.143498E-02 -0.112329E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.351669E-01  0.440232E-02  0.549348E-02  0.404401E-02  0.110931E-02 -0.112378E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.355329E-01  0.506049E-02  0.711588E-02  0.400889E-02  0.798965E-03 -0.112323E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.355329E-01  0.550248E-02  0.856452E-02  0.362059E-02  0.246761E-02 -0.112354E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.360659E-01  0.484643E-02  0.863373E-02  0.395966E-02  0.346216E-02 -0.112259E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.360659E-01  0.545152E-02  0.863373E-02  0.395966E-02  0.249000E-02 -0.112255E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.360659E-01  0.397126E-02  0.902374E-02  0.535783E-02  0.189281E-02 -0.112252E+04
  0.303628E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.352932E-01  0.427992E-02  0.790453E-02  0.380635E-02  0.393068E-02 -0.112401E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.352932E-01  0.326108E-02  0.847056E-02  0.429714E-02  0.435091E-02 -0.112455E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.360344E-01  0.536450E-02  0.823274E-02  0.540352E-02  0.321316E-02 -0.112325E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.258941E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.360344E-01  0.551911E-02  0.742174E-02  0.597287E-02  0.205999E-02 -0.112313E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.363060E-01  0.629934E-02  0.782967E-02  0.564116E-02  0.195487E-02 -0.112325E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.704952E+00  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.384181E-01  0.292385E-02  0.874230E-02  0.706914E-02  0.134945E-02 -0.111972E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.388240E-01  0.318770E-02  0.100089E-01  0.677990E-02  0.140339E-02 -0.111995E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.385386E-01  0.278842E-02  0.113122E-01  0.580288E-02  0.639637E-03 -0.112025E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.393469E-01  0.231571E-02  0.108466E-01  0.580288E-02  0.252210E-02 -0.111929E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.398313E-01  0.303599E-02  0.874083E-02  0.522120E-02  0.233059E-02 -0.111850E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.384687E-01  0.127931E-02  0.924647E-02  0.484537E-02  0.388516E-02 -0.112022E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.394306E-01  0.679256E-03  0.101675E-01  0.335010E-02  0.384330E-02 -0.111885E+04
  0.304118E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.131142E+01  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.391357E-01  0.105542E-02  0.102465E-01  0.304115E-02  0.374562E-02 -0.111922E+04
  0.303301E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.799591E+00  0.257319E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.385067E-01  0.356611E-02  0.969022E-02  0.317427E-02  0.257636E-02 -0.111939E+04
  0.303301E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.380350E-01  0.242372E-02  0.106079E-01  0.313503E-02  0.177392E-02 -0.111934E+04
  0.303301E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.401491E-01  0.194158E-02  0.106937E-01  0.447129E-02  0.911290E-03 -0.111676E+04
  0.303301E+02  0.114858E+02 -0.107206E+01 -0.506116E-01 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.401491E-01  0.111772E-02  0.882018E-02  0.460166E-02  0.306063E-03 -0.111644E+04
  0.303301E+02  0.114858E+02 -0.107206E+01 -0.403637E+00 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.401491E-01  0.121810E-02  0.829288E-02  0.509735E-02  0.224757E-03 -0.111721E+04
  0.303301E+02  0.114858E+02 -0.107206E+01  0.440058E+00 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.403967E-01  0.162128E-02  0.889652E-02  0.544130E-02  0.224757E-03 -0.111694E+04
  0.303301E+02  0.114858E+02 -0.107206E+01  0.440058E+00 -0.799591E+00  0.257843E+02  0.925700E+01 -0.326936E+01  0.216037E+01 -0.937668E+01  0.412563E-01  0.262016E-02  0.960521E-02  0.615004E-02  0.224757E-03 -0.111637E+04
