Kmin_MC_a0     Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Q_mult_e1_n1   Q_mult_e1_n2   Q_mult_e2_n1   Q_mult_e2_n2   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.330880E+02   0.117446E+02   0.444444E+00   0.270233E+00   0.724916E-01   0.356672E+02   0.431549E+01   0.239538E+01  -0.391567E+01  -0.418514E+01   0.108508E+01   0.117868E+01   0.116944E+01   0.137626E+01   0.506900E-01   0.190806E-02   0.639788E-03   0.158846E-01   0.763476E-03  -0.104122E+04   0.133042E+02   0.000000E+00  -0.105452E+04   0.210905E+04
   0.330788E+02   0.117446E+02   0.493684E+00  -0.154837E+01  -0.957403E-01   0.345423E+02   0.191869E+01   0.306424E+01  -0.303058E+01  -0.767481E+00   0.109201E+01   0.936764E+00   0.116944E+01   0.128010E+01   0.543631E-01   0.226109E-01   0.120133E-01   0.656649E-02   0.289978E-01  -0.104680E+04   0.116356E+02   0.000000E+00  -0.105844E+04   0.211687E+04
   0.330671E+02   0.115198E+02   0.549499E+00  -0.789365E+00   0.106002E+01   0.350332E+02   0.261878E+01   0.363251E+01  -0.607503E+01  -0.585603E+00   0.108702E+01   0.120128E+01   0.116944E+01   0.129882E+01   0.495882E-01   0.200863E-01   0.174881E-01   0.394056E-02   0.398825E-01  -0.104644E+04   0.845808E+01   0.000000E+00  -0.105490E+04   0.210980E+04
   0.329913E+02   0.116857E+02   0.379341E+00  -0.240361E+00   0.142129E+00   0.359991E+02   0.376249E+01   0.493487E+00  -0.283851E+01  -0.301123E+01   0.109401E+01   0.102432E+01   0.119538E+01   0.129162E+01   0.510740E-01   0.220227E-01   0.133334E-02   0.844998E-02   0.325624E-01  -0.104985E+04   0.116710E+02   0.000000E+00  -0.106152E+04   0.212304E+04
   0.329913E+02   0.116180E+02   0.242659E+00  -0.240361E+00  -0.838806E+00   0.335196E+02   0.376249E+01   0.427819E+01  -0.352184E+01  -0.380771E+00   0.108235E+01   0.155565E+01   0.118904E+01   0.127651E+01   0.513372E-01   0.106490E-01   0.827577E-05   0.104208E-01   0.605785E-02  -0.104690E+04   0.574782E+01   0.000000E+00  -0.105265E+04   0.210530E+04
   0.326511E+02   0.114885E+02  -0.225404E+00  -0.651940E+00   0.942461E+00   0.330880E+02   0.303164E+01   0.196295E+01  -0.124498E+01  -0.232364E+01   0.107761E+01   0.103676E+01   0.114529E+01   0.129267E+01   0.512565E-01   0.927322E-04   0.104257E-02   0.119163E-01   0.158954E-01  -0.104039E+04   0.159977E+02   0.000000E+00  -0.105639E+04   0.211278E+04
   0.322800E+02   0.119244E+02   0.792242E+00   0.122183E+00   0.261840E+00   0.339461E+02   0.355886E+01   0.254995E+01  -0.289669E+01  -0.225529E+01   0.105476E+01   0.118303E+01   0.114577E+01   0.129267E+01   0.479603E-01   0.242262E-02   0.577698E-02   0.569447E-02   0.536554E-03  -0.103533E+04   0.161225E+02   0.000000E+00  -0.105145E+04   0.210291E+04
   0.321799E+02   0.117288E+02   0.907166E+00   0.246613E+00   0.144059E+01   0.341887E+02   0.364425E+01   0.435275E+01  -0.116276E+01  -0.910527E+00   0.105649E+01   0.118303E+01   0.114533E+01   0.126862E+01   0.514729E-01   0.242262E-02   0.114735E-01   0.528324E-01   0.132203E-01  -0.104409E+04   0.100491E+02   0.000000E+00  -0.105414E+04   0.210828E+04
   0.321799E+02   0.114446E+02  -0.682161E-01   0.246613E+00   0.734420E+00   0.349716E+02   0.408225E+01   0.219264E+01   0.210177E+00  -0.209342E+01   0.106116E+01   0.123522E+01   0.113843E+01   0.129567E+01   0.520839E-01   0.136963E-02   0.166397E-01   0.573592E-01   0.231612E-01  -0.104730E+04   0.684027E+01   0.000000E+00  -0.105414E+04   0.210828E+04
   0.319967E+02   0.114446E+02   0.485543E-01   0.971882E+00   0.607488E+00   0.356356E+02   0.418177E+01   0.219264E+01  -0.150740E+01  -0.183733E+01   0.105155E+01   0.100046E+01   0.113843E+01   0.133661E+01   0.462203E-01   0.266335E-02   0.178303E-01   0.358766E-01   0.558189E-02  -0.104442E+04   0.121138E+02   0.000000E+00  -0.105653E+04   0.211307E+04
   0.319967E+02   0.116252E+02   0.754901E+00   0.971882E+00   0.408850E+00   0.336190E+02   0.609498E+01   0.418708E+00   0.801142E+00  -0.451731E+00   0.104612E+01   0.125548E+01   0.114769E+01   0.133886E+01   0.471782E-01   0.933172E-02   0.211587E-01   0.132983E-01   0.527130E-02  -0.104867E+04   0.104505E+02   0.000000E+00  -0.105912E+04   0.211824E+04
   0.319967E+02   0.115111E+02   0.821059E+00  -0.218848E-01   0.118603E+01   0.357574E+02   0.269573E+01   0.388400E+01  -0.144467E+01  -0.389066E+01   0.105833E+01   0.103565E+01   0.112737E+01   0.133886E+01   0.491112E-01   0.308550E-01   0.380398E-02   0.218886E-03   0.160527E-02  -0.104094E+04   0.146049E+02   0.000000E+00  -0.105554E+04   0.211109E+04
   0.320047E+02   0.115111E+02  -0.774412E-01   0.491494E+00   0.296410E+00   0.348917E+02   0.465380E+01   0.235378E+01  -0.186118E+01  -0.159271E+01   0.106001E+01   0.103565E+01   0.113484E+01   0.128022E+01   0.535701E-01   0.221767E-02   0.356452E-02   0.599268E-02   0.109423E-01  -0.103904E+04   0.171343E+02   0.000000E+00  -0.105617E+04   0.211235E+04
   0.320564E+02   0.119885E+02   0.396649E-01   0.552943E+00   0.227426E+01   0.350855E+02   0.971653E+00   0.183344E+01  -0.340098E+01  -0.166552E+01   0.105784E+01   0.879372E+00   0.109588E+01   0.129563E+01   0.492835E-01   0.602840E-02   0.814759E-02   0.112190E-01   0.288085E-01  -0.105138E+04   0.134993E+02   0.000000E+00  -0.106488E+04   0.212976E+04
   0.318970E+02   0.119885E+02   0.393870E+00   0.552943E+00   0.107434E+01   0.345052E+02   0.215251E+01   0.684430E+01  -0.537382E+01  -0.131993E+01   0.103766E+01   0.109303E+01   0.110968E+01   0.127895E+01   0.484903E-01   0.214349E-02   0.479980E-02   0.321995E-02   0.284955E-01  -0.104447E+04   0.155811E+02   0.000000E+00  -0.106005E+04   0.212010E+04
   0.321357E+02   0.119082E+02   0.823649E+00  -0.146220E+00   0.955847E+00   0.348833E+02   0.197629E+01   0.328670E+01  -0.395050E+01   0.441906E+00   0.105529E+01   0.104921E+01   0.112011E+01   0.127895E+01   0.520399E-01   0.251675E-03   0.664565E-02   0.261351E-02   0.599105E-02  -0.103801E+04   0.180135E+02   0.000000E+00  -0.105602E+04   0.211205E+04
   0.321357E+02   0.117846E+02   0.386399E+00   0.142134E+00   0.955847E+00   0.342195E+02   0.323175E+01   0.927666E+00  -0.456809E+01  -0.249016E+01   0.105529E+01   0.105937E+01   0.110671E+01   0.131079E+01   0.540235E-01   0.892216E-02   0.177292E-02   0.180092E-02   0.206135E-02  -0.104013E+04   0.175289E+02   0.000000E+00  -0.105766E+04   0.211532E+04
   0.320347E+02   0.120613E+02   0.386399E+00   0.251524E+00  -0.126489E+01   0.346432E+02   0.271267E+01   0.385644E+01  -0.141675E+01  -0.388991E+01   0.105640E+01   0.101344E+01   0.114969E+01   0.126937E+01   0.493266E-01   0.227407E-01   0.261668E-02   0.312222E-02   0.131767E-01  -0.104238E+04   0.153665E+02   0.000000E+00  -0.105775E+04   0.211549E+04
   0.319264E+02   0.115558E+02   0.310860E+00  -0.917759E-01   0.236458E+00   0.341263E+02   0.361965E+01   0.381775E+01  -0.324590E+01  -0.309151E+01   0.105302E+01   0.995974E+00   0.114969E+01   0.126300E+01   0.508602E-01   0.972289E-02   0.378050E-02   0.155577E-01   0.755830E-02  -0.103795E+04   0.160397E+02   0.000000E+00  -0.105399E+04   0.210798E+04
   0.319023E+02   0.115209E+02   0.499576E-01  -0.417781E-01  -0.720264E+00   0.341651E+02   0.215523E+01   0.415948E+01  -0.262941E+01  -0.432885E+01   0.104311E+01   0.105156E+01   0.115228E+01   0.126300E+01   0.496193E-01   0.700685E-03   0.335597E-02   0.391962E-02   0.239111E-02  -0.103785E+04   0.185049E+02   0.000000E+00  -0.105635E+04   0.211271E+04
   0.318933E+02   0.117190E+02   0.499576E-01  -0.417781E-01   0.739877E+00   0.337762E+02   0.208717E+01   0.513572E+01  -0.262941E+01   0.266663E+00   0.104311E+01   0.966444E+00   0.111292E+01   0.126925E+01   0.563484E-01   0.124097E-01   0.334158E-01   0.176797E-01   0.955695E-02  -0.104621E+04   0.127336E+02   0.000000E+00  -0.105894E+04   0.211789E+04
   0.317240E+02   0.119449E+02   0.499576E-01   0.162810E+00   0.806437E+00   0.349908E+02   0.145282E+01   0.383594E+01  -0.335453E+01  -0.415463E+01   0.104790E+01   0.842390E+00   0.109957E+01   0.128521E+01   0.523560E-01   0.170618E-02   0.273924E-01   0.133382E-02   0.206939E-02  -0.104276E+04   0.153051E+02   0.000000E+00  -0.105807E+04   0.211613E+04
   0.316734E+02   0.115293E+02   0.118551E+00   0.696556E+00  -0.327733E+00   0.349908E+02   0.321784E+01   0.370601E+01  -0.311375E+01   0.152057E+01   0.104790E+01   0.113778E+01   0.114124E+01   0.131587E+01   0.486851E-01   0.170618E-02   0.955937E-02   0.413761E-02   0.190032E-01  -0.104022E+04   0.143494E+02   0.000000E+00  -0.105457E+04   0.210914E+04
   0.321355E+02   0.115098E+02   0.510682E+00   0.108316E+00   0.317357E+00   0.348111E+02   0.275702E+01   0.162670E+01  -0.156529E+01  -0.270813E+01   0.106242E+01   0.113340E+01   0.113606E+01   0.128284E+01   0.523660E-01   0.413825E-02   0.632773E-02   0.434693E-02   0.451086E-01  -0.104203E+04   0.125178E+02   0.000000E+00  -0.105455E+04   0.210910E+04
   0.324294E+02   0.114679E+02   0.102383E+01   0.108316E+00   0.317357E+00   0.342973E+02   0.275702E+01  -0.723328E-01  -0.138592E+01  -0.348442E+01   0.106586E+01   0.105692E+01   0.114839E+01   0.132612E+01   0.490424E-01   0.177119E-01   0.523909E-02   0.343622E-02   0.223037E-02  -0.104211E+04   0.152565E+02   0.000000E+00  -0.105737E+04   0.211473E+04
   0.327185E+02   0.114679E+02  -0.324100E+00  -0.316517E+00  -0.128408E+00   0.337651E+02   0.428537E+01   0.274969E+01   0.400556E+00  -0.587245E+00   0.107797E+01   0.109756E+01   0.117628E+01   0.126690E+01   0.513110E-01   0.403328E-02   0.385287E-02   0.854317E-03   0.147533E-01  -0.103872E+04   0.162073E+02   0.000000E+00  -0.105493E+04   0.210985E+04
   0.327185E+02   0.113939E+02   0.134071E+00  -0.620904E+00  -0.476423E+00   0.337651E+02   0.280714E+01   0.303426E+01   0.384787E+00  -0.294881E+01   0.107797E+01   0.124038E+01   0.117628E+01   0.129740E+01   0.499691E-01   0.504261E-02   0.386568E-02   0.570123E-02   0.425544E-02  -0.103932E+04   0.140461E+02   0.000000E+00  -0.105337E+04   0.210673E+04
   0.326492E+02   0.111741E+02  -0.383711E+00  -0.415755E+00   0.762933E+00   0.339288E+02   0.294093E+01   0.768298E+00  -0.407645E+01  -0.233390E+01   0.107797E+01   0.852290E+00   0.117021E+01   0.129740E+01   0.493478E-01   0.119183E-02   0.250987E-01   0.953658E-02   0.147489E-02  -0.104504E+04   0.137084E+02   0.000000E+00  -0.105875E+04   0.211750E+04
   0.325078E+02   0.113798E+02  -0.839838E+00  -0.575542E+00  -0.545838E-01   0.342234E+02   0.294093E+01   0.185223E+01  -0.352403E+01  -0.181323E+01   0.106244E+01   0.108492E+01   0.114795E+01   0.126820E+01   0.479615E-01   0.113791E-03   0.526931E-02   0.191877E-02   0.216533E-02  -0.104179E+04   0.182008E+02   0.000000E+00  -0.105999E+04   0.211998E+04
   0.320929E+02   0.112180E+02  -0.468836E+00  -0.177323E+00  -0.545838E-01   0.340875E+02   0.341631E+01   0.146055E+01  -0.286539E+01  -0.156805E+01   0.106508E+01   0.128533E+01   0.114910E+01   0.124736E+01   0.483195E-01   0.327009E-01   0.103975E-01   0.240201E-01   0.195771E-01  -0.104810E+04   0.785397E+01   0.000000E+00  -0.105595E+04   0.211191E+04
   0.321186E+02   0.114974E+02  -0.114243E+00  -0.109968E+01  -0.455437E+00   0.336831E+02   0.225917E+01   0.654552E+01  -0.209091E+01  -0.730347E+00   0.104980E+01   0.128641E+01   0.115486E+01   0.120927E+01   0.542728E-01   0.186851E-01   0.148955E-02   0.127380E-01   0.210748E-02  -0.104552E+04   0.136873E+02   0.000000E+00  -0.105921E+04   0.211841E+04
   0.320326E+02   0.113095E+02   0.375630E+00  -0.104326E+01  -0.292200E-01   0.336079E+02   0.254977E+01   0.666470E+01  -0.445561E+01   0.678772E+00   0.105283E+01   0.133900E+01   0.115014E+01   0.121944E+01   0.499944E-01   0.544605E-02   0.193426E-01   0.472632E-01   0.478745E-02  -0.104827E+04   0.824985E+01   0.000000E+00  -0.105652E+04   0.211304E+04
   0.317540E+02   0.115236E+02   0.290650E+00  -0.253405E+00  -0.292200E-01   0.333004E+02   0.198515E+01   0.411196E+01  -0.585570E+01  -0.400364E+01   0.105283E+01   0.108542E+01   0.112912E+01   0.121944E+01   0.504673E-01   0.138550E-01   0.175511E-01   0.735589E-02   0.225157E-01  -0.104446E+04   0.142004E+02   0.000000E+00  -0.105866E+04   0.211732E+04
   0.318685E+02   0.115236E+02  -0.408159E+00  -0.351592E+00  -0.144282E+00   0.340861E+02   0.494000E+01   0.402888E+00  -0.264531E+01   0.107073E+01   0.104197E+01   0.945087E+00   0.112912E+01   0.129275E+01   0.512136E-01   0.100074E-01   0.186307E-01   0.201152E-03   0.188666E-01  -0.104577E+04   0.145439E+02   0.000000E+00  -0.106031E+04   0.212063E+04
   0.323798E+02   0.115080E+02   0.719485E+00  -0.367546E+00   0.161497E+01   0.340861E+02   0.273347E+01   0.385301E+01  -0.965682E+00  -0.202705E+01   0.106207E+01   0.103900E+01   0.114201E+01   0.129187E+01   0.475196E-01   0.124972E-01   0.808990E-02   0.471838E-02   0.580572E-02  -0.103942E+04   0.159415E+02   0.000000E+00  -0.105536E+04   0.211072E+04
   0.319464E+02   0.111327E+02   0.140383E-01  -0.877268E+00   0.152055E+01   0.344812E+02   0.273347E+01   0.345997E+01  -0.102799E+01   0.660369E+00   0.104435E+01   0.105265E+01   0.112913E+01   0.129187E+01   0.523601E-01   0.406864E-02   0.632952E-02   0.862527E-02   0.663500E-02  -0.104340E+04   0.166748E+02   0.000000E+00  -0.106007E+04   0.212015E+04
   0.318749E+02   0.120224E+02  -0.394048E+00  -0.268487E+00  -0.695281E+00   0.337102E+02   0.519246E+01   0.991094E+00   0.150773E+01  -0.180138E+01   0.104268E+01   0.112956E+01   0.109431E+01   0.131287E+01   0.469556E-01   0.148138E-01   0.121332E-01   0.127791E-01   0.369522E-02  -0.104687E+04   0.141465E+02   0.000000E+00  -0.106102E+04   0.212203E+04
   0.321717E+02   0.119523E+02  -0.394048E+00  -0.163182E+00  -0.296440E+00   0.342413E+02   0.588139E+01   0.827914E-01  -0.411811E+00  -0.707368E+01   0.106046E+01   0.942991E+00   0.112986E+01   0.129811E+01   0.492158E-01   0.744950E-03   0.309605E-02   0.162223E-02   0.317872E-02  -0.104102E+04   0.182145E+02   0.000000E+00  -0.105923E+04   0.211847E+04
   0.322559E+02   0.114568E+02  -0.150721E+00  -0.847253E+00   0.199763E+00   0.333800E+02   0.713717E+01  -0.340970E+00   0.179014E+01  -0.308263E+01   0.106862E+01   0.986843E+00   0.112986E+01   0.127414E+01   0.540714E-01   0.865439E-02   0.163836E-01   0.312396E-02   0.808512E-02  -0.104640E+04   0.160039E+02   0.000000E+00  -0.106240E+04   0.212481E+04
   0.322051E+02   0.118407E+02  -0.791633E-01  -0.201758E+00   0.533255E+00   0.351424E+02   0.405612E+01   0.406640E+01   0.148267E+01  -0.382419E+01   0.105684E+01   0.106579E+01   0.111734E+01   0.135573E+01   0.482622E-01   0.121694E-01   0.413626E-01   0.259949E-01   0.228670E-01  -0.104916E+04   0.757914E+01   0.000000E+00  -0.105674E+04   0.211348E+04
   0.322517E+02   0.118407E+02   0.682461E+00  -0.201378E+00   0.533255E+00   0.348031E+02   0.403383E+01   0.148788E+01  -0.172145E+01  -0.389624E+01   0.106098E+01   0.106155E+01   0.113089E+01   0.131731E+01   0.492706E-01   0.479773E-02   0.129883E-01   0.113029E-01   0.119445E-01  -0.103804E+04   0.144268E+02   0.000000E+00  -0.105247E+04   0.210493E+04
   0.319124E+02   0.118139E+02   0.776244E+00   0.141443E+01   0.136504E+01   0.349241E+02   0.262045E+01   0.142330E+01  -0.243083E+01  -0.217344E+01   0.104734E+01   0.104536E+01   0.113089E+01   0.131731E+01   0.565338E-01   0.976577E-03   0.186351E-01   0.120483E-02   0.226582E-02  -0.104162E+04   0.163984E+02   0.000000E+00  -0.105802E+04   0.211604E+04
   0.320169E+02   0.119518E+02   0.733038E+00  -0.106755E+00  -0.260683E+00   0.343955E+02   0.353282E+01   0.199741E+01  -0.152864E+01  -0.240513E+01   0.105490E+01   0.111077E+01   0.113089E+01   0.130896E+01   0.468343E-01   0.152572E-01   0.216493E-01   0.321122E-02   0.377421E-02  -0.103893E+04   0.139399E+02   0.000000E+00  -0.105287E+04   0.210574E+04
   0.316513E+02   0.116864E+02   0.587356E+00  -0.106755E+00  -0.243075E+00   0.341015E+02   0.184118E+01   0.286828E+01  -0.217277E+01  -0.433812E+01   0.104687E+01   0.112525E+01   0.113089E+01   0.130896E+01   0.526438E-01   0.622207E-02   0.115811E-01   0.327814E-02   0.101467E-03  -0.103988E+04   0.160989E+02   0.000000E+00  -0.105598E+04   0.211196E+04
   0.318456E+02   0.117097E+02   0.619621E+00   0.105303E+01  -0.477098E+00   0.350187E+02   0.503726E+01   0.168658E+01  -0.131091E+01  -0.265714E+01   0.104349E+01   0.112962E+01   0.113089E+01   0.130312E+01   0.550230E-01   0.113210E-01   0.113286E-01   0.237841E-02   0.294745E-01  -0.104547E+04   0.128580E+02   0.000000E+00  -0.105833E+04   0.211666E+04
   0.318456E+02   0.116125E+02   0.570502E+00   0.951447E+00  -0.603993E+00   0.344766E+02   0.368183E+01   0.260098E+01   0.117413E+01  -0.323888E+01   0.105322E+01   0.988746E+00   0.114044E+01   0.135100E+01   0.460364E-01   0.191397E-02   0.130337E-02   0.158751E-01   0.122359E-02  -0.104307E+04   0.159212E+02   0.000000E+00  -0.105899E+04   0.211798E+04
   0.318143E+02   0.120656E+02  -0.212455E-01   0.322274E+00  -0.603993E+00   0.345682E+02   0.322069E+01   0.362812E+01  -0.142438E+01  -0.264840E+01   0.104599E+01   0.105901E+01   0.111248E+01   0.136029E+01   0.529037E-01   0.203595E-01   0.576447E-02   0.420577E-01   0.195703E-01  -0.104746E+04   0.909604E+01   0.000000E+00  -0.105656E+04   0.211311E+04
   0.317694E+02   0.119255E+02   0.325864E+00  -0.294385E+00   0.440343E+00   0.341024E+02   0.251252E+01   0.435316E+01  -0.101057E+01  -0.178255E+00   0.104127E+01   0.118747E+01   0.111248E+01   0.130370E+01   0.474464E-01   0.791211E-02   0.125294E-01   0.978848E-02   0.459582E-02  -0.104025E+04   0.142458E+02   0.000000E+00  -0.105450E+04   0.210899E+04
   0.317694E+02   0.119255E+02  -0.240835E-01   0.910673E+00   0.440343E+00   0.353234E+02   0.333878E+01   0.627606E+01  -0.232091E+01  -0.412290E+01   0.105048E+01   0.104221E+01   0.111297E+01   0.134142E+01   0.478324E-01   0.207536E-02   0.196067E-02   0.285239E-02   0.235830E-02  -0.104156E+04   0.174459E+02   0.000000E+00  -0.105901E+04   0.211801E+04
   0.317694E+02   0.119014E+02  -0.368066E-01   0.212999E+00  -0.182400E+01   0.352471E+02   0.544074E+01   0.283108E+01  -0.115277E+01  -0.433330E+01   0.104163E+01   0.993607E+00   0.115327E+01   0.134142E+01   0.453191E-01   0.331062E-02   0.105520E-01   0.112141E-01   0.155540E-02  -0.104827E+04   0.154055E+02   0.000000E+00  -0.106368E+04   0.212735E+04
   0.320891E+02   0.113705E+02   0.847312E+00  -0.567703E+00  -0.186904E+00   0.345742E+02   0.433000E+01   0.181443E+01  -0.189666E+01  -0.199741E+01   0.105300E+01   0.125063E+01   0.114699E+01   0.132440E+01   0.506845E-01   0.862036E-03   0.900803E-04   0.131364E-03   0.127645E-01  -0.103844E+04   0.143555E+02   0.000000E+00  -0.105280E+04   0.210559E+04
   0.320181E+02   0.111786E+02  -0.852231E-01  -0.567703E+00  -0.186904E+00   0.354553E+02   0.433000E+01   0.447586E+01  -0.316175E+01  -0.202033E+01   0.105200E+01   0.140985E+01   0.114640E+01   0.132440E+01   0.486804E-01   0.862036E-03   0.441918E-02   0.128926E-01   0.171109E-02  -0.104103E+04   0.102472E+02   0.000000E+00  -0.105128E+04   0.210255E+04
   0.319203E+02   0.114850E+02   0.210702E+00  -0.153294E+00   0.620506E+00   0.358822E+02   0.465207E+01   0.793599E+00  -0.257705E+01  -0.446187E+01   0.105200E+01   0.130368E+01   0.113201E+01   0.137612E+01   0.395210E-01   0.161810E-02   0.105485E-01   0.303972E-02   0.714925E-02  -0.104626E+04   0.114504E+02   0.000000E+00  -0.105771E+04   0.211542E+04
   0.321620E+02   0.116766E+02   0.109415E+01  -0.187450E+00   0.121573E+01   0.352349E+02   0.350093E+01  -0.544711E-01  -0.300584E+01  -0.217611E+01   0.105008E+01   0.128875E+01   0.111690E+01   0.137843E+01   0.420211E-01   0.273945E-02   0.477397E-02   0.219174E-02   0.305565E-02  -0.104577E+04   0.128468E+02   0.000000E+00  -0.105862E+04   0.211723E+04
   0.319284E+02   0.112671E+02   0.856902E+00  -0.207385E+00  -0.368579E+00   0.355713E+02   0.381493E+01   0.176824E+01  -0.300584E+01  -0.473667E+00   0.104581E+01   0.121947E+01   0.116288E+01   0.134720E+01   0.540444E-01   0.273945E-02   0.459429E-02   0.485625E-02   0.121366E-03  -0.104241E+04   0.143836E+02   0.000000E+00  -0.105679E+04   0.211359E+04
   0.323526E+02   0.118073E+02   0.846256E-01   0.285546E+00   0.788417E+00   0.349904E+02   0.397198E+01   0.747361E+00  -0.890126E+00  -0.266487E+01   0.106704E+01   0.825543E+00   0.114006E+01   0.132802E+01   0.501159E-01   0.763578E-03   0.168556E-01   0.989988E-02   0.108584E-01  -0.104119E+04   0.128983E+02   0.000000E+00  -0.105409E+04   0.210818E+04
