Kmin_MC_a0     Kmin_TR_a0     Q_mult_e1_n1   Q_mult_e1_n2   Q_mult_e2_n1   Q_mult_e2_n2   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.344509E+02   0.335406E+02   0.114980E+01   0.100851E+01   0.153739E+01   0.133627E+01   0.175297E+00   0.107621E-01   0.728212E-02   0.308859E-02   0.252068E-02  -0.121375E+04   0.629377E+01   0.000000E+00  -0.122004E+04   0.244009E+04
   0.345118E+02   0.346181E+02   0.112489E+01   0.101755E+01   0.162719E+01   0.121057E+01   0.162250E+00   0.294906E-01   0.155090E-01   0.347396E-02   0.146594E-02  -0.121676E+04   0.376350E+01   0.000000E+00  -0.122052E+04   0.244105E+04
   0.352064E+02   0.330356E+02   0.119314E+01   0.105926E+01   0.158288E+01   0.120622E+01   0.163231E+00   0.248347E-02   0.341236E-02   0.357693E-02   0.152609E-02  -0.121266E+04   0.794660E+01   0.000000E+00  -0.122061E+04   0.244121E+04
   0.347693E+02   0.350084E+02   0.114365E+01   0.122700E+01   0.155494E+01   0.127662E+01   0.169543E+00   0.462929E-02   0.175268E-01   0.361357E-03   0.254871E-02  -0.121191E+04   0.470550E+01   0.000000E+00  -0.121662E+04   0.243323E+04
   0.351985E+02   0.360041E+02   0.116954E+01   0.102142E+01   0.162260E+01   0.138697E+01   0.172136E+00   0.514161E-02   0.931780E-02   0.209373E-02   0.106245E-01  -0.121485E+04   0.193508E+01   0.000000E+00  -0.121679E+04   0.243357E+04
   0.352893E+02   0.326373E+02   0.117178E+01   0.102379E+01   0.158593E+01   0.114088E+01   0.170772E+00   0.205808E-02   0.942005E-02   0.653192E-02   0.141865E-03  -0.121253E+04   0.857844E+01   0.000000E+00  -0.122111E+04   0.244222E+04
   0.353163E+02   0.347219E+02   0.117178E+01   0.867631E+00   0.160668E+01   0.119181E+01   0.172819E+00   0.519432E-01   0.136489E-01   0.653192E-02   0.642898E-02  -0.121840E+04   0.387858E+00   0.000000E+00  -0.121879E+04   0.243758E+04
   0.353068E+02   0.341859E+02   0.116426E+01   0.106872E+01   0.153976E+01   0.121386E+01   0.181584E+00   0.147942E-02   0.635637E-02   0.326675E-02   0.401657E-02  -0.121092E+04   0.902892E+01   0.000000E+00  -0.121995E+04   0.243990E+04
   0.363153E+02   0.353120E+02   0.120088E+01   0.103972E+01   0.153258E+01   0.121221E+01   0.173487E+00   0.617261E-02   0.750100E-02   0.800536E-02   0.386727E-02  -0.121537E+04   0.784175E+01   0.000000E+00  -0.122321E+04   0.244642E+04
   0.354251E+02   0.350338E+02   0.118860E+01   0.106772E+01   0.149089E+01   0.115284E+01   0.171541E+00   0.145179E-02   0.782057E-02   0.759460E-02   0.429718E-02  -0.121554E+04   0.103653E+02   0.000000E+00  -0.122591E+04   0.245181E+04
   0.361595E+02   0.351390E+02   0.120779E+01   0.119122E+01   0.157659E+01   0.126521E+01   0.188746E+00   0.358078E-02   0.835099E-02   0.379349E-02   0.110264E-02  -0.121463E+04   0.477509E+01   0.000000E+00  -0.121941E+04   0.243881E+04
   0.353955E+02   0.349245E+02   0.119828E+01   0.111751E+01   0.161552E+01   0.120788E+01   0.168687E+00   0.265755E-02   0.599335E-02   0.378498E-02   0.969458E-03  -0.121162E+04   0.611395E+01   0.000000E+00  -0.121773E+04   0.243547E+04
   0.360000E+02   0.356810E+02   0.118967E+01   0.948771E+00   0.160259E+01   0.131613E+01   0.175364E+00   0.503723E-02   0.613556E-02   0.346496E-01   0.290422E-03  -0.121560E+04   0.193593E+01   0.000000E+00  -0.121754E+04   0.243507E+04
   0.360635E+02   0.357499E+02   0.117630E+01   0.100725E+01   0.163406E+01   0.129088E+01   0.163169E+00   0.148873E-01   0.243662E-02   0.206835E-01   0.545228E-02  -0.121555E+04   0.205554E+01   0.000000E+00  -0.121761E+04   0.243521E+04
   0.356332E+02   0.337366E+02   0.118389E+01   0.120839E+01   0.152853E+01   0.126954E+01   0.167860E+00   0.224579E-02   0.153505E-01   0.244441E-01   0.958316E-02  -0.121645E+04   0.270597E+01   0.000000E+00  -0.121916E+04   0.243831E+04
   0.348762E+02   0.332427E+02   0.118354E+01   0.105893E+01   0.163315E+01   0.112915E+01   0.173764E+00   0.288397E-02   0.219719E-01   0.373879E-02   0.102765E-01  -0.121611E+04   0.487897E+01   0.000000E+00  -0.122099E+04   0.244198E+04
   0.348762E+02   0.353640E+02   0.115265E+01   0.118951E+01   0.157844E+01   0.120934E+01   0.159119E+00   0.842608E-02   0.378430E-02   0.802509E-02   0.350668E-03  -0.121229E+04   0.619644E+01   0.000000E+00  -0.121849E+04   0.243697E+04
   0.353911E+02   0.333512E+02   0.120278E+01   0.996427E+00   0.154116E+01   0.120396E+01   0.185227E+00   0.813760E-02   0.166963E-01   0.524463E-02   0.540163E-02  -0.121620E+04   0.682588E+01   0.000000E+00  -0.122303E+04   0.244605E+04
   0.353011E+02   0.337127E+02   0.117227E+01   0.105633E+01   0.157776E+01   0.119063E+01   0.180034E+00   0.597014E-01   0.101848E-01   0.256535E-02   0.432252E-02  -0.121686E+04   0.210106E+01   0.000000E+00  -0.121896E+04   0.243792E+04
   0.353011E+02   0.355044E+02   0.116549E+01   0.110421E+01   0.164358E+01   0.123826E+01   0.177102E+00   0.293562E-01   0.655000E-03   0.184732E-01   0.361632E-02  -0.121537E+04   0.149052E+01   0.000000E+00  -0.121686E+04   0.243372E+04
   0.341787E+02   0.355915E+02   0.112232E+01   0.122177E+01   0.144826E+01   0.121827E+01   0.168422E+00   0.117424E-01   0.536753E-03   0.277667E-02   0.587160E-02  -0.121592E+04   0.949978E+01   0.000000E+00  -0.122542E+04   0.245084E+04
   0.347046E+02   0.335352E+02   0.114022E+01   0.100271E+01   0.154444E+01   0.127343E+01   0.176558E+00   0.177739E-02   0.536753E-03   0.153067E-01   0.799524E-02  -0.121256E+04   0.735423E+01   0.000000E+00  -0.121991E+04   0.243983E+04
   0.333506E+02   0.339147E+02   0.112225E+01   0.108864E+01   0.151892E+01   0.118395E+01   0.168447E+00   0.172553E-01   0.133247E-02   0.193820E-01   0.164261E-02  -0.121583E+04   0.801934E+01   0.000000E+00  -0.122385E+04   0.244770E+04
   0.349564E+02   0.341723E+02   0.115449E+01   0.112757E+01   0.159219E+01   0.130983E+01   0.182837E+00   0.121893E-01   0.133247E-02   0.282690E-01   0.668115E-02  -0.121536E+04   0.189806E+01   0.000000E+00  -0.121726E+04   0.243452E+04
   0.333654E+02   0.336631E+02   0.110957E+01   0.104917E+01   0.142417E+01   0.127542E+01   0.180714E+00   0.119708E-01   0.169515E-02   0.477224E-01   0.134511E-01  -0.122131E+04   0.585636E+01   0.000000E+00  -0.122717E+04   0.245433E+04
   0.344841E+02   0.347011E+02   0.115183E+01   0.106753E+01   0.156414E+01   0.124175E+01   0.176041E+00   0.151155E-04   0.543594E-02   0.182736E-02   0.600998E-02  -0.121012E+04   0.819377E+01   0.000000E+00  -0.121831E+04   0.243663E+04
   0.355021E+02   0.355278E+02   0.116762E+01   0.103184E+01   0.151040E+01   0.129284E+01   0.182960E+00   0.113870E-02   0.187885E-01   0.743492E-03   0.143352E-02  -0.121351E+04   0.783844E+01   0.000000E+00  -0.122135E+04   0.244270E+04
   0.343901E+02   0.342001E+02   0.114647E+01   0.948611E+00   0.150332E+01   0.119342E+01   0.173387E+00   0.135021E-01   0.142829E-01   0.111014E-03   0.188281E-01  -0.121483E+04   0.766778E+01   0.000000E+00  -0.122250E+04   0.244500E+04
   0.349495E+02   0.336059E+02   0.113025E+01   0.112897E+01   0.165869E+01   0.119291E+01   0.179152E+00   0.180121E-01   0.341661E-01   0.708883E-02   0.103375E-02  -0.121880E+04   0.115471E+01   0.000000E+00  -0.121995E+04   0.243991E+04
   0.344926E+02   0.338705E+02   0.111516E+01   0.130604E+01   0.161698E+01   0.115979E+01   0.175194E+00   0.443061E-01   0.200363E-01   0.138420E-01   0.724473E-02  -0.122188E+04  -0.239656E+01   0.000000E+00  -0.121948E+04   0.243897E+04
   0.354453E+02   0.353898E+02   0.115113E+01   0.897542E+00   0.153310E+01   0.125908E+01   0.176916E+00   0.425877E-01   0.155956E-02   0.981136E-02   0.124001E-01  -0.121865E+04   0.327171E+01   0.000000E+00  -0.122192E+04   0.244384E+04
   0.350684E+02   0.358042E+02   0.117420E+01   0.105599E+01   0.156611E+01   0.127226E+01   0.198960E+00   0.130509E-02   0.168273E-01   0.485407E-03   0.937786E-02  -0.121598E+04   0.585246E+01   0.000000E+00  -0.122183E+04   0.244366E+04
   0.352226E+02   0.340335E+02   0.117261E+01   0.100038E+01   0.158965E+01   0.118403E+01   0.177940E+00   0.543177E-02   0.113203E-02   0.524013E-02   0.144382E-02  -0.121030E+04   0.840167E+01   0.000000E+00  -0.121870E+04   0.243740E+04
   0.356669E+02   0.345782E+02   0.118321E+01   0.108749E+01   0.161128E+01   0.124062E+01   0.160157E+00   0.276182E-03   0.996486E-02   0.147793E-01   0.144382E-02  -0.121186E+04   0.489506E+01   0.000000E+00  -0.121676E+04   0.243351E+04
   0.355329E+02   0.364639E+02   0.119685E+01   0.103877E+01   0.158180E+01   0.143226E+01   0.175557E+00   0.839859E-02   0.128641E-03   0.473832E-03   0.448059E-02  -0.121540E+04   0.291755E+01   0.000000E+00  -0.121832E+04   0.243664E+04
   0.345956E+02   0.333315E+02   0.115180E+01   0.105452E+01   0.148709E+01   0.124782E+01   0.168913E+00   0.126709E-01   0.180538E-02   0.317839E-01   0.121828E-01  -0.121683E+04   0.583458E+01   0.000000E+00  -0.122266E+04   0.244533E+04
   0.354407E+02   0.344654E+02   0.119233E+01   0.104976E+01   0.155427E+01   0.107694E+01   0.171974E+00   0.237486E-01   0.147485E-01   0.438632E-01   0.683074E-02  -0.122161E+04   0.263242E+01   0.000000E+00  -0.122424E+04   0.244848E+04
   0.361390E+02   0.338251E+02   0.119233E+01   0.135470E+01   0.163378E+01   0.120919E+01   0.155490E+00   0.102945E-02   0.207538E-01   0.402755E-01   0.115208E-02  -0.121960E+04  -0.353442E+01   0.000000E+00  -0.121607E+04   0.243213E+04
   0.355443E+02   0.346237E+02   0.118139E+01   0.135920E+01   0.165914E+01   0.112649E+01   0.169676E+00   0.665712E-02   0.132393E-01   0.163193E-02   0.413020E-02  -0.121583E+04   0.665572E+00   0.000000E+00  -0.121650E+04   0.243299E+04
   0.355330E+02   0.337006E+02   0.117797E+01   0.117406E+01   0.157806E+01   0.110905E+01   0.167345E+00   0.177628E-01   0.961002E-02   0.130012E-01   0.162764E-01  -0.121651E+04   0.383596E+01   0.000000E+00  -0.122035E+04   0.244069E+04
   0.351652E+02   0.348974E+02   0.115752E+01   0.867179E+00   0.156177E+01   0.130872E+01   0.179446E+00   0.513056E-02   0.505145E-01   0.157884E-01   0.384881E-01  -0.122227E+04  -0.339802E+01   0.000000E+00  -0.121887E+04   0.243774E+04
   0.354422E+02   0.315133E+02   0.116988E+01   0.978089E+00   0.166526E+01   0.114024E+01   0.176644E+00   0.208016E-02   0.257879E-03   0.845508E-02   0.293348E-02  -0.121731E+04   0.668597E+01   0.000000E+00  -0.122400E+04   0.244799E+04
   0.352809E+02   0.341899E+02   0.115258E+01   0.102216E+01   0.170245E+01   0.113170E+01   0.168587E+00   0.204579E-02   0.103876E-02   0.739065E-02   0.107890E-01  -0.121537E+04   0.505669E+01   0.000000E+00  -0.122043E+04   0.244085E+04
   0.348399E+02   0.354370E+02   0.113924E+01   0.109625E+01   0.160335E+01   0.127851E+01   0.156328E+00   0.929001E-03   0.486951E-02   0.290994E-02   0.841306E-02  -0.121295E+04   0.586912E+01   0.000000E+00  -0.121882E+04   0.243764E+04
   0.352940E+02   0.342607E+02   0.117219E+01   0.994233E+00   0.158691E+01   0.121823E+01   0.183755E+00   0.170583E-01   0.279798E-01   0.347481E-02   0.784181E-02  -0.121506E+04   0.363304E+01   0.000000E+00  -0.121869E+04   0.243739E+04
   0.360277E+02   0.344714E+02   0.121007E+01   0.114340E+01   0.164278E+01   0.123835E+01   0.176971E+00   0.266384E-01   0.100940E-01   0.168559E-01   0.416362E-01  -0.122039E+04  -0.392307E+01   0.000000E+00  -0.121647E+04   0.243293E+04
   0.359162E+02   0.353140E+02   0.118482E+01   0.104856E+01   0.156501E+01   0.125773E+01   0.188428E+00   0.312802E-02   0.100940E-01   0.182835E-01   0.450312E-02  -0.121491E+04   0.525023E+01   0.000000E+00  -0.122016E+04   0.244032E+04
   0.341736E+02   0.339210E+02   0.116810E+01   0.110175E+01   0.154592E+01   0.113085E+01   0.175445E+00   0.218563E-01   0.167641E-01   0.220177E-01   0.424044E-02  -0.121878E+04   0.473566E+01   0.000000E+00  -0.122352E+04   0.244703E+04
   0.352342E+02   0.336325E+02   0.116607E+01   0.110680E+01   0.163881E+01   0.123166E+01   0.173018E+00   0.105888E-03   0.541371E-02   0.102216E-01   0.315537E-02  -0.121179E+04   0.504199E+01   0.000000E+00  -0.121683E+04   0.243366E+04
   0.349779E+02   0.341099E+02   0.115682E+01   0.117791E+01   0.154908E+01   0.131310E+01   0.173216E+00   0.617044E-02   0.723010E-02   0.354569E-02   0.210731E-02  -0.121163E+04   0.534162E+01   0.000000E+00  -0.121697E+04   0.243394E+04
   0.349779E+02   0.337821E+02   0.116269E+01   0.950008E+00   0.154285E+01   0.122494E+01   0.169555E+00   0.107023E-01   0.128771E-01   0.107555E-01   0.528737E-02  -0.121344E+04   0.652942E+01   0.000000E+00  -0.121997E+04   0.243994E+04
   0.346485E+02   0.334233E+02   0.117018E+01   0.120163E+01   0.155785E+01   0.117714E+01   0.163423E+00   0.541784E-03   0.113417E-01   0.178907E-01   0.136781E-01  -0.121555E+04   0.458506E+01   0.000000E+00  -0.122014E+04   0.244027E+04
   0.349936E+02   0.357535E+02   0.118056E+01   0.104748E+01   0.155267E+01   0.131974E+01   0.185873E+00   0.294880E-03   0.216596E-02   0.146021E-01   0.276398E-02  -0.121348E+04   0.603014E+01   0.000000E+00  -0.121951E+04   0.243902E+04
   0.357173E+02   0.322121E+02   0.118325E+01   0.132109E+01   0.157804E+01   0.115593E+01   0.179360E+00   0.279998E-02   0.494512E-03   0.124671E-01   0.279915E-01  -0.121924E+04   0.178453E+01   0.000000E+00  -0.122102E+04   0.244205E+04
   0.357811E+02   0.343761E+02   0.117643E+01   0.113031E+01   0.158843E+01   0.127276E+01   0.173717E+00   0.922202E-02   0.211864E-02   0.419786E-02   0.749202E-02  -0.121156E+04   0.497775E+01   0.000000E+00  -0.121654E+04   0.243308E+04
   0.353189E+02   0.355829E+02   0.119336E+01   0.103039E+01   0.158232E+01   0.117983E+01   0.185402E+00   0.166382E-01   0.814518E-02   0.948239E-02   0.650301E-02  -0.121559E+04   0.554370E+01   0.000000E+00  -0.122113E+04   0.244227E+04
   0.349795E+02   0.353621E+02   0.115476E+01   0.103039E+01   0.151209E+01   0.129778E+01   0.177238E+00   0.951497E-02   0.202841E-02   0.335873E-02   0.665334E-02  -0.121193E+04   0.792581E+01   0.000000E+00  -0.121986E+04   0.243971E+04
   0.347495E+02   0.341513E+02   0.113641E+01   0.987296E+00   0.155204E+01   0.113061E+01   0.177463E+00   0.303970E-02   0.194123E-02   0.372846E-02   0.206147E-01  -0.121310E+04   0.910511E+01   0.000000E+00  -0.122221E+04   0.244441E+04
   0.340960E+02   0.356439E+02   0.114767E+01   0.993272E+00   0.148207E+01   0.128270E+01   0.177634E+00   0.850704E-02   0.661065E-03   0.337291E-02   0.174697E-01  -0.121435E+04   0.839102E+01   0.000000E+00  -0.122274E+04   0.244548E+04
   0.343662E+02   0.351208E+02   0.113371E+01   0.127093E+01   0.159711E+01   0.115051E+01   0.171518E+00   0.727065E-02   0.661065E-03   0.941664E-02   0.275022E-02  -0.121355E+04   0.536709E+01   0.000000E+00  -0.121892E+04   0.243783E+04
   0.348764E+02   0.350045E+02   0.115668E+01   0.113115E+01   0.154505E+01   0.125173E+01   0.177539E+00   0.296706E-02   0.661431E-02   0.180516E-01   0.268316E-02  -0.121181E+04   0.619234E+01   0.000000E+00  -0.121800E+04   0.243600E+04
   0.344843E+02   0.342128E+02   0.115668E+01   0.108263E+01   0.153948E+01   0.120487E+01   0.163062E+00   0.220502E-01   0.132143E-01   0.209838E-02   0.308992E-02  -0.121360E+04   0.664882E+01   0.000000E+00  -0.122025E+04   0.244050E+04
   0.351242E+02   0.342128E+02   0.115668E+01   0.105990E+01   0.157778E+01   0.122438E+01   0.180822E+00   0.149362E-01   0.822672E-02   0.808273E-02   0.221200E-02  -0.121217E+04   0.607216E+01   0.000000E+00  -0.121824E+04   0.243648E+04
   0.363422E+02   0.338691E+02   0.117780E+01   0.110076E+01   0.163169E+01   0.113963E+01   0.190648E+00   0.949563E-02   0.107854E-01   0.171557E-01   0.773114E-02  -0.121809E+04   0.391829E+01   0.000000E+00  -0.122201E+04   0.244402E+04
   0.364660E+02   0.336806E+02   0.121099E+01   0.933863E+00   0.158456E+01   0.125901E+01   0.186197E+00   0.235895E-02   0.442252E-02   0.105327E-01   0.120703E-01  -0.121649E+04   0.489003E+01   0.000000E+00  -0.122138E+04   0.244276E+04
   0.363762E+02   0.365916E+02   0.119495E+01   0.104277E+01   0.160957E+01   0.129394E+01   0.177273E+00   0.244079E-01   0.381440E-02   0.112704E-01   0.186784E-01  -0.121873E+04   0.863270E+00   0.000000E+00  -0.121959E+04   0.243919E+04
   0.340905E+02   0.336683E+02   0.111812E+01   0.116031E+01   0.159422E+01   0.126087E+01   0.181349E+00   0.112548E-01   0.390603E-03   0.190480E-01   0.816142E-03  -0.121546E+04   0.455479E+01   0.000000E+00  -0.122001E+04   0.244003E+04
   0.349583E+02   0.352374E+02   0.115214E+01   0.902146E+00   0.161816E+01   0.122536E+01   0.166358E+00   0.192372E-02   0.510250E-01   0.400330E-02   0.244426E-02  -0.121674E+04   0.211221E+01   0.000000E+00  -0.121885E+04   0.243770E+04
   0.343645E+02   0.336521E+02   0.115214E+01   0.117682E+01   0.151802E+01   0.115586E+01   0.161888E+00   0.733188E-02   0.148306E-01   0.875839E-02   0.253816E-01  -0.121704E+04   0.536963E+01   0.000000E+00  -0.122241E+04   0.244482E+04
   0.353697E+02   0.349047E+02   0.118050E+01   0.989491E+00   0.164698E+01   0.124707E+01   0.164793E+00   0.151375E-01   0.127297E-01   0.816663E-02   0.425619E-02  -0.121415E+04   0.278402E+01   0.000000E+00  -0.121693E+04   0.243387E+04
   0.357992E+02   0.350178E+02   0.117590E+01   0.105492E+01   0.158847E+01   0.132275E+01   0.167211E+00   0.777216E-02   0.735485E-03   0.138095E-01   0.188627E-02  -0.121208E+04   0.450144E+01   0.000000E+00  -0.121658E+04   0.243316E+04
   0.355480E+02   0.360555E+02   0.117494E+01   0.135998E+01   0.158373E+01   0.129411E+01   0.161599E+00   0.145842E-02   0.108548E-01   0.332611E-02   0.230258E-01  -0.121666E+04  -0.101763E+01   0.000000E+00  -0.121564E+04   0.243128E+04
   0.353787E+02   0.357960E+02   0.120872E+01   0.119555E+01   0.154662E+01   0.118842E+01   0.167057E+00   0.247002E-01   0.431542E-02   0.292040E-02   0.412344E-01  -0.122177E+04   0.127176E+01   0.000000E+00  -0.122304E+04   0.244608E+04
   0.338952E+02   0.346829E+02   0.113549E+01   0.904134E+00   0.156319E+01   0.134990E+01   0.157549E+00   0.160863E-01   0.311438E-01   0.200271E-02   0.595285E-02  -0.122044E+04   0.186934E+01   0.000000E+00  -0.122231E+04   0.244462E+04
   0.346777E+02   0.342235E+02   0.114504E+01   0.137709E+01   0.154754E+01   0.112570E+01   0.161574E+00   0.197770E-01   0.123434E-01   0.735445E-02   0.910080E-02  -0.121805E+04   0.181603E+01   0.000000E+00  -0.121987E+04   0.243973E+04
   0.345356E+02   0.339727E+02   0.114504E+01   0.100737E+01   0.152183E+01   0.124578E+01   0.164965E+00   0.859446E-02   0.891494E-02   0.867755E-02   0.235669E-01  -0.121450E+04   0.604640E+01   0.000000E+00  -0.122055E+04   0.244109E+04
   0.354071E+02   0.346911E+02   0.117453E+01   0.121327E+01   0.160649E+01   0.124578E+01   0.164586E+00   0.372631E-02   0.145240E-01   0.120679E-01   0.680147E-02  -0.121298E+04   0.238174E+01   0.000000E+00  -0.121536E+04   0.243072E+04
   0.338619E+02   0.341845E+02   0.114837E+01   0.103315E+01   0.144184E+01   0.122501E+01   0.171742E+00   0.372631E-02   0.629737E-02   0.556614E-03   0.345614E-02  -0.121456E+04   0.120474E+02   0.000000E+00  -0.122661E+04   0.245321E+04
   0.347964E+02   0.344973E+02   0.115037E+01   0.103315E+01   0.156939E+01   0.133150E+01   0.171900E+00   0.351021E-02   0.919990E-02   0.215399E-01   0.224032E-02  -0.121317E+04   0.410770E+01   0.000000E+00  -0.121728E+04   0.243456E+04
   0.343218E+02   0.361582E+02   0.113705E+01   0.132524E+01   0.161765E+01   0.116374E+01   0.169226E+00   0.218526E-02   0.107393E-01   0.254792E-02   0.184942E-01  -0.121804E+04   0.200986E+01   0.000000E+00  -0.122005E+04   0.244010E+04
   0.350136E+02   0.340466E+02   0.115121E+01   0.125421E+01   0.152120E+01   0.117980E+01   0.154545E+00   0.192580E-02   0.141936E-01   0.522911E-02   0.188327E-01  -0.121709E+04   0.526237E+01   0.000000E+00  -0.122235E+04   0.244470E+04
   0.343805E+02   0.342173E+02   0.113882E+01   0.111876E+01   0.150076E+01   0.128524E+01   0.181233E+00   0.199594E-02   0.410972E-02   0.269170E-02   0.867784E-02  -0.121181E+04   0.844470E+01   0.000000E+00  -0.122025E+04   0.244051E+04
   0.333111E+02   0.348323E+02   0.110910E+01   0.124041E+01   0.143909E+01   0.121180E+01   0.174691E+00   0.911969E-02   0.261383E-03   0.251311E-01   0.382212E-02  -0.121744E+04   0.791940E+01   0.000000E+00  -0.122536E+04   0.245072E+04
   0.340345E+02   0.363494E+02   0.114370E+01   0.129174E+01   0.148495E+01   0.146053E+01   0.186134E+00   0.302186E-01   0.326902E-02   0.218562E-01   0.142545E-01  -0.122467E+04  -0.333771E+01   0.000000E+00  -0.122133E+04   0.244266E+04
